source_issue,dataset_id,board,iteration_limit,validated_games,old_winner_reproduced,original_p1_wins,original_p2_wins,original_draws,original_p1_win_rate,corrected_p1_wins,corrected_p2_wins,corrected_draws,corrected_counterfactual_p1_win_rate,winner_changes,winner_change_percentage,objective_piece_margin_changes_all_games,objective_piece_margin_changes_at_third_tiebreak,objective_piece_margin_sign_changes_at_third_tiebreak,games_reaching_advantage_comparison,games_reaching_objective_piece_tiebreak,old_secured_decisions,old_advantage_decisions,old_objective_piece_decisions,old_draws,corrected_secured_decisions,corrected_advantage_decisions,corrected_objective_piece_decisions,corrected_draws_after_all_criteria
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,10,10,0,10,0,0.0,0,10,0,0.0,0,0.0,10,0,0,3,0,7,3,0,0,7,3,0,0
11,issue-11:seeded-random-self-play,4x4,-1,100,100,60,39,1,0.6,59,40,1,0.59,2,2.0,89,4,2,30,6,70,24,5,1,70,24,5,1
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,10,10,9,1,0,0.9,9,1,0,0.9,0,0.0,7,0,0,5,0,5,5,0,0,5,5,0,0
11,issue-11:uct-self-play,4x4,50,20,20,4,16,0,0.2,4,14,2,0.2,2,10.0,17,3,2,11,3,9,8,3,0,9,8,1,2
30,issue-30:uct-0100-self-play,4x4,100,100,100,22,78,0,0.22,26,68,6,0.26,10,10.0,80,14,10,59,18,41,41,18,0,41,41,12,6
30,issue-30:uct-0500-self-play,4x4,500,100,100,26,72,2,0.26,27,64,9,0.27,12,12.0,75,15,12,56,21,44,35,19,2,44,35,12,9
30,issue-30:uct-1000-self-play,4x4,1000,100,100,39,53,8,0.39,39,49,12,0.39,9,9.0,82,11,9,48,19,52,29,11,8,52,29,7,12
32,issue-32:4x4-uct-10000,4x4,10000,100,100,49,41,10,0.49,50,42,8,0.5,9,9.0,82,10,9,48,17,52,31,7,10,52,31,9,8
32,issue-32:uct-3000-self-play,4x4,3000,100,100,35,61,4,0.35,32,58,10,0.32,10,10.0,80,11,10,50,16,50,34,12,4,50,34,6,10
47,issue-47:4x4-uct-100000,4x4,100000,97,97,58,35,4,0.597938,55,35,7,0.56701,3,3.092784,72,3,3,40,11,57,29,7,4,57,29,4,7
47,issue-47:4x4-uct-30000,4x4,30000,100,100,56,38,6,0.56,58,39,3,0.58,3,3.0,79,3,3,41,8,59,33,2,6,59,33,5,3
56,issue-56:6x6-seeded-random,6x6,-1,100,100,56,44,0,0.56,55,45,0,0.55,1,1.0,90,2,1,20,4,80,16,4,0,80,16,4,0
56,issue-56:6x6-uct-0100,6x6,100,50,50,9,41,0,0.18,9,41,0,0.18,0,0.0,43,0,0,24,0,26,24,0,0,26,24,0,0
56,issue-56:6x6-uct-0500,6x6,500,20,20,4,16,0,0.2,4,15,1,0.2,1,5.0,14,2,1,12,2,8,10,2,0,8,10,1,1
58,issue-58:6x6-uct-0500,6x6,500,30,30,3,27,0,0.1,3,21,6,0.1,6,20.0,27,7,6,18,7,12,11,7,0,12,11,1,6
58,issue-58:6x6-uct-1000,6x6,1000,20,20,4,16,0,0.2,4,14,2,0.2,2,10.0,17,4,2,12,5,8,7,5,0,8,7,3,2
