source_issue,dataset_id,board,iteration_limit,interpretation,validated_games,secured_decisions,reaching_advantage_comparison,advantage_decisions,reaching_objective_piece_tiebreak,objective_piece_decisions,draws
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,previous,10,7,3,3,0,0,0
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,corrected,10,7,3,3,0,0,0
11,issue-11:seeded-random-self-play,4x4,-1,previous,100,70,30,24,6,5,1
11,issue-11:seeded-random-self-play,4x4,-1,corrected,100,70,30,24,6,5,1
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,previous,10,5,5,5,0,0,0
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,corrected,10,5,5,5,0,0,0
11,issue-11:uct-self-play,4x4,50,previous,20,9,11,8,3,3,0
11,issue-11:uct-self-play,4x4,50,corrected,20,9,11,8,3,1,2
30,issue-30:uct-0100-self-play,4x4,100,previous,100,41,59,41,18,18,0
30,issue-30:uct-0100-self-play,4x4,100,corrected,100,41,59,41,18,12,6
30,issue-30:uct-0500-self-play,4x4,500,previous,100,44,56,35,21,19,2
30,issue-30:uct-0500-self-play,4x4,500,corrected,100,44,56,35,21,12,9
30,issue-30:uct-1000-self-play,4x4,1000,previous,100,52,48,29,19,11,8
30,issue-30:uct-1000-self-play,4x4,1000,corrected,100,52,48,29,19,7,12
32,issue-32:4x4-uct-10000,4x4,10000,previous,100,52,48,31,17,7,10
32,issue-32:4x4-uct-10000,4x4,10000,corrected,100,52,48,31,17,9,8
32,issue-32:uct-3000-self-play,4x4,3000,previous,100,50,50,34,16,12,4
32,issue-32:uct-3000-self-play,4x4,3000,corrected,100,50,50,34,16,6,10
47,issue-47:4x4-uct-100000,4x4,100000,previous,97,57,40,29,11,7,4
47,issue-47:4x4-uct-100000,4x4,100000,corrected,97,57,40,29,11,4,7
47,issue-47:4x4-uct-30000,4x4,30000,previous,100,59,41,33,8,2,6
47,issue-47:4x4-uct-30000,4x4,30000,corrected,100,59,41,33,8,5,3
56,issue-56:6x6-seeded-random,6x6,-1,previous,100,80,20,16,4,4,0
56,issue-56:6x6-seeded-random,6x6,-1,corrected,100,80,20,16,4,4,0
56,issue-56:6x6-uct-0100,6x6,100,previous,50,26,24,24,0,0,0
56,issue-56:6x6-uct-0100,6x6,100,corrected,50,26,24,24,0,0,0
56,issue-56:6x6-uct-0500,6x6,500,previous,20,8,12,10,2,2,0
56,issue-56:6x6-uct-0500,6x6,500,corrected,20,8,12,10,2,1,1
58,issue-58:6x6-uct-0500,6x6,500,previous,30,12,18,11,7,7,0
58,issue-58:6x6-uct-0500,6x6,500,corrected,30,12,18,11,7,1,6
58,issue-58:6x6-uct-1000,6x6,1000,previous,20,8,12,7,5,5,0
58,issue-58:6x6-uct-1000,6x6,1000,corrected,20,8,12,7,5,3,2
60,issue-60:6x6-uct-1000,6x6,1000,previous,30,12,18,10,8,8,0
60,issue-60:6x6-uct-1000,6x6,1000,corrected,30,12,18,10,8,4,4
62,issue-62:3x3-seeded-random,3x3,-1,previous,100,67,33,25,8,5,3
62,issue-62:3x3-seeded-random,3x3,-1,corrected,100,67,33,25,8,5,3
62,issue-62:3x3-uct-0100,3x3,100,previous,100,40,60,47,13,11,2
62,issue-62:3x3-uct-0100,3x3,100,corrected,100,40,60,47,13,7,6
62,issue-62:3x3-uct-0500,3x3,500,previous,100,59,41,27,14,12,2
62,issue-62:3x3-uct-0500,3x3,500,corrected,100,59,41,27,14,5,9
62,issue-62:3x3-uct-1000,3x3,1000,previous,100,52,48,36,12,5,7
62,issue-62:3x3-uct-1000,3x3,1000,corrected,100,52,48,36,12,3,9
73,issue-73:7x7-seeded-random,7x7,-1,previous,100,71,29,25,4,3,1
73,issue-73:7x7-seeded-random,7x7,-1,corrected,100,71,29,25,4,3,1
73,issue-73:7x7-uct-0100,7x7,100,previous,50,26,24,22,2,2,0
73,issue-73:7x7-uct-0100,7x7,100,corrected,50,26,24,22,2,2,0
73,issue-73:7x7-uct-0500,7x7,500,previous,50,19,31,24,7,6,1
73,issue-73:7x7-uct-0500,7x7,500,corrected,50,19,31,24,7,2,5
73,issue-73:7x7-uct-1000,7x7,1000,previous,50,22,28,17,11,9,2
73,issue-73:7x7-uct-1000,7x7,1000,corrected,50,22,28,17,11,4,7
77,issue-77:7x7-p84-seeded-random,7x7,-1,previous,100,76,24,19,5,5,0
77,issue-77:7x7-p84-seeded-random,7x7,-1,corrected,100,76,24,19,5,3,2
77,issue-77:7x7-p84-uct-0100,7x7,100,previous,50,29,21,17,4,4,0
77,issue-77:7x7-p84-uct-0100,7x7,100,corrected,50,29,21,17,4,2,2
77,issue-77:7x7-p84-uct-0500,7x7,500,previous,50,14,36,28,8,7,1
77,issue-77:7x7-p84-uct-0500,7x7,500,corrected,50,14,36,28,8,6,2
77,issue-77:7x7-p84-uct-1000,7x7,1000,previous,50,22,28,21,7,7,0
77,issue-77:7x7-p84-uct-1000,7x7,1000,corrected,50,22,28,21,7,3,4
77,issue-77:7x7-p96-seeded-random,7x7,-1,previous,100,84,16,15,1,1,0
77,issue-77:7x7-p96-seeded-random,7x7,-1,corrected,100,84,16,15,1,1,0
77,issue-77:7x7-p96-uct-0100,7x7,100,previous,50,27,23,16,7,7,0
77,issue-77:7x7-p96-uct-0100,7x7,100,corrected,50,27,23,16,7,5,2
77,issue-77:7x7-p96-uct-0500,7x7,500,previous,50,11,39,36,3,3,0
77,issue-77:7x7-p96-uct-0500,7x7,500,corrected,50,11,39,36,3,3,0
77,issue-77:7x7-p96-uct-1000,7x7,1000,previous,50,14,36,23,13,12,1
77,issue-77:7x7-p96-uct-1000,7x7,1000,corrected,50,14,36,23,13,5,8
82,issue-82:3x3-uct-10000,3x3,10000,previous,100,61,39,35,4,1,3
82,issue-82:3x3-uct-10000,3x3,10000,corrected,100,61,39,35,4,0,4
82,issue-82:3x3-uct-100000,3x3,100000,previous,100,48,52,39,13,4,9
82,issue-82:3x3-uct-100000,3x3,100000,corrected,100,48,52,39,13,3,10
82,issue-82:3x3-uct-30000,3x3,30000,previous,100,70,30,26,4,2,2
82,issue-82:3x3-uct-30000,3x3,30000,corrected,100,70,30,26,4,1,3
