source_issue,dataset_id,board,iteration_limit,player,games,third_tiebreak_games,total_previous_objective_pieces,total_corrected_advantage_pieces,total_excluded_own_secured,total_excluded_opponent_secured,total_excluded_opponent_advantage,total_excluded_neutral,third_tiebreak_own_secured_equals_3x_secured
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,1,10,0,123,72,24,9,3,15,True
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,2,10,0,132,48,60,1,8,15,True
11,issue-11:seeded-random-self-play,4x4,-1,1,100,6,1204,600,330,18,67,189,True
11,issue-11:seeded-random-self-play,4x4,-1,2,100,6,1179,667,237,37,49,189,True
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,1,10,0,146,52,60,4,5,25,True
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,2,10,0,120,50,33,6,6,25,True
11,issue-11:uct-self-play,4x4,50,1,20,3,299,96,165,15,4,19,True
11,issue-11:uct-self-play,4x4,50,2,20,3,298,86,174,13,6,19,True
30,issue-30:uct-0100-self-play,4x4,100,1,100,18,1637,304,1113,117,16,87,True
30,issue-30:uct-0100-self-play,4x4,100,2,100,18,1643,290,1146,101,19,87,True
30,issue-30:uct-0500-self-play,4x4,500,1,100,21,1916,233,1482,126,15,60,True
30,issue-30:uct-0500-self-play,4x4,500,2,100,21,1926,251,1497,103,15,60,True
30,issue-30:uct-1000-self-play,4x4,1000,1,100,19,1957,209,1599,98,16,35,True
30,issue-30:uct-1000-self-play,4x4,1000,2,100,19,1960,206,1599,105,15,35,True
32,issue-32:4x4-uct-10000,4x4,10000,1,100,17,1804,258,1449,65,6,26,True
32,issue-32:4x4-uct-10000,4x4,10000,2,100,17,1708,188,1434,50,10,26,True
32,issue-32:uct-3000-self-play,4x4,3000,1,100,16,1908,253,1524,92,14,25,True
32,issue-32:uct-3000-self-play,4x4,3000,2,100,16,1882,188,1572,88,9,25,True
47,issue-47:4x4-uct-100000,4x4,100000,1,97,11,1689,207,1407,49,4,22,True
47,issue-47:4x4-uct-100000,4x4,100000,2,97,11,1584,149,1374,30,9,22,True
47,issue-47:4x4-uct-30000,4x4,30000,1,100,8,1768,205,1470,68,4,21,True
47,issue-47:4x4-uct-30000,4x4,30000,2,100,8,1670,162,1434,48,5,21,True
56,issue-56:6x6-seeded-random,6x6,-1,1,100,4,2794,1435,786,77,118,378,True
56,issue-56:6x6-seeded-random,6x6,-1,2,100,4,2747,1355,792,81,141,378,True
56,issue-56:6x6-uct-0100,6x6,100,1,50,0,1606,423,957,110,20,96,True
56,issue-56:6x6-uct-0100,6x6,100,2,50,0,1581,351,1002,104,28,96,True
56,issue-56:6x6-uct-0500,6x6,500,1,20,2,781,88,615,52,3,23,True
56,issue-56:6x6-uct-0500,6x6,500,2,20,2,774,74,633,41,3,23,True
58,issue-58:6x6-uct-0500,6x6,500,1,30,7,1183,136,924,84,8,31,True
58,issue-58:6x6-uct-0500,6x6,500,2,30,7,1178,113,951,79,4,31,True
58,issue-58:6x6-uct-1000,6x6,1000,1,20,5,834,73,696,44,3,18,True
58,issue-58:6x6-uct-1000,6x6,1000,2,20,5,858,80,702,57,1,18,True
60,issue-60:6x6-uct-1000,6x6,1000,1,30,8,1277,114,1050,83,4,26,True
60,issue-60:6x6-uct-1000,6x6,1000,2,30,8,1289,126,1068,66,3,26,True
62,issue-62:3x3-seeded-random,3x3,-1,1,100,8,827,369,231,37,47,143,True
62,issue-62:3x3-seeded-random,3x3,-1,2,100,8,829,344,261,37,44,143,True
62,issue-62:3x3-uct-0100,3x3,100,1,100,13,1195,134,843,126,27,65,True
62,issue-62:3x3-uct-0100,3x3,100,2,100,13,1178,172,825,107,9,65,True
62,issue-62:3x3-uct-0500,3x3,500,1,100,14,1304,147,978,129,17,33,True
62,issue-62:3x3-uct-0500,3x3,500,2,100,14,1241,120,963,110,15,33,True
62,issue-62:3x3-uct-1000,3x3,1000,1,100,12,1264,121,1002,85,15,41,True
62,issue-62:3x3-uct-1000,3x3,1000,2,100,12,1209,130,945,85,8,41,True
73,issue-73:7x7-seeded-random,7x7,-1,1,100,4,2635,1638,531,35,87,344,True
73,issue-73:7x7-seeded-random,7x7,-1,2,100,4,2631,1648,510,33,96,344,True
73,issue-73:7x7-uct-0100,7x7,100,1,50,2,1573,511,849,75,14,124,True
73,issue-73:7x7-uct-0100,7x7,100,2,50,2,1572,505,867,56,20,124,True
73,issue-73:7x7-uct-0500,7x7,500,1,50,7,1899,356,1368,97,5,73,True
73,issue-73:7x7-uct-0500,7x7,500,2,50,7,1901,331,1419,73,5,73,True
73,issue-73:7x7-uct-1000,7x7,1000,1,50,11,2102,344,1602,99,1,56,True
73,issue-73:7x7-uct-1000,7x7,1000,2,50,11,2095,304,1644,88,3,56,True
77,issue-77:7x7-p84-seeded-random,7x7,-1,1,100,5,3198,1802,726,68,132,470,True
77,issue-77:7x7-p84-seeded-random,7x7,-1,2,100,5,3145,1787,702,51,135,470,True
77,issue-77:7x7-p84-uct-0100,7x7,100,1,50,4,1894,579,1029,109,30,147,True
77,issue-77:7x7-p84-uct-0100,7x7,100,2,50,4,1888,502,1119,91,29,147,True
77,issue-77:7x7-p84-uct-0500,7x7,500,1,50,8,2181,305,1671,121,8,76,True
77,issue-77:7x7-p84-uct-0500,7x7,500,2,50,8,2231,321,1704,128,2,76,True
77,issue-77:7x7-p84-uct-1000,7x7,1000,1,50,7,2412,315,1908,118,3,68,True
77,issue-77:7x7-p84-uct-1000,7x7,1000,2,50,7,2395,258,1944,118,7,68,True
77,issue-77:7x7-p96-seeded-random,7x7,-1,1,100,1,3795,1876,1095,113,188,523,True
77,issue-77:7x7-p96-seeded-random,7x7,-1,2,100,1,3710,1894,1014,109,170,523,True
77,issue-77:7x7-p96-uct-0100,7x7,100,1,50,7,2169,556,1287,135,30,161,True
77,issue-77:7x7-p96-uct-0100,7x7,100,2,50,7,2201,523,1341,142,34,161,True
77,issue-77:7x7-p96-uct-0500,7x7,500,1,50,3,2501,297,1929,182,17,76,True
77,issue-77:7x7-p96-uct-0500,7x7,500,2,50,3,2507,324,1950,150,7,76,True
77,issue-77:7x7-p96-uct-1000,7x7,1000,1,50,13,2722,244,2238,168,9,63,True
77,issue-77:7x7-p96-uct-1000,7x7,1000,2,50,13,2752,261,2262,161,5,63,True
82,issue-82:3x3-uct-10000,3x3,10000,1,100,4,1252,130,1059,34,4,25,True
82,issue-82:3x3-uct-10000,3x3,10000,2,100,4,1133,118,933,46,11,25,True
82,issue-82:3x3-uct-100000,3x3,100000,1,100,13,1227,134,1044,31,8,10,True
82,issue-82:3x3-uct-100000,3x3,100000,2,100,13,1173,130,996,26,11,10,True
82,issue-82:3x3-uct-30000,3x3,30000,1,100,4,1259,122,1062,47,11,17,True
82,issue-82:3x3-uct-30000,3x3,30000,2,100,4,1138,149,915,47,10,17,True
