source_key,source_issue,dataset_id,minimum_gate,board,iteration_limit,game_index,experiment_id,seed,trial_path,trial_sha256,recorded_winner,status,unresolved_reason,objective_sites,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,previous_p1_objective_pieces,previous_p2_objective_pieces,corrected_p1_objective_pieces,corrected_p2_objective_pieces,previous_objective_piece_margin,corrected_objective_piece_margin,old_reconstructed_winner,old_deciding_layer,corrected_winner,corrected_deciding_layer,reaches_advantage_comparison,reaches_objective_piece_tiebreak,p1_excluded_own_secured,p2_excluded_own_secured,p1_excluded_opponent_secured,p2_excluded_opponent_secured,p1_excluded_opponent_advantage,p2_excluded_opponent_advantage,p1_excluded_neutral,p2_excluded_neutral,source_previous_p1_pieces_match,source_previous_p2_pieces_match,source_p1_secured_match,source_p2_secured_match,source_p1_advantage_match,source_p2_advantage_match,old_winner_reproduced,winner_changed,margin_changed,margin_sign_changed,winner_transition
issue-82-v1-production-uct-010000-g0001,82,issue-82:3x3-uct-10000,True,3x3,10000,1,3x3-uct-10000,831000000,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0001/3x3-uct-10000-0001.trl,87ff8d7c60c33495301d25e421ba961a5b1f1db7dab8f12ffa1b0e0ea1c4eb0a,1,resolved,,9,3,2,2,2,12,10,3,3,2,0,1,secured_objectives,1,secured_objectives,False,False,9,6,0,1,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0002,82,issue-82:3x3-uct-10000,True,3x3,10000,2,3x3-uct-10000,831000001,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0002/3x3-uct-10000-0002.trl,ba9ded35d3a0b06dd46a7788d9855c6c5597b383999c5689f7e1881d6c8f3318,1,resolved,,9,4,3,1,1,14,12,2,2,2,0,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,1,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0003,82,issue-82:3x3-uct-10000,True,3x3,10000,3,3x3-uct-10000,831000002,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0003/3x3-uct-10000-0003.trl,17cbd980e41ff76546c712abeec3356c585fc01c4484dcc4531fe975170992ec,2,resolved,,9,3,3,0,2,12,13,0,2,-1,-2,2,advantage_objectives,2,advantage_objectives,True,False,9,9,1,0,0,0,2,2,True,True,True,True,True,True,True,False,True,False,P2->P2
issue-82-v1-production-uct-010000-g0004,82,issue-82:3x3-uct-10000,True,3x3,10000,4,3x3-uct-10000,831000003,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0004/3x3-uct-10000-0004.trl,ddc824651bbf38593bb8b7f23a6ae1bc7c01f53119022ac5304e4f1df484f576,1,resolved,,9,4,3,1,0,13,10,1,0,3,1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,1,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P1->P1
issue-82-v1-production-uct-010000-g0005,82,issue-82:3x3-uct-10000,True,3x3,10000,5,3x3-uct-10000,831000004,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0005/3x3-uct-10000-0005.trl,ce1d8d3c7233ac13fd9c1ba68a3ddffd2b9335a54509bf89ac735bf0a366b716,1,resolved,,9,4,3,1,1,13,11,1,2,2,-1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0006,82,issue-82:3x3-uct-10000,True,3x3,10000,6,3x3-uct-10000,831000005,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0006/3x3-uct-10000-0006.trl,a4b0abc5f943da84808ae8a503bc587d77aa5174dcb4a454f974170351f90355,1,resolved,,9,4,3,1,1,13,11,1,2,2,-1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0007,82,issue-82:3x3-uct-10000,True,3x3,10000,7,3x3-uct-10000,831000006,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0007/3x3-uct-10000-0007.trl,685931bbb7a6b7cd21da4a51b55edd2d5cb0284ec964ce692344d22340a84f00,2,resolved,,9,3,4,2,0,12,12,2,0,0,2,2,secured_objectives,2,secured_objectives,False,False,9,12,1,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0008,82,issue-82:3x3-uct-10000,True,3x3,10000,8,3x3-uct-10000,831000007,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0008/3x3-uct-10000-0008.trl,dd2fb92414b0723ce3b85f2c00daa506d4549728dfd05785a1f58b53bc98ca76,1,resolved,,9,4,3,0,0,14,12,0,0,2,0,1,secured_objectives,1,secured_objectives,False,False,12,9,0,1,0,0,2,2,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0009,82,issue-82:3x3-uct-10000,True,3x3,10000,9,3x3-uct-10000,831000008,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0009/3x3-uct-10000-0009.trl,7fdd5d075800d9d609c695cc68121d4ac03d07f41be78e3d84371b07d0040096,1,resolved,,9,3,3,2,0,12,9,3,0,3,3,1,advantage_objectives,1,advantage_objectives,True,False,9,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,False,False,P1->P1
issue-82-v1-production-uct-010000-g0010,82,issue-82:3x3-uct-10000,True,3x3,10000,10,3x3-uct-10000,831000009,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0010/3x3-uct-10000-0010.trl,379c8b74d0f36bf88ad8e605dcf600abc2f4e91ee9a3b8fbf574974897efd845,1,resolved,,9,3,2,2,2,13,9,4,3,4,1,1,secured_objectives,1,secured_objectives,False,False,9,6,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P1->P1
issue-82-v1-production-uct-010000-g0011,82,issue-82:3x3-uct-10000,True,3x3,10000,11,3x3-uct-10000,831000010,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0011/3x3-uct-10000-0011.trl,a9e6aadfd134b2b0f1a37b6ada252e8ae97ed7db15b617b024e5128e39de59e3,2,resolved,,9,3,4,1,0,12,12,1,0,0,1,2,secured_objectives,2,secured_objectives,False,False,9,12,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
