source_issue,dataset_id,board,iteration_limit,validated_games,P1->P1,P2->P2,draw->draw,P1->P2,P2->P1,P1->draw,P2->draw,draw->P1,draw->P2
11,issue-11:seeded-random-black-vs-uct-white,4x4,50,10,0,10,0,0,0,0,0,0,0
11,issue-11:seeded-random-self-play,4x4,-1,100,59,39,0,0,0,1,0,0,1
11,issue-11:uct-black-vs-seeded-random-white,4x4,50,10,9,1,0,0,0,0,0,0,0
11,issue-11:uct-self-play,4x4,50,20,4,14,0,0,0,0,2,0,0
30,issue-30:uct-0100-self-play,4x4,100,100,22,68,0,0,4,0,6,0,0
30,issue-30:uct-0500-self-play,4x4,500,100,24,63,1,0,3,2,6,0,1
30,issue-30:uct-1000-self-play,4x4,1000,100,38,47,6,0,1,1,5,0,2
32,issue-32:4x4-uct-10000,4x4,10000,100,48,38,5,1,0,0,3,2,3
32,issue-32:uct-3000-self-play,4x4,3000,100,31,56,3,1,1,3,4,0,1
47,issue-47:4x4-uct-100000,4x4,100000,97,55,35,4,0,0,3,0,0,0
47,issue-47:4x4-uct-30000,4x4,30000,100,56,38,3,0,0,0,0,2,1
56,issue-56:6x6-seeded-random,6x6,-1,100,55,44,0,1,0,0,0,0,0
56,issue-56:6x6-uct-0100,6x6,100,50,9,41,0,0,0,0,0,0,0
56,issue-56:6x6-uct-0500,6x6,500,20,4,15,0,0,0,0,1,0,0
58,issue-58:6x6-uct-0500,6x6,500,30,3,21,0,0,0,0,6,0,0
58,issue-58:6x6-uct-1000,6x6,1000,20,4,14,0,0,0,0,2,0,0
60,issue-60:6x6-uct-1000,6x6,1000,30,5,21,0,0,0,0,4,0,0
62,issue-62:3x3-seeded-random,3x3,-1,100,43,53,3,1,0,0,0,0,0
62,issue-62:3x3-uct-0100,3x3,100,100,29,64,2,0,1,0,4,0,0
62,issue-62:3x3-uct-0500,3x3,500,100,46,43,0,0,0,6,3,0,2
62,issue-62:3x3-uct-1000,3x3,1000,100,47,42,5,0,0,1,3,1,1
73,issue-73:7x7-seeded-random,7x7,-1,100,48,50,0,0,0,1,0,0,1
73,issue-73:7x7-uct-0100,7x7,100,50,11,38,0,0,1,0,0,0,0
73,issue-73:7x7-uct-0500,7x7,500,50,4,40,1,0,1,0,4,0,0
73,issue-73:7x7-uct-1000,7x7,1000,50,6,36,2,0,1,0,5,0,0
77,issue-77:7x7-p84-seeded-random,7x7,-1,100,52,46,0,0,0,2,0,0,0
77,issue-77:7x7-p84-uct-0100,7x7,100,50,5,42,0,0,1,0,2,0,0
77,issue-77:7x7-p84-uct-0500,7x7,500,50,5,40,0,0,2,0,2,1,0
77,issue-77:7x7-p84-uct-1000,7x7,1000,50,10,34,0,0,2,0,4,0,0
77,issue-77:7x7-p96-seeded-random,7x7,-1,100,56,44,0,0,0,0,0,0,0
77,issue-77:7x7-p96-uct-0100,7x7,100,50,6,41,0,0,1,0,2,0,0
77,issue-77:7x7-p96-uct-0500,7x7,500,50,6,44,0,0,0,0,0,0,0
77,issue-77:7x7-p96-uct-1000,7x7,1000,50,5,36,1,0,1,0,7,0,0
82,issue-82:3x3-uct-10000,3x3,10000,100,71,25,3,0,0,0,1,0,0
82,issue-82:3x3-uct-100000,3x3,100000,100,42,48,9,0,0,1,0,0,0
82,issue-82:3x3-uct-30000,3x3,30000,100,68,28,1,0,0,2,0,0,1
