sample,iteration_limit,game_index,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count
issue-82-original,10000,1,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,2,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,3,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,4,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,5,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,6,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,7,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,8,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,9,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,10,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,11,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,12,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,13,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,14,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,15,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,16,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,17,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,18,True,9,1,1,True,True,True,3,True,5
issue-82-original,10000,19,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,20,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,21,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,22,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,23,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,24,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,25,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,26,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,27,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,28,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,29,True,6,1,1,True,True,True,3,True,5
issue-82-original,10000,30,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,31,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,32,True,7,1,1,True,True,True,3,True,5
