iteration_limit,game_index,checkpoint,turn_number,checkpoint_leader,winner,eligible,late_reversal
10000,1,0.75,14,1,1,True,False
10000,1,0.9,17,1,1,True,False
10000,2,0.75,14,1,1,True,False
10000,2,0.9,17,1,1,True,False
10000,3,0.75,14,1,1,True,False
10000,3,0.9,17,1,1,True,False
10000,4,0.75,14,1,1,True,False
10000,4,0.9,17,1,1,True,False
10000,5,0.75,14,1,2,True,True
10000,5,0.9,17,0,2,False,False
10000,6,0.75,14,1,1,True,False
10000,6,0.9,17,1,1,True,False
10000,7,0.75,14,0,1,False,False
10000,7,0.9,17,1,1,True,False
10000,8,0.75,14,1,2,True,True
10000,8,0.9,17,1,2,True,True
10000,9,0.75,14,2,0,False,False
10000,9,0.9,17,1,0,False,False
10000,10,0.75,14,1,1,True,False
10000,10,0.9,17,1,1,True,False
10000,11,0.75,14,2,1,True,True
10000,11,0.9,17,1,1,True,False
10000,12,0.75,14,1,1,True,False
10000,12,0.9,17,1,1,True,False
10000,13,0.75,14,0,2,False,False
10000,13,0.9,17,1,2,True,True
10000,14,0.75,14,1,1,True,False
10000,14,0.9,17,1,1,True,False
10000,15,0.75,14,2,2,True,False
10000,15,0.9,17,2,2,True,False
10000,16,0.75,14,2,0,False,False
10000,16,0.9,17,1,0,False,False
10000,17,0.75,14,1,1,True,False
10000,17,0.9,17,1,1,True,False
10000,18,0.75,14,1,0,False,False
10000,18,0.9,17,0,0,False,False
10000,19,0.75,14,1,2,True,True
10000,19,0.9,17,2,2,True,False
10000,20,0.75,14,1,1,True,False
10000,20,0.9,17,1,1,True,False
10000,21,0.75,14,2,2,True,False
10000,21,0.9,17,1,2,True,True
10000,22,0.75,14,1,1,True,False
10000,22,0.9,17,1,1,True,False
10000,23,0.75,14,1,1,True,False
10000,23,0.9,17,1,1,True,False
10000,24,0.75,14,2,0,False,False
10000,24,0.9,17,1,0,False,False
10000,25,0.75,14,1,1,True,False
10000,25,0.9,17,1,1,True,False
10000,26,0.75,14,2,2,True,False
10000,26,0.9,17,2,2,True,False
10000,27,0.75,14,1,1,True,False
10000,27,0.9,17,1,1,True,False
10000,28,0.75,14,1,1,True,False
10000,28,0.9,17,1,1,True,False
10000,29,0.75,14,0,0,False,False
10000,29,0.9,17,1,0,False,False
10000,30,0.75,14,2,1,True,True
10000,30,0.9,17,1,1,True,False
10000,31,0.75,14,1,1,True,False
10000,31,0.9,17,1,1,True,False
10000,32,0.75,14,0,1,False,False
10000,32,0.9,17,1,1,True,False
10000,33,0.75,14,2,2,True,False
10000,33,0.9,17,2,2,True,False
10000,34,0.75,14,1,0,False,False
10000,34,0.9,17,1,0,False,False
10000,35,0.75,14,1,2,True,True
10000,35,0.9,17,1,2,True,True
10000,36,0.75,14,1,1,True,False
10000,36,0.9,17,1,1,True,False
10000,37,0.75,14,1,1,True,False
10000,37,0.9,17,1,1,True,False
10000,38,0.75,14,1,2,True,True
10000,38,0.9,17,1,2,True,True
10000,39,0.75,14,2,1,True,True
10000,39,0.9,17,1,1,True,False
10000,40,0.75,14,1,2,True,True
10000,40,0.9,17,0,2,False,False
10000,41,0.75,14,0,2,False,False
10000,41,0.9,17,2,2,True,False
10000,42,0.75,14,1,1,True,False
10000,42,0.9,17,1,1,True,False
10000,43,0.75,14,1,1,True,False
10000,43,0.9,17,1,1,True,False
10000,44,0.75,14,1,1,True,False
10000,44,0.9,17,1,1,True,False
10000,45,0.75,14,1,0,False,False
10000,45,0.9,17,1,0,False,False
10000,46,0.75,14,1,1,True,False
