"experiment_id","deciding_criterion","games","rate_pct"
"seeded-random-black-vs-uct-white","secured_objectives","7","70"
"seeded-random-black-vs-uct-white","advantage_objectives","3","30"
"seeded-random-black-vs-uct-white","objective_pieces","0","0"
"seeded-random-black-vs-uct-white","draw","0","0"
"seeded-random-self-play","secured_objectives","70","70"
"seeded-random-self-play","advantage_objectives","24","24"
"seeded-random-self-play","objective_pieces","5","5"
"seeded-random-self-play","draw","1","1"
"uct-black-vs-seeded-random-white","secured_objectives","5","50"
"uct-black-vs-seeded-random-white","advantage_objectives","5","50"
"uct-black-vs-seeded-random-white","objective_pieces","0","0"
"uct-black-vs-seeded-random-white","draw","0","0"
"uct-self-play","secured_objectives","9","45"
"uct-self-play","advantage_objectives","8","40"
"uct-self-play","objective_pieces","3","15"
"uct-self-play","draw","0","0"
