"experiment_id","objective","p1_secured_rate_pct","p2_secured_rate_pct","p1_advantage_rate_pct","p2_advantage_rate_pct","neutral_rate_pct","average_p1_pieces","average_p2_pieces"
"seeded-random-black-vs-uct-white","O00","10","30","10","30","20","0.9","1.5"
"seeded-random-black-vs-uct-white","O01","0","10","20","30","40","0.6","1"
"seeded-random-black-vs-uct-white","O02","0","20","30","20","30","0.7","1"
"seeded-random-black-vs-uct-white","O03","0","0","50","30","20","0.6","0.6"
"seeded-random-black-vs-uct-white","O10","10","10","50","20","10","1.1","0.7"
"seeded-random-black-vs-uct-white","O11","0","0","30","30","40","0.7","0.7"
"seeded-random-black-vs-uct-white","O12","30","10","30","30","0","1.2","0.8"
"seeded-random-black-vs-uct-white","O13","0","10","30","20","40","0.6","0.7"
"seeded-random-black-vs-uct-white","O20","0","40","10","10","40","0.4","1.4"
"seeded-random-black-vs-uct-white","O21","0","10","60","10","20","1.2","0.9"
"seeded-random-black-vs-uct-white","O22","0","0","30","10","60","0.5","0.3"
"seeded-random-black-vs-uct-white","O23","10","0","50","20","20","1.2","0.3"
"seeded-random-black-vs-uct-white","O30","0","20","20","20","40","0.5","1"
"seeded-random-black-vs-uct-white","O31","10","20","20","30","20","0.7","1.1"
"seeded-random-black-vs-uct-white","O32","10","10","20","20","40","0.7","0.7"
"seeded-random-black-vs-uct-white","O33","0","10","40","20","30","0.7","0.5"
"seeded-random-self-play","O00","9","8","29","22","32","0.86","0.75"
"seeded-random-self-play","O01","6","5","27","29","33","0.78","0.81"
"seeded-random-self-play","O02","6","8","32","20","34","0.85","0.78"
"seeded-random-self-play","O03","8","2","28","31","31","0.85","0.7"
"seeded-random-self-play","O10","9","4","31","25","31","0.82","0.68"
"seeded-random-self-play","O11","5","3","26","35","31","0.66","0.66"
"seeded-random-self-play","O12","11","7","24","29","29","0.82","0.79"
"seeded-random-self-play","O13","4","7","25","38","26","0.59","0.92"
"seeded-random-self-play","O20","11","3","29","33","24","0.88","0.75"
"seeded-random-self-play","O21","3","5","26","32","34","0.61","0.73"
"seeded-random-self-play","O22","6","1","21","26","46","0.63","0.51"
"seeded-random-self-play","O23","4","4","24","28","40","0.63","0.75"
"seeded-random-self-play","O30","13","4","28","28","27","0.93","0.73"
"seeded-random-self-play","O31","5","8","23","25","39","0.69","0.72"
"seeded-random-self-play","O32","1","6","27","28","38","0.62","0.73"
"seeded-random-self-play","O33","9","4","24","32","31","0.82","0.78"
"uct-black-vs-seeded-random-white","O00","10","0","60","20","10","1.5","0.5"
"uct-black-vs-seeded-random-white","O01","10","20","20","0","50","1.2","1.3"
"uct-black-vs-seeded-random-white","O02","10","0","10","20","60","0.8","0.8"
"uct-black-vs-seeded-random-white","O03","20","0","10","10","60","0.9","0.3"
"uct-black-vs-seeded-random-white","O10","10","20","30","20","20","1.1","1.1"
"uct-black-vs-seeded-random-white","O11","10","10","20","30","30","0.7","0.8"
"uct-black-vs-seeded-random-white","O12","10","20","20","30","20","0.7","1"
"uct-black-vs-seeded-random-white","O13","20","10","20","10","40","0.9","0.5"
"uct-black-vs-seeded-random-white","O20","0","0","20","10","70","0.5","0.4"
"uct-black-vs-seeded-random-white","O21","10","0","20","20","50","0.9","0.6"
"uct-black-vs-seeded-random-white","O22","10","10","30","30","20","0.9","0.9"
"uct-black-vs-seeded-random-white","O23","10","0","20","30","40","1","0.7"
"uct-black-vs-seeded-random-white","O30","20","10","40","20","10","1.1","0.6"
"uct-black-vs-seeded-random-white","O31","0","0","10","40","50","0.3","0.8"
"uct-black-vs-seeded-random-white","O32","30","0","20","30","20","1.3","0.7"
"uct-black-vs-seeded-random-white","O33","20","10","10","40","20","0.8","1"
"uct-self-play","O00","20","25","25","15","15","1.1","1.05"
"uct-self-play","O01","20","15","10","25","30","0.75","0.85"
"uct-self-play","O02","35","5","25","15","20","1.35","0.4"
"uct-self-play","O03","15","15","30","10","30","0.9","0.65"
"uct-self-play","O10","15","15","20","25","25","1.05","0.9"
"uct-self-play","O11","15","35","15","25","10","0.65","1.35"
"uct-self-play","O12","10","20","30","20","20","0.85","0.9"
"uct-self-play","O13","5","30","30","10","25","0.65","1.05"
"uct-self-play","O20","15","20","10","30","25","0.7","1.1"
"uct-self-play","O21","30","10","20","15","25","1.25","0.8"
"uct-self-play","O22","15","10","15","45","15","0.95","1.05"
"uct-self-play","O23","15","15","25","15","30","0.95","0.85"
"uct-self-play","O30","20","30","20","15","15","0.95","1.25"
"uct-self-play","O31","20","0","45","25","10","1.1","0.4"
"uct-self-play","O32","20","25","15","30","10","1","1.3"
"uct-self-play","O33","5","20","35","20","20","0.75","1"
