experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
"uct-black-vs-seeded-random-white","1","110120","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1384","235","36","36","21","23","15","13","1","1","2","0","3","6","secured_objectives","S00:0:1:1|S01:0:1:1|S02:2:1:2|S03:2:1:2|S04:2:0:1|S10:2:0:1|S11:1:1:0|S12:0:0:0|S13:1:2:0|S14:3:3:2|S20:0:1:1|S21:0:1:1|S22:4:2:3|S23:2:0:1|S24:0:1:1|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:2:0:1|S34:2:0:1|S40:1:1:0|S41:2:0:2|S42:0:0:0|S43:1:1:0|S44:1:2:1|O00:1:1:0|O01:0:1:1|O02:0:1:1|O03:3:3:0|O10:1:1:0|O11:2:0:2|O12:2:1:2|O13:1:1:0|O20:0:0:0|O21:2:1:2|O22:0:0:0|O23:2:1:2|O30:3:3:0|O31:2:1:2|O32:2:0:1|O33:0:0:0","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0001.trl"
"uct-black-vs-seeded-random-white","2","110121","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1383","1343","36","36","22","25","14","11","1","1","2","2","3","2","advantage_objectives","S00:0:2:2|S01:2:1:2|S02:4:0:3|S03:0:0:0|S04:1:1:0|S10:1:2:0|S11:0:1:1|S12:0:1:1|S13:1:2:0|S14:0:1:1|S20:3:3:1|S21:1:1:0|S22:2:0:1|S23:0:2:2|S24:1:1:0|S30:2:0:2|S31:0:0:0|S32:0:0:0|S33:2:0:2|S34:2:0:1|S40:1:2:1|S41:2:0:1|S42:0:0:0|S43:0:2:2|S44:2:0:2|O00:1:2:0|O01:4:0:3|O02:0:2:2|O03:1:2:0|O10:3:3:0|O11:3:3:0|O12:0:0:0|O13:0:0:0|O20:0:1:1|O21:0:0:0|O22:4:0:3|O23:2:0:1|O30:1:1:0|O31:0:0:0|O32:0:0:0|O33:2:0:1","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0002.trl"
"uct-black-vs-seeded-random-white","3","110122","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1345","159","36","36","23","25","13","11","2","2","2","0","2","4","secured_objectives","S00:4:0:3|S01:3:3:0|S02:4:1:3|S03:2:0:1|S04:2:1:2|S10:3:3:0|S11:2:1:2|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:2:0:1|S21:0:1:1|S22:2:0:2|S23:1:2:1|S24:1:1:0|S30:1:2:1|S31:1:2:1|S32:2:0:1|S33:1:1:0|S34:2:0:1|S40:2:0:1|S41:1:1:0|S42:1:2:1|S43:1:2:1|S44:2:0:1|O00:1:2:0|O01:0:1:1|O02:2:0:2|O03:0:0:0|O10:0:2:2|O11:0:0:0|O12:0:0:0|O13:3:3:0|O20:0:0:0|O21:0:1:1|O22:2:0:2|O23:3:3:0|O30:1:1:0|O31:0:0:0|O32:2:0:2|O33:2:0:1","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0003.trl"
"uct-black-vs-seeded-random-white","4","110123","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","827","753","36","36","23","23","13","13","0","1","1","1","5","3","advantage_objectives","S00:0:1:1|S01:0:1:1|S02:1:2:0|S03:1:1:0|S04:1:1:0|S10:0:2:2|S11:1:2:0|S12:2:0:1|S13:2:0:2|S14:0:0:0|S20:2:0:2|S21:0:1:1|S22:4:1:3|S23:0:0:0|S24:1:1:0|S30:2:1:2|S31:0:1:1|S32:2:1:2|S33:0:1:1|S34:1:1:0|S40:0:2:2|S41:0:1:1|S42:0:0:0|S43:1:2:1|S44:0:0:0|O00:1:2:1|O01:1:1:0|O02:2:0:2|O03:0:0:0|O10:4:2:3|O11:1:1:0|O12:2:0:1|O13:0:0:0|O20:0:0:0|O21:0:1:1|O22:0:1:1|O23:0:0:0|O30:1:1:0|O31:2:0:2|O32:3:3:2|O33:1:1:0","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0004.trl"
"uct-black-vs-seeded-random-white","5","110124","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1382","233","36","36","23","25","13","11","0","1","2","0","3","6","secured_objectives","S00:2:1:2|S01:1:2:0|S02:1:1:0|S03:2:1:2|S04:2:0:2|S10:0:1:1|S11:1:2:0|S12:2:0:1|S13:1:1:0|S14:0:1:1|S20:2:0:1|S21:0:1:1|S22:2:0:2|S23:1:1:0|S24:0:0:0|S30:0:1:1|S31:0:0:0|S32:2:1:2|S33:1:2:1|S34:0:1:1|S40:2:1:2|S41:4:1:3|S42:1:2:0|S43:2:0:1|S44:1:2:1|O00:3:3:0|O01:3:3:1|O02:0:0:0|O03:2:0:2|O10:2:0:1|O11:0:1:1|O12:2:0:1|O13:0:0:0|O20:0:0:0|O21:2:0:1|O22:1:2:1|O23:2:0:1|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:2:1:2","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0005.trl"
"uct-black-vs-seeded-random-white","6","110125","UCT","SeededRandom","50","-1.0","true","NaturalEnd","2","72","24","827","863","36","36","23","24","13","12","1","2","1","1","5","6","advantage_objectives","S00:1:1:0|S01:4:0:3|S02:1:2:0|S03:2:0:1|S04:0:2:2|S10:0:1:1|S11:2:0:1|S12:2:1:2|S13:1:2:0|S14:3:3:0|S20:2:1:2|S21:1:1:0|S22:2:0:1|S23:4:1:3|S24:2:0:2|S30:2:0:1|S31:0:1:1|S32:2:0:1|S33:1:2:0|S34:1:1:0|S40:1:1:0|S41:0:0:0|S42:2:1:2|S43:1:1:0|S44:0:1:1|O00:2:0:1|O01:0:0:0|O02:3:3:0|O03:0:0:0|O10:1:1:0|O11:2:0:1|O12:4:1:3|O13:2:0:1|O20:1:1:0|O21:0:1:1|O22:2:0:1|O23:1:2:0|O30:1:2:0|O31:2:0:2|O32:1:2:1|O33:2:0:1","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0006.trl"
"uct-black-vs-seeded-random-white","7","110126","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","2606","1382","36","36","20","23","16","13","2","2","4","2","2","3","secured_objectives","S00:1:2:0|S01:1:2:0|S02:0:0:0|S03:3:3:0|S04:2:0:1|S10:2:1:2|S11:2:0:2|S12:2:0:2|S13:1:1:0|S14:0:1:1|S20:2:0:1|S21:0:0:0|S22:1:2:1|S23:4:1:3|S24:2:0:2|S30:0:0:0|S31:2:0:1|S32:1:1:0|S33:3:3:0|S34:0:0:0|S40:4:2:3|S41:0:1:1|S42:0:0:0|S43:2:0:2|S44:2:0:1|O00:2:0:1|O01:4:0:3|O02:0:0:0|O03:0:1:1|O10:0:0:0|O11:4:0:3|O12:3:3:0|O13:3:3:0|O20:2:0:1|O21:1:1:0|O22:1:1:0|O23:0:1:1|O30:2:0:1|O31:0:0:0|O32:3:3:0|O33:3:3:2","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0007.trl"
"uct-black-vs-seeded-random-white","8","110127","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1421","713","36","36","21","26","15","10","1","4","2","1","4","2","secured_objectives","S00:0:0:0|S01:1:2:0|S02:4:1:3|S03:1:1:0|S04:0:2:2|S10:4:0:3|S11:2:1:2|S12:1:2:0|S13:1:1:0|S14:4:0:3|S20:0:0:0|S21:1:1:0|S22:0:0:0|S23:0:0:0|S24:2:0:1|S30:4:2:3|S31:0:0:0|S32:0:2:2|S33:0:1:1|S34:0:1:1|S40:2:1:2|S41:2:0:1|S42:0:0:0|S43:2:0:1|S44:3:3:1|O00:1:2:1|O01:0:2:2|O02:0:0:0|O03:0:0:0|O10:2:0:2|O11:0:0:0|O12:1:1:0|O13:0:1:1|O20:0:0:0|O21:1:1:0|O22:1:2:0|O23:0:0:0|O30:4:0:3|O31:2:0:1|O32:3:3:0|O33:3:3:0","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0008.trl"
"uct-black-vs-seeded-random-white","9","110128","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1459","1344","36","36","20","24","16","12","0","0","2","2","5","2","advantage_objectives","S00:1:1:0|S01:0:1:1|S02:2:0:2|S03:0:2:2|S04:0:1:1|S10:0:1:1|S11:1:1:0|S12:2:1:2|S13:2:0:2|S14:2:0:1|S20:0:1:1|S21:0:1:1|S22:0:0:0|S23:2:1:2|S24:2:1:2|S30:2:0:2|S31:1:1:0|S32:0:0:0|S33:1:1:0|S34:1:2:0|S40:1:2:0|S41:1:1:0|S42:2:0:1|S43:2:0:2|S44:0:1:1|O00:1:2:0|O01:1:2:0|O02:1:1:0|O03:3:3:0|O10:1:1:0|O11:2:0:1|O12:4:0:3|O13:4:0:3|O20:0:1:1|O21:0:0:0|O22:2:0:1|O23:1:2:1|O30:3:3:1|O31:0:1:1|O32:0:0:0|O33:0:0:0","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0009.trl"
"uct-black-vs-seeded-random-white","10","110129","UCT","SeededRandom","50","-1.0","true","NaturalEnd","1","72","24","1424","1346","36","36","18","22","18","14","1","2","2","2","4","2","advantage_objectives","S00:1:2:1|S01:2:0:2|S02:1:2:1|S03:2:0:1|S04:0:0:0|S10:2:0:1|S11:0:1:1|S12:2:0:1|S13:1:1:0|S14:2:1:2|S20:4:0:3|S21:3:3:0|S22:0:2:2|S23:1:1:0|S24:2:0:1|S30:0:0:0|S31:2:0:1|S32:1:1:0|S33:2:0:1|S34:1:1:0|S40:4:2:3|S41:0:0:0|S42:0:0:0|S43:1:1:0|S44:2:0:1|O00:0:1:1|O01:0:2:2|O02:0:1:1|O03:0:0:0|O10:4:1:3|O11:1:2:0|O12:1:1:0|O13:1:1:0|O20:1:2:1|O21:3:3:0|O22:3:3:0|O23:0:1:1|O30:2:0:1|O31:0:0:0|O32:2:0:1|O33:4:0:3","experiments/issue-11/results/trials/uct-black-vs-seeded-random-white/uct-black-vs-seeded-random-white-0010.trl"
