iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share,sample
10000,1,1131000000,1,secured_objectives,1,1,1,9,5,4,2,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,2,1131000001,0,draw,0,0,0,,9,4,2,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,3,1131000002,2,secured_objectives,-1,1,1,24,7,4,2,2,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,4,1131000003,2,objective_pieces,0,0,-1,24,6,5,2,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,5,1131000004,2,advantage_objectives,0,-1,-1,24,7,5,2,3,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
10000,6,1131000005,2,objective_pieces,0,0,-1,24,7,3,1,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
10000,7,1131000006,2,advantage_objectives,0,-1,-1,22,14,4,2,2,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
10000,8,1131000007,1,secured_objectives,1,0,1,23,6,4,2,2,36,36,0.5,0.5,issue-112-corrected
10000,9,1131000008,2,secured_objectives,-1,2,2,22,8,5,2,3,43,29,0.5972222222222222,0.4027777777777778,issue-112-corrected
10000,10,1131000009,2,objective_pieces,0,0,-1,24,8,2,1,1,31,41,0.4305555555555556,0.5694444444444444,issue-112-corrected
10000,11,1131000010,2,advantage_objectives,0,-1,0,24,8,5,1,4,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
10000,12,1131000011,2,secured_objectives,-1,1,2,24,7,5,3,2,36,36,0.5,0.5,issue-112-corrected
10000,13,1131000012,2,secured_objectives,-1,3,3,24,12,3,0,3,36,36,0.5,0.5,issue-112-corrected
10000,14,1131000013,1,advantage_objectives,0,2,3,23,8,3,1,2,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
10000,15,1131000014,0,draw,0,0,0,,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,16,1131000015,1,advantage_objectives,0,1,2,23,8,3,1,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,17,1131000016,1,advantage_objectives,0,3,2,7,5,4,2,2,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
10000,18,1131000017,1,secured_objectives,2,-3,-4,23,5,6,3,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,19,1131000018,2,advantage_objectives,0,-1,-1,22,10,2,0,2,31,41,0.4305555555555556,0.5694444444444444,issue-112-corrected
10000,20,1131000019,1,secured_objectives,2,-2,-3,17,7,5,2,3,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
10000,21,1131000020,1,advantage_objectives,0,1,1,23,7,4,3,1,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,22,1131000021,1,secured_objectives,1,0,-1,19,7,4,4,0,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,23,1131000022,1,secured_objectives,1,-1,-1,21,4,5,2,3,36,36,0.5,0.5,issue-112-corrected
10000,24,1131000023,2,secured_objectives,-1,3,3,24,4,3,0,3,29,43,0.4027777777777778,0.5972222222222222,issue-112-corrected
10000,25,1131000024,0,draw,0,0,0,,16,1,0,1,24,48,0.3333333333333333,0.6666666666666666,issue-112-corrected
10000,26,1131000025,0,draw,0,0,0,,6,5,3,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,27,1131000026,2,objective_pieces,0,0,-1,24,9,4,2,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,28,1131000027,0,draw,0,0,0,,6,5,2,3,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,29,1131000028,1,secured_objectives,1,1,2,3,7,1,1,0,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,30,1131000029,1,secured_objectives,1,1,0,9,4,4,1,3,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
10000,31,1131000030,2,objective_pieces,0,0,-1,22,7,3,2,1,36,36,0.5,0.5,issue-112-corrected
10000,32,1131000031,2,secured_objectives,-1,3,3,22,7,3,1,2,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
10000,33,1131000032,2,secured_objectives,-1,2,3,24,12,1,0,1,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,34,1131000033,1,secured_objectives,1,-1,-1,15,10,4,1,3,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
10000,35,1131000034,1,advantage_objectives,0,2,3,23,5,5,2,3,36,36,0.5,0.5,issue-112-corrected
10000,36,1131000035,1,secured_objectives,1,-2,-4,21,9,3,2,1,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,37,1131000036,1,secured_objectives,1,-2,-4,23,5,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,38,1131000037,1,secured_objectives,1,-1,-1,17,6,4,2,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
10000,39,1131000038,1,advantage_objectives,0,1,3,21,5,4,2,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
10000,40,1131000039,2,secured_objectives,-1,2,3,18,8,2,0,2,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,41,1131000040,1,secured_objectives,1,-1,-1,19,5,4,1,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,42,1131000041,1,advantage_objectives,0,1,0,17,6,2,0,2,36,36,0.5,0.5,issue-112-corrected
10000,43,1131000042,2,advantage_objectives,0,-1,0,24,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,44,1131000043,1,secured_objectives,1,0,-1,21,11,2,1,1,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,45,1131000044,1,advantage_objectives,0,1,1,23,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,46,1131000045,1,secured_objectives,1,-2,-3,21,10,1,0,1,30,42,0.4166666666666667,0.5833333333333334,issue-112-corrected
10000,47,1131000046,0,draw,0,0,0,,3,5,1,4,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
10000,48,1131000047,1,secured_objectives,1,0,0,15,7,6,3,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,49,1131000048,2,secured_objectives,-1,-1,1,20,10,3,1,2,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,50,1131000049,2,secured_objectives,-1,1,2,22,6,4,2,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,51,1131000050,1,secured_objectives,1,0,-2,21,6,4,1,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,52,1131000051,1,advantage_objectives,0,1,1,23,7,4,2,2,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
