iteration_limit,measure,baseline,baseline_rate,corrected_regenerated_rate,corrected_minus_baseline,bootstrap_95_low,bootstrap_95_high
10000,p1,issue-83-historical-original,0.49,0.47,-0.02,-0.16,0.12
10000,draw,issue-83-historical-original,0.1,0.13,0.03,-0.06,0.12
10000,p1,issue-105-terminal-rescore,0.5,0.47,-0.03,-0.17,0.11
10000,draw,issue-105-terminal-rescore,0.08,0.13,0.05,-0.03,0.14
30000,p1,issue-83-historical-original,0.56,0.48,-0.08,-0.21,0.06
30000,draw,issue-83-historical-original,0.06,0.14,0.08,0.0,0.16
30000,p1,issue-105-terminal-rescore,0.58,0.48,-0.1,-0.24,0.04
30000,draw,issue-105-terminal-rescore,0.03,0.14,0.11,0.04,0.19
100000,p1,issue-83-historical-original,0.597938,0.55,-0.047938,-0.188564,0.083918
100000,draw,issue-83-historical-original,0.041237,0.14,0.098763,0.018454,0.179072
100000,p1,issue-105-terminal-rescore,0.56701,0.55,-0.01701,-0.159175,0.123616
100000,draw,issue-105-terminal-rescore,0.072165,0.14,0.067835,-0.014028,0.157835
