iteration_limit,game_index,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share
10000,1,5,4,2,2,38,34,0.5277777777777778,0.4722222222222222
10000,2,9,4,2,2,37,35,0.5138888888888888,0.4861111111111111
10000,3,7,4,2,2,34,38,0.4722222222222222,0.5277777777777778
10000,4,6,5,2,3,37,35,0.5138888888888888,0.4861111111111111
10000,5,7,5,2,3,33,39,0.4583333333333333,0.5416666666666666
10000,6,7,3,1,2,35,37,0.4861111111111111,0.5138888888888888
10000,7,14,4,2,2,41,31,0.5694444444444444,0.4305555555555556
10000,8,6,4,2,2,36,36,0.5,0.5
10000,9,8,5,2,3,43,29,0.5972222222222222,0.4027777777777778
10000,10,8,2,1,1,31,41,0.4305555555555556,0.5694444444444444
10000,11,8,5,1,4,42,30,0.5833333333333334,0.4166666666666667
10000,12,7,5,3,2,36,36,0.5,0.5
10000,13,12,3,0,3,36,36,0.5,0.5
10000,14,8,3,1,2,32,40,0.4444444444444444,0.5555555555555556
10000,15,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333
10000,16,8,3,1,2,40,32,0.5555555555555556,0.4444444444444444
10000,17,5,4,2,2,41,31,0.5694444444444444,0.4305555555555556
10000,18,5,6,3,3,38,34,0.5277777777777778,0.4722222222222222
10000,19,10,2,0,2,31,41,0.4305555555555556,0.5694444444444444
10000,20,7,5,2,3,42,30,0.5833333333333334,0.4166666666666667
10000,21,7,4,3,1,39,33,0.5416666666666666,0.4583333333333333
10000,22,7,4,4,0,37,35,0.5138888888888888,0.4861111111111111
10000,23,4,5,2,3,36,36,0.5,0.5
10000,24,4,3,0,3,29,43,0.4027777777777778,0.5972222222222222
10000,25,16,1,0,1,24,48,0.3333333333333333,0.6666666666666666
10000,26,6,5,3,2,38,34,0.5277777777777778,0.4722222222222222
10000,27,9,4,2,2,37,35,0.5138888888888888,0.4861111111111111
10000,28,6,5,2,3,34,38,0.4722222222222222,0.5277777777777778
10000,29,7,1,1,0,40,32,0.5555555555555556,0.4444444444444444
10000,30,4,4,1,3,33,39,0.4583333333333333,0.5416666666666666
10000,31,7,3,2,1,36,36,0.5,0.5
10000,32,7,3,1,2,32,40,0.4444444444444444,0.5555555555555556
10000,33,12,1,0,1,34,38,0.4722222222222222,0.5277777777777778
10000,34,10,4,1,3,32,40,0.4444444444444444,0.5555555555555556
10000,35,5,5,2,3,36,36,0.5,0.5
10000,36,9,3,2,1,38,34,0.5277777777777778,0.4722222222222222
10000,37,5,5,2,3,39,33,0.5416666666666666,0.4583333333333333
10000,38,6,4,2,2,40,32,0.5555555555555556,0.4444444444444444
10000,39,5,4,2,2,35,37,0.4861111111111111,0.5138888888888888
10000,40,8,2,0,2,39,33,0.5416666666666666,0.4583333333333333
10000,41,5,4,1,3,38,34,0.5277777777777778,0.4722222222222222
10000,42,6,2,0,2,36,36,0.5,0.5
10000,43,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333
10000,44,11,2,1,1,34,38,0.4722222222222222,0.5277777777777778
10000,45,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333
10000,46,10,1,0,1,30,42,0.4166666666666667,0.5833333333333334
10000,47,3,5,1,4,32,40,0.4444444444444444,0.5555555555555556
10000,48,7,6,3,3,39,33,0.5416666666666666,0.4583333333333333
10000,49,10,3,1,2,34,38,0.4722222222222222,0.5277777777777778
10000,50,6,4,2,2,37,35,0.5138888888888888,0.4861111111111111
10000,51,6,4,1,3,39,33,0.5416666666666666,0.4583333333333333
10000,52,7,4,2,2,33,39,0.4583333333333333,0.5416666666666666
10000,53,8,4,1,3,42,30,0.5833333333333334,0.4166666666666667
10000,54,7,3,1,2,38,34,0.5277777777777778,0.4722222222222222
10000,55,8,5,2,3,43,29,0.5972222222222222,0.4027777777777778
10000,56,4,4,1,3,36,36,0.5,0.5
10000,57,12,2,0,2,35,37,0.4861111111111111,0.5138888888888888
10000,58,8,3,1,2,37,35,0.5138888888888888,0.4861111111111111
10000,59,4,5,3,2,37,35,0.5138888888888888,0.4861111111111111
10000,60,4,3,0,3,34,38,0.4722222222222222,0.5277777777777778
10000,61,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
10000,62,6,4,2,2,37,35,0.5138888888888888,0.4861111111111111
10000,63,8,3,2,1,36,36,0.5,0.5
10000,64,8,4,1,3,38,34,0.5277777777777778,0.4722222222222222
10000,65,4,5,3,2,37,35,0.5138888888888888,0.4861111111111111
10000,66,5,5,2,3,37,35,0.5138888888888888,0.4861111111111111
10000,67,10,4,1,3,31,41,0.4305555555555556,0.5694444444444444
10000,68,7,4,1,3,35,37,0.4861111111111111,0.5138888888888888
10000,69,10,3,0,3,33,39,0.4583333333333333,0.5416666666666666
10000,70,5,5,3,2,39,33,0.5416666666666666,0.4583333333333333
10000,71,10,5,2,3,38,34,0.5277777777777778,0.4722222222222222
10000,72,12,4,1,3,41,31,0.5694444444444444,0.4305555555555556
10000,73,4,3,1,2,32,40,0.4444444444444444,0.5555555555555556
10000,74,5,4,1,3,40,32,0.5555555555555556,0.4444444444444444
10000,75,6,5,2,3,41,31,0.5694444444444444,0.4305555555555556
10000,76,6,4,2,2,36,36,0.5,0.5
10000,77,10,2,1,1,35,37,0.4861111111111111,0.5138888888888888
10000,78,5,6,2,4,40,32,0.5555555555555556,0.4444444444444444
10000,79,4,3,2,1,36,36,0.5,0.5
10000,80,6,4,2,2,36,36,0.5,0.5
10000,81,7,4,1,3,37,35,0.5138888888888888,0.4861111111111111
10000,82,17,5,2,3,39,33,0.5416666666666666,0.4583333333333333
10000,83,20,1,0,1,37,35,0.5138888888888888,0.4861111111111111
10000,84,8,3,1,2,37,35,0.5138888888888888,0.4861111111111111
10000,85,8,4,1,3,38,34,0.5277777777777778,0.4722222222222222
10000,86,6,5,1,4,39,33,0.5416666666666666,0.4583333333333333
10000,87,8,3,0,3,40,32,0.5555555555555556,0.4444444444444444
10000,88,4,4,1,3,33,39,0.4583333333333333,0.5416666666666666
10000,89,7,5,2,3,41,31,0.5694444444444444,0.4305555555555556
10000,90,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333
10000,91,5,3,2,1,41,31,0.5694444444444444,0.4305555555555556
10000,92,12,3,1,2,37,35,0.5138888888888888,0.4861111111111111
10000,93,4,3,1,2,40,32,0.5555555555555556,0.4444444444444444
10000,94,8,3,1,2,39,33,0.5416666666666666,0.4583333333333333
10000,95,5,5,3,2,40,32,0.5555555555555556,0.4444444444444444
10000,96,4,6,2,4,38,34,0.5277777777777778,0.4722222222222222
10000,97,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
10000,98,5,4,1,3,37,35,0.5138888888888888,0.4861111111111111
10000,99,8,3,0,3,40,32,0.5555555555555556,0.4444444444444444
10000,100,6,4,1,3,37,35,0.5138888888888888,0.4861111111111111
30000,1,4,4,1,3,37,35,0.5138888888888888,0.4861111111111111
30000,2,7,4,2,2,38,34,0.5277777777777778,0.4722222222222222
30000,3,7,3,1,2,35,37,0.4861111111111111,0.5138888888888888
30000,4,5,4,3,1,36,36,0.5,0.5
30000,5,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,6,3,4,2,2,33,39,0.4583333333333333,0.5416666666666666
30000,7,4,6,3,3,39,33,0.5416666666666666,0.4583333333333333
30000,8,6,4,1,3,36,36,0.5,0.5
30000,9,3,3,2,1,39,33,0.5416666666666666,0.4583333333333333
30000,10,5,5,3,2,41,31,0.5694444444444444,0.4305555555555556
30000,11,4,4,1,3,37,35,0.5138888888888888,0.4861111111111111
30000,12,4,5,3,2,38,34,0.5277777777777778,0.4722222222222222
30000,13,6,6,2,4,44,28,0.6111111111111112,0.3888888888888889
30000,14,5,5,3,2,42,30,0.5833333333333334,0.4166666666666667
30000,15,4,4,1,3,32,40,0.4444444444444444,0.5555555555555556
30000,16,13,6,2,4,38,34,0.5277777777777778,0.4722222222222222
30000,17,5,5,2,3,34,38,0.4722222222222222,0.5277777777777778
30000,18,6,3,0,3,35,37,0.4861111111111111,0.5138888888888888
30000,19,4,3,0,3,35,37,0.4861111111111111,0.5138888888888888
30000,20,6,5,1,4,34,38,0.4722222222222222,0.5277777777777778
30000,21,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,22,6,3,1,2,36,36,0.5,0.5
30000,23,3,5,2,3,39,33,0.5416666666666666,0.4583333333333333
30000,24,5,5,2,3,44,28,0.6111111111111112,0.3888888888888889
30000,25,4,4,1,3,36,36,0.5,0.5
30000,26,6,4,1,3,35,37,0.4861111111111111,0.5138888888888888
30000,27,6,5,2,3,34,38,0.4722222222222222,0.5277777777777778
30000,28,4,3,1,2,40,32,0.5555555555555556,0.4444444444444444
30000,29,6,5,3,2,36,36,0.5,0.5
30000,30,7,5,1,4,43,29,0.5972222222222222,0.4027777777777778
30000,31,3,4,2,2,35,37,0.4861111111111111,0.5138888888888888
30000,32,8,5,2,3,36,36,0.5,0.5
30000,33,5,4,2,2,33,39,0.4583333333333333,0.5416666666666666
30000,34,9,3,2,1,38,34,0.5277777777777778,0.4722222222222222
30000,35,8,4,1,3,37,35,0.5138888888888888,0.4861111111111111
30000,36,6,3,1,2,36,36,0.5,0.5
30000,37,7,4,2,2,37,35,0.5138888888888888,0.4861111111111111
30000,38,4,3,1,2,36,36,0.5,0.5
30000,39,3,4,2,2,39,33,0.5416666666666666,0.4583333333333333
30000,40,7,5,2,3,37,35,0.5138888888888888,0.4861111111111111
30000,41,5,4,2,2,40,32,0.5555555555555556,0.4444444444444444
30000,42,6,4,1,3,35,37,0.4861111111111111,0.5138888888888888
30000,43,6,4,2,2,35,37,0.4861111111111111,0.5138888888888888
30000,44,9,4,3,1,41,31,0.5694444444444444,0.4305555555555556
30000,45,6,5,2,3,40,32,0.5555555555555556,0.4444444444444444
30000,46,8,5,1,4,37,35,0.5138888888888888,0.4861111111111111
30000,47,5,5,3,2,36,36,0.5,0.5
30000,48,5,3,2,1,33,39,0.4583333333333333,0.5416666666666666
30000,49,5,5,2,3,41,31,0.5694444444444444,0.4305555555555556
30000,50,6,3,1,2,31,41,0.4305555555555556,0.5694444444444444
30000,51,4,5,2,3,36,36,0.5,0.5
30000,52,5,4,2,2,43,29,0.5972222222222222,0.4027777777777778
