"experiment_id","iteration_limit","deciding_criterion","games","rate_pct"
"uct-0100-self-play","100","advantage_objectives","41","41"
"uct-0100-self-play","100","draw","0","0"
"uct-0100-self-play","100","objective_pieces","18","18"
"uct-0100-self-play","100","secured_objectives","41","41"
"uct-0500-self-play","500","advantage_objectives","35","35"
"uct-0500-self-play","500","draw","2","2"
"uct-0500-self-play","500","objective_pieces","19","19"
"uct-0500-self-play","500","secured_objectives","44","44"
"uct-1000-self-play","1000","advantage_objectives","29","29"
"uct-1000-self-play","1000","draw","8","8"
"uct-1000-self-play","1000","objective_pieces","11","11"
"uct-1000-self-play","1000","secured_objectives","52","52"
