"experiment_id","iteration_limit","point","p1_secured_rate_pct","p2_secured_rate_pct","p1_control_or_advantage_rate_pct","p2_control_or_advantage_rate_pct","neutral_rate_pct","average_p1_pieces","average_p2_pieces","average_total_pieces"
"uct-0100-self-play","100","O00","19","23","14","18","26","0.87","0.97","1.84"
"uct-0100-self-play","100","O01","23","23","18","15","21","1.1","1.03","2.13"
"uct-0100-self-play","100","O02","24","31","11","12","22","1.04","1.21","2.25"
"uct-0100-self-play","100","O03","25","23","9","24","19","0.99","1.12","2.11"
"uct-0100-self-play","100","O10","25","24","16","9","26","1.1","0.93","2.03"
"uct-0100-self-play","100","O11","22","24","12","18","24","0.93","1.11","2.04"
"uct-0100-self-play","100","O12","29","22","17","11","21","1.22","0.96","2.18"
"uct-0100-self-play","100","O13","24","21","19","14","22","1.05","0.92","1.97"
"uct-0100-self-play","100","O20","28","24","15","14","19","1.16","1.01","2.17"
"uct-0100-self-play","100","O21","21","25","20","19","15","1.05","1.1","2.15"
"uct-0100-self-play","100","O22","19","30","20","9","22","0.93","1.13","2.06"
"uct-0100-self-play","100","O23","25","24","18","12","21","1.12","0.99","2.11"
"uct-0100-self-play","100","O30","25","22","15","17","21","1.02","0.96","1.98"
"uct-0100-self-play","100","O31","25","16","16","17","26","1.07","0.88","1.95"
"uct-0100-self-play","100","O32","18","27","13","14","28","0.86","1.11","1.97"
"uct-0100-self-play","100","O33","19","23","16","16","26","0.86","1","1.86"
"uct-0500-self-play","500","O00","28","31","7","5","29","1.08","1.12","2.2"
"uct-0500-self-play","500","O01","28","28","9","20","15","1.09","1.24","2.33"
"uct-0500-self-play","500","O02","28","38","8","8","18","1.09","1.37","2.46"
"uct-0500-self-play","500","O03","26","31","9","11","23","1.01","1.17","2.18"
"uct-0500-self-play","500","O10","35","29","12","14","10","1.37","1.15","2.52"
"uct-0500-self-play","500","O11","31","38","9","6","16","1.24","1.38","2.62"
"uct-0500-self-play","500","O12","34","38","11","7","10","1.29","1.37","2.66"
"uct-0500-self-play","500","O13","33","29","13","11","14","1.22","1.12","2.34"
"uct-0500-self-play","500","O20","28","26","12","21","13","1.09","1.09","2.18"
"uct-0500-self-play","500","O21","35","30","9","14","12","1.29","1.29","2.58"
"uct-0500-self-play","500","O22","32","36","9","12","11","1.22","1.35","2.57"
"uct-0500-self-play","500","O23","38","29","8","11","14","1.41","1.08","2.49"
"uct-0500-self-play","500","O30","28","23","18","12","19","1.19","0.94","2.13"
"uct-0500-self-play","500","O31","25","29","14","16","16","1.04","1.15","2.19"
"uct-0500-self-play","500","O32","37","29","17","11","6","1.4","1.17","2.57"
"uct-0500-self-play","500","O33","28","35","14","11","12","1.13","1.27","2.4"
"uct-1000-self-play","1000","O00","32","31","15","8","14","1.23","1.09","2.32"
"uct-1000-self-play","1000","O01","41","35","9","7","8","1.44","1.22","2.66"
"uct-1000-self-play","1000","O02","31","37","6","12","14","1.07","1.32","2.39"
"uct-1000-self-play","1000","O03","31","24","16","11","18","1.17","0.94","2.11"
"uct-1000-self-play","1000","O10","35","27","16","8","14","1.34","1.1","2.44"
"uct-1000-self-play","1000","O11","47","35","8","4","6","1.63","1.21","2.84"
"uct-1000-self-play","1000","O12","37","36","11","10","6","1.39","1.38","2.77"
"uct-1000-self-play","1000","O13","30","33","6","14","17","1.13","1.29","2.42"
"uct-1000-self-play","1000","O20","32","31","14","8","15","1.24","1.21","2.45"
"uct-1000-self-play","1000","O21","37","40","5","8","10","1.24","1.45","2.69"
"uct-1000-self-play","1000","O22","42","36","11","4","7","1.55","1.27","2.82"
"uct-1000-self-play","1000","O23","30","36","10","10","14","1.02","1.28","2.3"
"uct-1000-self-play","1000","O30","30","25","12","12","21","1.1","0.98","2.08"
"uct-1000-self-play","1000","O31","27","35","15","6","17","1.04","1.22","2.26"
"uct-1000-self-play","1000","O32","25","41","10","10","14","0.96","1.4","2.36"
"uct-1000-self-play","1000","O33","26","31","12","16","15","1.02","1.24","2.26"
