experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
"uct-1000-self-play","51","300250","UCT","UCT","1000","-1.0","true","NaturalEnd","2","72","24","3238","3275","36","36","17","17","19","19","0","1","5","5","2","3","advantage_objectives","S00:2:0:2|S01:0:0:0|S02:1:2:1|S03:1:2:1|S04:0:0:0|S10:2:0:1|S11:4:1:3|S12:1:2:1|S13:0:1:1|S14:1:1:0|S20:0:0:0|S21:0:1:1|S22:1:2:1|S23:2:1:2|S24:0:0:0|S30:2:0:1|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:1:1:0|S43:0:0:0|S44:2:0:2|O00:4:0:3|O01:3:3:0|O02:4:0:3|O03:3:3:1|O10:4:0:3|O11:4:2:3|O12:2:0:1|O13:3:3:0|O20:2:0:1|O21:3:3:0|O22:3:3:0|O23:2:0:1|O30:1:1:0|O31:1:1:0|O32:0:0:0|O33:4:0:3","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0051.trl"
"uct-1000-self-play","52","300251","UCT","UCT","1000","-1.0","true","NaturalEnd","1","72","24","4426","3796","36","36","13","14","23","22","1","0","7","6","0","0","secured_objectives","S00:0:0:0|S01:0:1:1|S02:2:0:1|S03:2:0:1|S04:1:1:0|S10:2:0:1|S11:0:0:0|S12:0:1:1|S13:0:0:0|S14:2:0:2|S20:1:1:0|S21:0:1:1|S22:0:0:0|S23:1:1:0|S24:0:0:0|S30:2:0:2|S31:3:3:0|S32:0:1:1|S33:2:0:1|S34:0:0:0|S40:0:1:1|S41:0:0:0|S42:2:0:1|S43:1:1:0|S44:1:1:0|O00:4:0:3|O01:4:1:3|O02:4:0:3|O03:4:0:3|O10:4:1:3|O11:3:3:0|O12:3:3:0|O13:4:0:3|O20:3:3:2|O21:3:3:0|O22:0:0:0|O23:0:0:0|O30:3:3:0|O31:3:3:0|O32:0:0:0|O33:3:3:2","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0052.trl"
"uct-1000-self-play","53","300252","UCT","UCT","1000","-1.0","true","NaturalEnd","1","72","24","3274","2645","36","36","18","18","18","18","0","1","5","4","3","3","secured_objectives","S00:2:0:1|S01:1:1:0|S02:1:1:0|S03:1:1:0|S04:0:0:0|S10:2:0:1|S11:0:1:1|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:1:1:0|S21:1:2:1|S22:0:2:2|S23:0:1:1|S24:2:0:1|S30:0:0:0|S31:4:2:3|S32:1:2:1|S33:0:1:1|S34:0:0:0|S40:0:0:0|S41:0:1:1|S42:2:0:1|S43:0:0:0|S44:2:0:1|O00:3:3:0|O01:3:3:0|O02:1:1:0|O03:1:1:0|O10:3:3:0|O11:1:1:0|O12:4:0:3|O13:2:0:2|O20:3:3:1|O21:4:0:3|O22:3:3:0|O23:0:0:0|O30:4:0:3|O31:4:0:3|O32:2:0:2|O33:2:0:1","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0053.trl"
"uct-1000-self-play","54","300253","UCT","UCT","1000","-1.0","true","NaturalEnd","1","72","24","3831","3237","36","36","16","18","20","18","1","2","6","5","1","2","secured_objectives","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:2:0:1|S04:0:0:0|S10:2:0:2|S11:0:1:1|S12:2:0:1|S13:1:1:0|S14:1:2:0|S20:0:0:0|S21:0:1:1|S22:0:0:0|S23:1:1:0|S24:0:0:0|S30:4:2:3|S31:4:2:3|S32:2:0:2|S33:3:3:2|S34:1:2:0|S40:2:0:2|S41:0:0:0|S42:0:0:0|S43:1:1:0|S44:0:0:0|O00:2:0:1|O01:0:0:0|O02:4:1:3|O03:3:3:0|O10:4:0:3|O11:2:0:1|O12:3:3:1|O13:3:3:0|O20:4:0:3|O21:0:0:0|O22:3:3:0|O23:3:3:0|O30:4:0:3|O31:4:0:3|O32:1:1:0|O33:3:3:0","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0054.trl"
"uct-1000-self-play","55","300254","UCT","UCT","1000","-1.0","true","NaturalEnd","1","72","24","3830","2608","36","36","17","18","19","18","1","0","6","4","1","2","secured_objectives","S00:2:0:1|S01:0:1:1|S02:0:0:0|S03:1:2:0|S04:1:1:0|S10:2:1:2|S11:2:1:2|S12:1:2:1|S13:1:1:0|S14:2:0:1|S20:2:0:1|S21:0:1:1|S22:1:1:0|S23:0:1:1|S24:1:1:0|S30:0:1:1|S31:0:0:0|S32:2:0:1|S33:3:3:2|S34:2:0:2|S40:2:0:1|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:4:0:3|O01:4:0:3|O02:3:3:0|O03:3:3:0|O10:4:0:3|O11:2:0:1|O12:3:3:2|O13:3:3:0|O20:2:0:1|O21:1:1:0|O22:3:3:0|O23:4:0:3|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:3:3:2","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0055.trl"
"uct-1000-self-play","56","300255","UCT","UCT","1000","-1.0","true","NaturalEnd","2","72","24","2680","2683","36","36","20","17","16","19","1","0","4","4","4","4","objective_pieces","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:1:1:0|S10:2:0:1|S11:2:1:2|S12:1:1:0|S13:2:1:2|S14:0:1:1|S20:0:1:1|S21:2:1:2|S22:3:3:2|S23:2:0:1|S24:0:1:1|S30:0:1:1|S31:0:1:1|S32:0:0:0|S33:1:2:1|S34:0:1:1|S40:0:0:0|S41:1:1:0|S42:1:2:0|S43:0:0:0|S44:1:1:0|O00:4:0:3|O01:1:1:0|O02:1:1:0|O03:3:3:0|O10:2:0:1|O11:4:0:3|O12:3:3:2|O13:2:0:1|O20:4:0:3|O21:2:0:1|O22:3:3:0|O23:4:0:3|O30:1:1:0|O31:1:1:0|O32:3:3:0|O33:2:0:2","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0056.trl"
"uct-1000-self-play","57","300256","UCT","UCT","1000","-1.0","true","NaturalEnd","2","72","24","3201","3239","36","36","17","16","19","20","0","1","5","5","1","2","advantage_objectives","S00:0:0:0|S01:0:1:1|S02:0:1:1|S03:1:1:0|S04:0:0:0|S10:0:1:1|S11:0:2:2|S12:0:1:1|S13:1:2:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:1:1|S24:1:1:0|S30:2:0:1|S31:0:0:0|S32:4:2:3|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:1:1|S42:0:2:2|S43:2:0:1|S44:0:0:0|O00:4:0:3|O01:2:1:2|O02:3:3:0|O03:3:3:0|O10:4:0:3|O11:3:3:0|O12:3:3:0|O13:3:3:0|O20:0:0:0|O21:2:0:1|O22:0:1:1|O23:1:1:0|O30:0:1:1|O31:4:0:3|O32:4:0:3|O33:4:0:3","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0057.trl"
"uct-1000-self-play","58","300257","UCT","UCT","1000","-1.0","true","NaturalEnd","1","72","24","3830","3237","36","36","17","18","19","18","0","0","6","5","1","2","secured_objectives","S00:0:0:0|S01:1:1:0|S02:1:1:0|S03:0:0:0|S04:2:0:1|S10:0:2:2|S11:0:2:2|S12:0:0:0|S13:1:2:1|S14:0:0:0|S20:2:1:2|S21:1:2:1|S22:0:1:1|S23:2:1:2|S24:0:1:1|S30:0:0:0|S31:2:0:1|S32:0:1:1|S33:0:2:2|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:2:0:1|S43:0:0:0|S44:0:0:0|O00:3:3:0|O01:3:3:0|O02:3:3:0|O03:0:0:0|O10:3:3:0|O11:3:3:0|O12:1:1:0|O13:4:0:3|O20:3:3:0|O21:4:0:3|O22:4:0:3|O23:4:0:3|O30:0:0:0|O31:4:0:3|O32:2:0:2|O33:2:0:1","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0058.trl"
"uct-1000-self-play","59","300258","UCT","UCT","1000","-1.0","true","NaturalEnd","2","72","24","1975","2567","36","36","22","22","14","14","2","1","3","4","2","1","secured_objectives","S00:0:0:0|S01:1:1:0|S02:3:3:1|S03:2:0:1|S04:2:0:1|S10:0:0:0|S11:0:1:1|S12:4:2:3|S13:0:0:0|S14:0:2:2|S20:0:2:2|S21:2:1:2|S22:3:3:2|S23:0:2:2|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:1:1:0|S34:2:0:1|S40:0:1:1|S41:1:1:0|S42:2:1:2|S43:0:0:0|S44:2:0:1|O00:0:0:0|O01:4:0:3|O02:4:0:3|O03:1:2:1|O10:0:0:0|O11:4:2:3|O12:2:0:1|O13:1:1:0|O20:4:0:3|O21:0:0:0|O22:3:3:0|O23:0:0:0|O30:3:3:0|O31:0:0:0|O32:3:3:0|O33:0:0:0","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0059.trl"
"uct-1000-self-play","60","300259","UCT","UCT","1000","-1.0","true","NaturalEnd","1","72","24","3869","3239","36","36","15","16","21","20","0","0","6","5","2","2","secured_objectives","S00:2:0:1|S01:2:0:2|S02:1:2:1|S03:0:0:0|S04:0:0:0|S10:2:0:1|S11:1:2:1|S12:2:0:1|S13:2:1:2|S14:2:0:1|S20:0:1:1|S21:1:1:0|S22:0:0:0|S23:0:1:1|S24:1:1:0|S30:2:0:1|S31:0:1:1|S32:0:0:0|S33:1:1:0|S34:1:2:1|S40:0:0:0|S41:0:1:1|S42:0:0:0|S43:0:0:0|S44:1:1:0|O00:4:0:3|O01:3:3:1|O02:2:0:2|O03:4:0:3|O10:3:3:0|O11:3:3:0|O12:4:0:3|O13:4:1:3|O20:4:0:3|O21:1:1:0|O22:1:1:0|O23:3:3:0|O30:2:0:2|O31:0:0:0|O32:3:3:0|O33:3:3:0","experiments/issue-30/results/trials/uct-1000-self-play/uct-1000-self-play-0060.trl"
