"experiment_id","iteration_limit","point","p1_secured_rate_pct","p2_secured_rate_pct","p1_control_or_advantage_rate_pct","p2_control_or_advantage_rate_pct","neutral_rate_pct","average_p1_pieces","average_p2_pieces","average_total_pieces"
"uct-0100-self-play","100","S00","8","3","20","26","43","0.7","0.6","1.3"
"uct-0100-self-play","100","S01","7","4","27","35","27","0.69","0.69","1.38"
"uct-0100-self-play","100","S02","2","5","26","32","35","0.67","0.83","1.5"
"uct-0100-self-play","100","S03","1","4","24","30","41","0.64","0.82","1.46"
"uct-0100-self-play","100","S04","3","3","30","30","34","0.62","0.65","1.27"
"uct-0100-self-play","100","S10","4","1","31","25","39","0.7","0.51","1.21"
"uct-0100-self-play","100","S11","6","9","22","24","39","0.82","0.9","1.72"
"uct-0100-self-play","100","S12","7","7","31","23","32","1.05","0.97","2.02"
"uct-0100-self-play","100","S13","8","6","20","34","32","0.88","0.98","1.86"
"uct-0100-self-play","100","S14","5","0","37","25","33","0.86","0.59","1.45"
"uct-0100-self-play","100","S20","5","2","27","27","39","0.76","0.72","1.48"
"uct-0100-self-play","100","S21","5","4","29","28","34","0.97","0.82","1.79"
"uct-0100-self-play","100","S22","3","5","23","29","40","0.75","0.88","1.63"
"uct-0100-self-play","100","S23","6","1","37","24","32","1.04","0.71","1.75"
"uct-0100-self-play","100","S24","1","3","26","23","47","0.76","0.81","1.57"
"uct-0100-self-play","100","S30","1","4","34","26","35","0.79","0.78","1.57"
"uct-0100-self-play","100","S31","4","10","29","29","28","0.94","1.07","2.01"
"uct-0100-self-play","100","S32","7","5","23","31","34","0.91","1.01","1.92"
"uct-0100-self-play","100","S33","7","4","24","39","26","0.88","0.97","1.85"
"uct-0100-self-play","100","S34","5","2","21","31","41","0.79","0.82","1.61"
"uct-0100-self-play","100","S40","2","3","34","22","39","0.6","0.5","1.1"
"uct-0100-self-play","100","S41","5","4","30","28","33","0.75","0.69","1.44"
"uct-0100-self-play","100","S42","4","4","25","24","43","0.79","0.77","1.56"
"uct-0100-self-play","100","S43","2","4","21","36","37","0.64","0.88","1.52"
