experiment_id,iteration_limit,deciding_criterion,games,rate_pct
uct-0100-self-play,100,secured_objectives,41,41.0
uct-0100-self-play,100,advantage_objectives,41,41.0
uct-0100-self-play,100,objective_pieces,18,18.0
uct-0100-self-play,100,draw,0,0.0
uct-0500-self-play,500,secured_objectives,44,44.0
uct-0500-self-play,500,advantage_objectives,35,35.0
uct-0500-self-play,500,objective_pieces,19,19.0
uct-0500-self-play,500,draw,2,2.0
uct-1000-self-play,1000,secured_objectives,52,52.0
uct-1000-self-play,1000,advantage_objectives,29,29.0
uct-1000-self-play,1000,objective_pieces,11,11.0
uct-1000-self-play,1000,draw,8,8.0
uct-3000-self-play,3000,secured_objectives,50,50.0
uct-3000-self-play,3000,advantage_objectives,34,34.0
uct-3000-self-play,3000,objective_pieces,12,12.0
uct-3000-self-play,3000,draw,4,4.0
uct-10000-self-play,10000,secured_objectives,52,52.0
uct-10000-self-play,10000,advantage_objectives,31,31.0
uct-10000-self-play,10000,objective_pieces,7,7.0
uct-10000-self-play,10000,draw,10,10.0
