experiment_id,iteration_limit,point,p1_secured_rate_pct,p2_secured_rate_pct,average_p1_pieces,average_p2_pieces,average_total_pieces
uct-0100-self-play,100,O00,19.0,23.0,0.87,0.97,1.84
uct-0100-self-play,100,O01,23.0,23.0,1.1,1.03,2.13
uct-0100-self-play,100,O02,24.0,31.0,1.04,1.21,2.25
uct-0100-self-play,100,O03,25.0,23.0,0.99,1.12,2.11
uct-0100-self-play,100,O10,25.0,24.0,1.1,0.93,2.03
uct-0100-self-play,100,O11,22.0,24.0,0.93,1.11,2.04
uct-0100-self-play,100,O12,29.0,22.0,1.22,0.96,2.18
uct-0100-self-play,100,O13,24.0,21.0,1.05,0.92,1.97
uct-0100-self-play,100,O20,28.0,24.0,1.16,1.01,2.17
uct-0100-self-play,100,O21,21.0,25.0,1.05,1.1,2.15
uct-0100-self-play,100,O22,19.0,30.0,0.93,1.13,2.06
uct-0100-self-play,100,O23,25.0,24.0,1.12,0.99,2.11
uct-0100-self-play,100,O30,25.0,22.0,1.02,0.96,1.98
uct-0100-self-play,100,O31,25.0,16.0,1.07,0.88,1.95
uct-0100-self-play,100,O32,18.0,27.0,0.86,1.11,1.97
uct-0100-self-play,100,O33,19.0,23.0,0.86,1,1.86
uct-0500-self-play,500,O00,28.0,31.0,1.08,1.12,2.2
uct-0500-self-play,500,O01,28.0,28.0,1.09,1.24,2.33
uct-0500-self-play,500,O02,28.0,38.0,1.09,1.37,2.46
uct-0500-self-play,500,O03,26.0,31.0,1.01,1.17,2.18
uct-0500-self-play,500,O10,35.0,29.0,1.37,1.15,2.52
uct-0500-self-play,500,O11,31.0,38.0,1.24,1.38,2.62
uct-0500-self-play,500,O12,34.0,38.0,1.29,1.37,2.66
uct-0500-self-play,500,O13,33.0,29.0,1.22,1.12,2.34
uct-0500-self-play,500,O20,28.0,26.0,1.09,1.09,2.18
uct-0500-self-play,500,O21,35.0,30.0,1.29,1.29,2.58
uct-0500-self-play,500,O22,32.0,36.0,1.22,1.35,2.57
uct-0500-self-play,500,O23,38.0,29.0,1.41,1.08,2.49
uct-0500-self-play,500,O30,28.0,23.0,1.19,0.94,2.13
uct-0500-self-play,500,O31,25.0,29.0,1.04,1.15,2.19
uct-0500-self-play,500,O32,37.0,29.0,1.4,1.17,2.57
uct-0500-self-play,500,O33,28.0,35.0,1.13,1.27,2.4
uct-1000-self-play,1000,O00,32.0,31.0,1.23,1.09,2.32
uct-1000-self-play,1000,O01,41.0,35.0,1.44,1.22,2.66
uct-1000-self-play,1000,O02,31.0,37.0,1.07,1.32,2.39
uct-1000-self-play,1000,O03,31.0,24.0,1.17,0.94,2.11
uct-1000-self-play,1000,O10,35.0,27.0,1.34,1.1,2.44
uct-1000-self-play,1000,O11,47.0,35.0,1.63,1.21,2.84
uct-1000-self-play,1000,O12,37.0,36.0,1.39,1.38,2.77
uct-1000-self-play,1000,O13,30.0,33.0,1.13,1.29,2.42
uct-1000-self-play,1000,O20,32.0,31.0,1.24,1.21,2.45
uct-1000-self-play,1000,O21,37.0,40.0,1.24,1.45,2.69
uct-1000-self-play,1000,O22,42.0,36.0,1.55,1.27,2.82
uct-1000-self-play,1000,O23,30.0,36.0,1.02,1.28,2.3
uct-1000-self-play,1000,O30,30.0,25.0,1.1,0.98,2.08
uct-1000-self-play,1000,O31,27.0,35.0,1.04,1.22,2.26
uct-1000-self-play,1000,O32,25.0,41.0,0.96,1.4,2.36
uct-1000-self-play,1000,O33,26.0,31.0,1.02,1.24,2.26
uct-3000-self-play,3000,O00,26.0,23.0,1.06,0.83,1.89
uct-3000-self-play,3000,O01,29.0,37.0,1.09,1.26,2.35
uct-3000-self-play,3000,O02,25.0,36.0,0.98,1.3,2.28
uct-3000-self-play,3000,O03,17.0,21.0,0.85,0.86,1.71
uct-3000-self-play,3000,O10,35.0,39.0,1.27,1.4,2.67
uct-3000-self-play,3000,O11,45.0,44.0,1.46,1.48,2.94
uct-3000-self-play,3000,O12,35.0,53.0,1.24,1.67,2.91
uct-3000-self-play,3000,O13,29.0,29.0,1.11,1.11,2.22
uct-3000-self-play,3000,O20,33.0,32.0,1.27,1.14,2.41
uct-3000-self-play,3000,O21,42.0,46.0,1.47,1.57,3.04
uct-3000-self-play,3000,O22,45.0,44.0,1.46,1.45,2.91
uct-3000-self-play,3000,O23,31.0,33.0,1.2,1.12,2.32
uct-3000-self-play,3000,O30,20.0,20.0,0.95,0.83,1.78
uct-3000-self-play,3000,O31,34.0,22.0,1.2,0.97,2.17
