experiment_id,iteration_limit,point,p1_secured_rate_pct,p2_secured_rate_pct,average_p1_pieces,average_p2_pieces,average_total_pieces
uct-0100-self-play,100,S00,8.0,3.0,0.7,0.6,1.3
uct-0100-self-play,100,S01,7.0,4.0,0.69,0.69,1.38
uct-0100-self-play,100,S02,2.0,5.0,0.67,0.83,1.5
uct-0100-self-play,100,S03,1.0,4.0,0.64,0.82,1.46
uct-0100-self-play,100,S04,3.0,3.0,0.62,0.65,1.27
uct-0100-self-play,100,S10,4.0,1.0,0.7,0.51,1.21
uct-0100-self-play,100,S11,6.0,9.0,0.82,0.9,1.72
uct-0100-self-play,100,S12,7.0,7.0,1.05,0.97,2.02
uct-0100-self-play,100,S13,8.0,6.0,0.88,0.98,1.86
uct-0100-self-play,100,S14,5.0,0.0,0.86,0.59,1.45
uct-0100-self-play,100,S20,5.0,2.0,0.76,0.72,1.48
uct-0100-self-play,100,S21,5.0,4.0,0.97,0.82,1.79
uct-0100-self-play,100,S22,3.0,5.0,0.75,0.88,1.63
uct-0100-self-play,100,S23,6.0,1.0,1.04,0.71,1.75
uct-0100-self-play,100,S24,1.0,3.0,0.76,0.81,1.57
uct-0100-self-play,100,S30,1.0,4.0,0.79,0.78,1.57
uct-0100-self-play,100,S31,4.0,10.0,0.94,1.07,2.01
uct-0100-self-play,100,S32,7.0,5.0,0.91,1.01,1.92
uct-0100-self-play,100,S33,7.0,4.0,0.88,0.97,1.85
uct-0100-self-play,100,S34,5.0,2.0,0.79,0.82,1.61
uct-0100-self-play,100,S40,2.0,3.0,0.6,0.5,1.1
uct-0100-self-play,100,S41,5.0,4.0,0.75,0.69,1.44
uct-0100-self-play,100,S42,4.0,4.0,0.79,0.77,1.56
uct-0100-self-play,100,S43,2.0,4.0,0.64,0.88,1.52
uct-0100-self-play,100,S44,1.0,2.0,0.63,0.6,1.23
uct-0500-self-play,500,S00,0.0,0.0,0.37,0.47,0.84
uct-0500-self-play,500,S01,0.0,1.0,0.5,0.54,1.04
uct-0500-self-play,500,S02,0.0,2.0,0.48,0.55,1.03
uct-0500-self-play,500,S03,2.0,1.0,0.47,0.51,0.98
uct-0500-self-play,500,S04,0.0,1.0,0.41,0.53,0.94
uct-0500-self-play,500,S10,1.0,1.0,0.64,0.58,1.22
uct-0500-self-play,500,S11,8.0,7.0,1.09,0.95,2.04
uct-0500-self-play,500,S12,4.0,5.0,0.96,0.98,1.94
uct-0500-self-play,500,S13,3.0,5.0,0.9,1.01,1.91
uct-0500-self-play,500,S14,1.0,2.0,0.54,0.58,1.12
uct-0500-self-play,500,S20,0.0,2.0,0.52,0.55,1.07
uct-0500-self-play,500,S21,6.0,4.0,1.14,1.03,2.17
uct-0500-self-play,500,S22,4.0,8.0,0.94,1.04,1.98
uct-0500-self-play,500,S23,1.0,3.0,0.87,0.89,1.76
uct-0500-self-play,500,S24,1.0,0.0,0.54,0.47,1.01
uct-0500-self-play,500,S30,2.0,1.0,0.52,0.44,0.96
uct-0500-self-play,500,S31,1.0,7.0,0.84,0.98,1.82
uct-0500-self-play,500,S32,1.0,3.0,0.9,0.91,1.81
uct-0500-self-play,500,S33,3.0,6.0,1.06,0.93,1.99
uct-0500-self-play,500,S34,2.0,1.0,0.65,0.55,1.2
uct-0500-self-play,500,S40,0.0,0.0,0.4,0.31,0.71
uct-0500-self-play,500,S41,1.0,1.0,0.53,0.43,0.96
uct-0500-self-play,500,S42,1.0,2.0,0.58,0.51,1.09
uct-0500-self-play,500,S43,0.0,0.0,0.57,0.59,1.16
uct-0500-self-play,500,S44,1.0,1.0,0.42,0.41,0.83
uct-1000-self-play,1000,S00,0.0,0.0,0.24,0.28,0.52
uct-1000-self-play,1000,S01,0.0,0.0,0.48,0.45,0.93
uct-1000-self-play,1000,S02,2.0,0.0,0.57,0.54,1.11
uct-1000-self-play,1000,S03,2.0,1.0,0.47,0.48,0.95
uct-1000-self-play,1000,S04,0.0,0.0,0.36,0.2,0.56
uct-1000-self-play,1000,S10,0.0,1.0,0.39,0.53,0.92
uct-1000-self-play,1000,S11,6.0,6.0,1.21,1.02,2.23
uct-1000-self-play,1000,S12,1.0,10.0,1.07,1.08,2.15
uct-1000-self-play,1000,S13,5.0,8.0,1.08,1.07,2.15
uct-1000-self-play,1000,S14,0.0,0.0,0.4,0.4,0.8
uct-1000-self-play,1000,S20,0.0,0.0,0.49,0.48,0.97
uct-1000-self-play,1000,S21,6.0,5.0,1.15,0.95,2.1
uct-1000-self-play,1000,S22,2.0,7.0,1.04,1.06,2.1
uct-1000-self-play,1000,S23,4.0,6.0,1.15,1.09,2.24
uct-1000-self-play,1000,S24,0.0,0.0,0.36,0.52,0.88
uct-1000-self-play,1000,S30,0.0,1.0,0.48,0.53,1.01
uct-1000-self-play,1000,S31,9.0,10.0,1.16,1.14,2.3
uct-1000-self-play,1000,S32,5.0,9.0,1.03,0.99,2.02
uct-1000-self-play,1000,S33,6.0,8.0,0.97,1.04,2.01
uct-1000-self-play,1000,S34,1.0,0.0,0.42,0.55,0.97
uct-1000-self-play,1000,S40,2.0,0.0,0.3,0.24,0.54
uct-1000-self-play,1000,S41,0.0,1.0,0.46,0.46,0.92
uct-1000-self-play,1000,S42,0.0,1.0,0.49,0.51,1
uct-1000-self-play,1000,S43,1.0,0.0,0.37,0.48,0.85
uct-1000-self-play,1000,S44,0.0,0.0,0.29,0.31,0.6
uct-3000-self-play,3000,S00,0.0,0.0,0.14,0.19,0.33
uct-3000-self-play,3000,S01,1.0,1.0,0.44,0.51,0.95
uct-3000-self-play,3000,S02,0.0,1.0,0.34,0.37,0.71
uct-3000-self-play,3000,S03,0.0,0.0,0.29,0.34,0.63
uct-3000-self-play,3000,S04,0.0,0.0,0.17,0.18,0.35
uct-3000-self-play,3000,S10,1.0,0.0,0.35,0.32,0.67
uct-3000-self-play,3000,S11,8.0,19.0,1.38,1.4,2.78
uct-3000-self-play,3000,S12,9.0,18.0,1.36,1.4,2.76
uct-3000-self-play,3000,S13,9.0,18.0,1.42,1.45,2.87
uct-3000-self-play,3000,S14,0.0,1.0,0.33,0.5,0.83
uct-3000-self-play,3000,S20,0.0,0.0,0.35,0.38,0.73
uct-3000-self-play,3000,S21,12.0,24.0,1.37,1.34,2.71
uct-3000-self-play,3000,S22,6.0,19.0,1.3,1.34,2.64
uct-3000-self-play,3000,S23,6.0,13.0,1.11,1.21,2.32
uct-3000-self-play,3000,S24,0.0,0.0,0.31,0.28,0.59
uct-3000-self-play,3000,S30,0.0,1.0,0.3,0.28,0.58
uct-3000-self-play,3000,S31,11.0,14.0,1.33,1.29,2.62
uct-3000-self-play,3000,S32,11.0,15.0,1.36,1.36,2.72
uct-3000-self-play,3000,S33,5.0,12.0,1.32,1.09,2.41
uct-3000-self-play,3000,S34,2.0,1.0,0.39,0.52,0.91
uct-3000-self-play,3000,S40,0.0,1.0,0.27,0.18,0.45
uct-3000-self-play,3000,S41,0.0,2.0,0.41,0.42,0.83
uct-3000-self-play,3000,S42,0.0,3.0,0.42,0.34,0.76
uct-3000-self-play,3000,S43,0.0,1.0,0.32,0.29,0.61
uct-3000-self-play,3000,S44,0.0,0.0,0.14,0.2,0.34
uct-10000-self-play,10000,S00,0.0,0.0,0.09,0.23,0.32
uct-10000-self-play,10000,S01,0.0,0.0,0.23,0.24,0.47
uct-10000-self-play,10000,S02,0.0,0.0,0.2,0.31,0.51
uct-10000-self-play,10000,S03,2.0,0.0,0.42,0.41,0.83
uct-10000-self-play,10000,S04,1.0,0.0,0.12,0.17,0.29
uct-10000-self-play,10000,S10,0.0,0.0,0.17,0.21,0.38
uct-10000-self-play,10000,S11,14.0,19.0,1.55,1.51,3.06
uct-10000-self-play,10000,S12,17.0,18.0,1.49,1.45,2.94
uct-10000-self-play,10000,S13,15.0,28.0,1.64,1.8,3.44
uct-10000-self-play,10000,S14,0.0,1.0,0.24,0.32,0.56
uct-10000-self-play,10000,S20,1.0,0.0,0.3,0.31,0.61
uct-10000-self-play,10000,S21,17.0,25.0,1.69,1.74,3.43
uct-10000-self-play,10000,S22,18.0,20.0,1.57,1.52,3.09
uct-10000-self-play,10000,S23,18.0,28.0,1.63,1.81,3.44
uct-10000-self-play,10000,S24,0.0,1.0,0.23,0.24,0.47
uct-10000-self-play,10000,S30,0.0,3.0,0.25,0.36,0.61
uct-10000-self-play,10000,S31,20.0,25.0,1.75,1.83,3.58
uct-10000-self-play,10000,S32,16.0,19.0,1.49,1.51,3
uct-10000-self-play,10000,S33,16.0,21.0,1.57,1.58,3.15
uct-10000-self-play,10000,S34,0.0,0.0,0.25,0.24,0.49
uct-10000-self-play,10000,S40,0.0,0.0,0.11,0.08,0.19
uct-10000-self-play,10000,S41,0.0,1.0,0.33,0.31,0.64
uct-10000-self-play,10000,S42,0.0,2.0,0.33,0.36,0.69
uct-10000-self-play,10000,S43,0.0,1.0,0.25,0.28,0.53
uct-10000-self-play,10000,S44,0.0,0.0,0.06,0.1,0.16
