position_id,key_type,lower_budget,higher_budget,lower_repetitions,higher_repetitions,top_k,top_k_common,top_k_agreement_jaccard,total_variation,total_variation_bootstrap_95ci_low,total_variation_bootstrap_95ci_high,jensen_shannon_divergence,lower_shannon_entropy,higher_shannon_entropy,lower_effective_number_of_plans,higher_effective_number_of_plans,site_usage_spearman
turn-2-supply-expansion,ordered_sequence,10000,30000,30,30,3,0,0.0,0.866667,0.833333,1.0,0.841504,3.401197,3.170148,30.0,23.811016,0.952102
turn-2-supply-expansion,plan_signature,10000,30000,30,30,3,0,0.0,0.7,0.666667,0.933333,0.626827,3.170148,2.774606,23.811016,16.032306,0.952102
turn-2-supply-expansion,resulting_turn_state,10000,30000,30,30,3,0,0.0,0.7,0.666667,0.933333,0.626827,3.170148,2.774606,23.811016,16.032306,0.952102
turn-2-supply-expansion,ordered_sequence,30000,100000,30,30,3,0,0.0,0.666667,0.666667,0.933333,0.616341,3.170148,3.170148,23.811016,23.811016,0.998589
turn-2-supply-expansion,plan_signature,30000,100000,30,30,3,1,0.2,0.366667,0.366667,0.7,0.228922,2.774606,2.748145,16.032306,15.613642,0.998589
turn-2-supply-expansion,resulting_turn_state,30000,100000,30,30,3,1,0.2,0.366667,0.366667,0.7,0.228922,2.774606,2.748145,16.032306,15.613642,0.998589
turn-3-supply-securing-choice,ordered_sequence,10000,30000,30,30,3,0,0.0,0.933333,0.866667,1.0,0.912581,3.401197,3.152707,30.0,23.399314,0.981985
turn-3-supply-securing-choice,plan_signature,10000,30000,30,30,3,0,0.0,0.733333,0.666667,0.933333,0.639142,3.354988,2.620842,28.645248,13.747296,0.981985
turn-3-supply-securing-choice,resulting_turn_state,10000,30000,30,30,3,0,0.0,0.733333,0.666667,0.933333,0.639142,3.354988,2.620842,28.645248,13.747296,0.981985
turn-3-supply-securing-choice,ordered_sequence,30000,100000,30,30,3,0,0.0,0.8,0.766667,0.966667,0.787419,3.152707,3.060287,23.399314,21.333681,0.989346
turn-3-supply-securing-choice,plan_signature,30000,100000,30,30,3,1,0.2,0.366667,0.4,0.733333,0.264735,2.620842,2.580747,13.747296,13.207005,0.989346
turn-3-supply-securing-choice,resulting_turn_state,30000,100000,30,30,3,1,0.2,0.366667,0.4,0.733333,0.264735,2.620842,2.580747,13.747296,13.207005,0.989346
turn-4-central-peripheral-competition,ordered_sequence,10000,30000,30,30,3,0,0.0,0.8,0.766667,0.966667,0.779248,3.262568,2.774606,26.116517,16.032306,0.74396
turn-4-central-peripheral-competition,plan_signature,10000,30000,30,30,3,2,0.5,0.6,0.5,0.8,0.42918,2.950426,1.914061,19.114092,6.780569,0.74396
turn-4-central-peripheral-competition,resulting_turn_state,10000,30000,30,30,3,2,0.5,0.6,0.466667,0.8,0.42918,2.950426,1.914061,19.114092,6.780569,0.74396
turn-4-central-peripheral-competition,ordered_sequence,30000,100000,30,30,3,1,0.2,0.733333,0.666667,0.933333,0.666667,2.774606,2.349328,16.032306,10.478529,0.865829
turn-4-central-peripheral-competition,plan_signature,30000,100000,30,30,3,2,0.5,0.466667,0.333333,0.7,0.244798,1.914061,1.801892,6.780569,6.061107,0.865829
turn-4-central-peripheral-competition,resulting_turn_state,30000,100000,30,30,3,2,0.5,0.466667,0.333333,0.7,0.244798,1.914061,1.801892,6.780569,6.061107,0.865829
turn-5-objective-supply-tradeoff,ordered_sequence,10000,30000,30,30,3,2,0.5,0.5,0.366667,0.733333,0.334846,2.464771,1.5227,11.76079,4.584587,0.599412
turn-5-objective-supply-tradeoff,plan_signature,10000,30000,30,30,3,2,0.5,0.466667,0.3,0.7,0.281803,1.892812,0.932152,6.638007,2.539969,0.599412
turn-5-objective-supply-tradeoff,resulting_turn_state,10000,30000,30,30,3,2,0.5,0.466667,0.3,0.666667,0.281803,1.892812,0.932152,6.638007,2.539969,0.599412
turn-5-objective-supply-tradeoff,ordered_sequence,30000,100000,30,30,3,1,0.2,0.5,0.4,0.766667,0.287901,1.5227,2.162182,4.584587,8.690076,0.872794
turn-5-objective-supply-tradeoff,plan_signature,30000,100000,30,30,3,3,1.0,0.5,0.333333,0.733333,0.230768,0.932152,1.718866,2.539969,5.578198,0.872794
turn-5-objective-supply-tradeoff,resulting_turn_state,30000,100000,30,30,3,3,1.0,0.5,0.333333,0.733333,0.230768,0.932152,1.718866,2.539969,5.578198,0.872794
turn-6-early-midgame-allocation,ordered_sequence,10000,30000,30,30,3,2,0.5,0.633333,0.533333,0.833333,0.471009,2.996636,1.585543,20.018076,4.881941,0.518877
turn-6-early-midgame-allocation,plan_signature,10000,30000,30,30,3,2,0.5,0.5,0.3,0.7,0.30168,1.902599,0.388734,6.703295,1.475113,0.518877
turn-6-early-midgame-allocation,resulting_turn_state,10000,30000,30,30,3,2,0.5,0.5,0.333333,0.7,0.30168,1.790431,0.388734,5.992032,1.475113,0.518877
turn-6-early-midgame-allocation,ordered_sequence,30000,100000,30,30,3,2,0.5,0.4,0.233333,0.633333,0.227674,1.585543,1.457771,4.881941,4.296374,0.827412
turn-6-early-midgame-allocation,plan_signature,30000,100000,30,30,3,3,1.0,0.2,0.066667,0.4,0.067537,0.388734,0.91168,1.475113,2.488499,0.827412
turn-6-early-midgame-allocation,resulting_turn_state,30000,100000,30,30,3,3,1.0,0.2,0.066667,0.4,0.067537,0.388734,0.91168,1.475113,2.488499,0.827412
