position_id,iteration_budget,rank,plan_signature,count,frequency
turn-2-supply-expansion,10000,1,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S13"",""S31"",""S32""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S13:1:1:0>0:1:1"",""S31:0:0:0>2:0:1"",""S32:0:0:0>2:0:1""]},""version"":1}",2,0.066667
turn-2-supply-expansion,10000,2,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S11"",""S13"",""S23""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S11:0:0:0>2:0:1"",""S13:1:1:0>0:1:1"",""S23:0:0:0>2:0:1""]},""version"":1}",2,0.066667
turn-2-supply-expansion,10000,3,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S13"",""S21""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S12:1:1:0>0:1:1"",""S13:1:1:0>0:1:1"",""S21:0:0:0>2:0:1""]},""version"":1}",2,0.066667
turn-2-supply-expansion,10000,4,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S21"",""S31"",""S32""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S21:0:0:0>2:0:1"",""S31:0:0:0>2:0:1"",""S32:0:0:0>2:0:1""]},""version"":1}",2,0.066667
turn-2-supply-expansion,10000,5,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S12"",""S32""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S12:1:1:0>2:1:2"",""S32:0:0:0>2:0:1""]},""version"":1}",2,0.066667
turn-2-supply-expansion,10000,6,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S11"",""S12"",""S21""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S11:0:0:0>2:0:1"",""S12:1:1:0>0:1:1"",""S21:0:0:0>2:0:1""]},""version"":1}",1,0.033333
turn-2-supply-expansion,10000,7,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S12"",""S22""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S12:1:1:0>2:1:2"",""S22:1:1:0>0:1:1""]},""version"":1}",1,0.033333
turn-2-supply-expansion,10000,8,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":2,""corner"":0,""edge"":1},""supply_strategy"":{""placement_sites"":[""S10"",""S12"",""S21""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S10:0:0:0>2:0:1"",""S12:1:1:0>0:1:1"",""S21:0:0:0>2:0:1""]},""version"":1}",1,0.033333
turn-2-supply-expansion,10000,9,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S23"",""S32"",""S33""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S23:0:0:0>2:0:1"",""S32:0:0:0>2:0:1"",""S33:0:0:0>2:0:1""]},""version"":1}",1,0.033333
turn-2-supply-expansion,10000,10,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S21"",""S31""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S12:1:1:0>0:1:1"",""S21:0:0:0>2:0:1"",""S31:0:0:0>2:0:1""]},""version"":1}",1,0.033333
turn-2-supply-expansion,10000,11,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S22"",""S32"",""S33""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S22:1:1:0>0:1:1"",""S32:0:0:0>2:0:1"",""S33:0:0:0>2:0:1""]},""version"":1}",1,0.033333
