position_id,requested_iteration_budget,effective_iteration_budget,repetitions,total_recorded_search_seconds,mean_search_seconds_per_turn,median_search_seconds_per_turn,minimum_search_seconds_per_turn,maximum_search_seconds_per_turn
turn-2-supply-expansion,10000,10000,30,909.090391,30.303013,30.218072,29.307941,31.546688
turn-2-supply-expansion,30000,30000,30,5630.480813,187.682694,196.018349,123.751225,236.786266
turn-2-supply-expansion,100000,100000,30,12290.199133,409.673304,421.235139,331.15224,448.576291
turn-3-supply-securing-choice,10000,10000,30,874.962437,29.165415,29.068655,28.179845,31.731322
turn-3-supply-securing-choice,30000,30000,30,5558.823961,185.294132,194.942177,108.34702,234.326755
turn-3-supply-securing-choice,100000,100000,30,12715.822329,423.860744,433.276837,303.117907,484.928113
turn-4-central-peripheral-competition,10000,10000,30,826.84615,27.561538,27.452434,26.580891,28.917327
turn-4-central-peripheral-competition,30000,30000,30,6827.506535,227.583551,243.422205,138.371873,274.493087
turn-4-central-peripheral-competition,100000,100000,30,13393.885371,446.462846,447.765356,225.540908,575.336093
turn-5-objective-supply-tradeoff,10000,10000,30,812.608342,27.086945,27.228607,25.529692,27.955789
turn-5-objective-supply-tradeoff,30000,30000,30,7264.420274,242.147342,263.007994,130.144775,289.870441
turn-5-objective-supply-tradeoff,100000,100000,30,21320.701953,710.690065,731.027501,359.340027,908.267003
turn-6-early-midgame-allocation,10000,10000,30,713.266339,23.775545,23.881452,21.963055,25.185086
turn-6-early-midgame-allocation,30000,30000,30,4585.136704,152.83789,158.7931,64.71262,221.170277
turn-6-early-midgame-allocation,100000,100000,30,16023.058061,534.101935,556.022119,218.400485,828.448695
