position_id,key_type,lower_budget,higher_budget,lower_repetitions,higher_repetitions,top_k,top_k_common,top_k_agreement_jaccard,total_variation,total_variation_bootstrap_95ci_low,total_variation_bootstrap_95ci_high,jensen_shannon_divergence,lower_shannon_entropy,higher_shannon_entropy,lower_effective_number_of_plans,higher_effective_number_of_plans,site_usage_spearman
turn-2-supply-expansion,ordered_sequence,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.378675
turn-2-supply-expansion,plan_signature,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.378675
turn-2-supply-expansion,resulting_turn_state,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.378675
turn-2-supply-expansion,ordered_sequence,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.320946
turn-2-supply-expansion,plan_signature,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.320946
turn-2-supply-expansion,resulting_turn_state,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.320946
turn-3-supply-securing-choice,ordered_sequence,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.462284
turn-3-supply-securing-choice,plan_signature,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.462284
turn-3-supply-securing-choice,resulting_turn_state,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.462284
turn-3-supply-securing-choice,ordered_sequence,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.487967
turn-3-supply-securing-choice,plan_signature,30000,100000,2,2,3,1,0.333333,0.5,0.0,1.0,0.5,0.693147,0.693147,2.0,2.0,0.487967
turn-3-supply-securing-choice,resulting_turn_state,30000,100000,2,2,3,1,0.333333,0.5,0.0,1.0,0.5,0.693147,0.693147,2.0,2.0,0.487967
turn-4-central-peripheral-competition,ordered_sequence,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.65203
turn-4-central-peripheral-competition,plan_signature,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.65203
turn-4-central-peripheral-competition,resulting_turn_state,10000,30000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.65203
turn-4-central-peripheral-competition,ordered_sequence,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.538199
turn-4-central-peripheral-competition,plan_signature,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.538199
turn-4-central-peripheral-competition,resulting_turn_state,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.538199
turn-5-objective-supply-tradeoff,ordered_sequence,10000,30000,2,2,3,1,0.5,0.5,0.0,1.0,0.311278,0.693147,-0.0,2.0,1.0,1.0
turn-5-objective-supply-tradeoff,plan_signature,10000,30000,2,2,3,1,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0
turn-5-objective-supply-tradeoff,resulting_turn_state,10000,30000,2,2,3,1,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0
turn-5-objective-supply-tradeoff,ordered_sequence,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,-0.0,0.693147,1.0,2.0,0.403113
turn-5-objective-supply-tradeoff,plan_signature,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,-0.0,0.693147,1.0,2.0,0.403113
turn-5-objective-supply-tradeoff,resulting_turn_state,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,-0.0,0.693147,1.0,2.0,0.403113
turn-6-early-midgame-allocation,ordered_sequence,10000,30000,2,2,3,1,0.333333,0.5,0.0,1.0,0.5,0.693147,0.693147,2.0,2.0,1.0
turn-6-early-midgame-allocation,plan_signature,10000,30000,2,2,3,1,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0
turn-6-early-midgame-allocation,resulting_turn_state,10000,30000,2,2,3,1,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0
turn-6-early-midgame-allocation,ordered_sequence,30000,100000,2,2,3,0,0.0,1.0,1.0,1.0,1.0,0.693147,0.693147,2.0,2.0,0.999145
turn-6-early-midgame-allocation,plan_signature,30000,100000,2,2,3,1,0.5,0.5,0.0,1.0,0.311278,-0.0,0.693147,1.0,2.0,0.999145
turn-6-early-midgame-allocation,resulting_turn_state,30000,100000,2,2,3,1,0.5,0.5,0.0,1.0,0.311278,-0.0,0.693147,1.0,2.0,0.999145
