position_id,iteration_budget,rank,ordered_sequence,count,frequency
turn-2-supply-expansion,10000,1,S11;S21;S22,1,0.5
turn-2-supply-expansion,10000,2,S22;S32;S22,1,0.5
turn-2-supply-expansion,30000,1,S13;S22;S13,1,0.5
turn-2-supply-expansion,30000,2,S12;S33;S32,1,0.5
turn-2-supply-expansion,100000,1,S12;S11;S21,1,0.5
turn-2-supply-expansion,100000,2,S12;S31;S32,1,0.5
turn-3-supply-securing-choice,10000,1,S32;O21@S22;S12,1,0.5
turn-3-supply-securing-choice,10000,2,S11;O21@S22;S23,1,0.5
turn-3-supply-securing-choice,30000,1,S23;O22@S22;S32,1,0.5
turn-3-supply-securing-choice,30000,2,S13;S12;O12@S22,1,0.5
turn-3-supply-securing-choice,100000,1,S12;O12@S22;S13,1,0.5
turn-3-supply-securing-choice,100000,2,S12;O11@S22;S11,1,0.5
turn-4-central-peripheral-competition,10000,1,O12@S22;O11@S21;O22@S23,1,0.5
turn-4-central-peripheral-competition,10000,2,S32;O21@S22;O21@S21,1,0.5
turn-4-central-peripheral-competition,30000,1,O12@S23;O21@S21;O12@S22,1,0.5
turn-4-central-peripheral-competition,30000,2,S33;O11@S22;O11@S21,1,0.5
turn-4-central-peripheral-competition,100000,1,S32;O21@S22;O21@S21,1,0.5
turn-4-central-peripheral-competition,100000,2,S32;O12@S22;O12@S23,1,0.5
turn-5-objective-supply-tradeoff,10000,1,O21@S31;O21@S21;S23,1,0.5
turn-5-objective-supply-tradeoff,10000,2,O21@S21;O21@S31;S23,1,0.5
turn-5-objective-supply-tradeoff,30000,1,O21@S31;O21@S21;S23,2,1.0
turn-5-objective-supply-tradeoff,100000,1,O21@S21;O21@S31;O13@S13,1,0.5
turn-5-objective-supply-tradeoff,100000,2,O21@S21;O21@S31;O33@S33,1,0.5
turn-6-early-midgame-allocation,10000,1,O12@S13;O01@S11;O13@S23,1,0.5
turn-6-early-midgame-allocation,10000,2,O01@S11;O12@S13;O13@S23,1,0.5
turn-6-early-midgame-allocation,30000,1,O12@S23;O01@S11;O13@S13,1,0.5
turn-6-early-midgame-allocation,30000,2,O01@S11;O12@S13;O13@S23,1,0.5
turn-6-early-midgame-allocation,100000,1,O01@S11;O13@S23;O13@S13,1,0.5
turn-6-early-midgame-allocation,100000,2,O01@S11;O12@S23;O13@S13,1,0.5
