position_id,iteration_budget,rank,plan_signature,count,frequency
turn-2-supply-expansion,10000,1,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S11"",""S21"",""S22""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S11:0:0:0>2:0:1"",""S21:0:0:0>2:0:1"",""S22:1:1:0>0:1:1""]},""version"":1}",1,0.5
turn-2-supply-expansion,10000,2,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S22"",""S22"",""S32""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S22:1:1:0>2:1:2"",""S32:0:0:0>2:0:1""]},""version"":1}",1,0.5
turn-2-supply-expansion,30000,1,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S13"",""S13"",""S22""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S13:1:1:0>2:1:2"",""S22:1:1:0>0:1:1""]},""version"":1}",1,0.5
turn-2-supply-expansion,30000,2,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S32"",""S33""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S12:1:1:0>0:1:1"",""S32:0:0:0>2:0:1"",""S33:0:0:0>2:0:1""]},""version"":1}",1,0.5
turn-2-supply-expansion,100000,1,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S11"",""S12"",""S21""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S11:0:0:0>2:0:1"",""S12:1:1:0>0:1:1"",""S21:0:0:0>2:0:1""]},""version"":1}",1,0.5
turn-2-supply-expansion,100000,2,"{""objective_strategy"":{""piece_count"":0,""placement_sites"":[]},""placement_target_category"":{""objective_placements"":0,""supply_placements"":3},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S31"",""S32""],""secured_transitions"":[],""source_sites"":[],""unresolved_transitions"":[""S12:1:1:0>0:1:1"",""S31:0:0:0>2:0:1"",""S32:0:0:0>2:0:1""]},""version"":1}",1,0.5
turn-3-supply-securing-choice,10000,1,"{""objective_strategy"":{""piece_count"":1,""placement_sites"":[""O21""]},""placement_target_category"":{""objective_placements"":1,""supply_placements"":2},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S32""],""secured_transitions"":[],""source_sites"":[""S22""],""unresolved_transitions"":[""S12:0:1:1>1:2:1"",""S32:0:0:0>1:1:0""]},""version"":1}",1,0.5
turn-3-supply-securing-choice,10000,2,"{""objective_strategy"":{""piece_count"":1,""placement_sites"":[""O21""]},""placement_target_category"":{""objective_placements"":1,""supply_placements"":2},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S11"",""S23""],""secured_transitions"":[],""source_sites"":[""S22""],""unresolved_transitions"":[""S11:0:0:0>1:1:0"",""S23:2:0:1>0:1:1""]},""version"":1}",1,0.5
turn-3-supply-securing-choice,30000,1,"{""objective_strategy"":{""piece_count"":1,""placement_sites"":[""O22""]},""placement_target_category"":{""objective_placements"":1,""supply_placements"":2},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S23"",""S32""],""secured_transitions"":[],""source_sites"":[""S22""],""unresolved_transitions"":[""S23:2:0:1>0:1:1"",""S32:0:0:0>1:1:0""]},""version"":1}",1,0.5
turn-3-supply-securing-choice,30000,2,"{""objective_strategy"":{""piece_count"":1,""placement_sites"":[""O12""]},""placement_target_category"":{""objective_placements"":1,""supply_placements"":2},""spatial_strategy"":{""central"":3,""corner"":0,""edge"":0},""supply_strategy"":{""placement_sites"":[""S12"",""S13""],""secured_transitions"":[],""source_sites"":[""S22""],""unresolved_transitions"":[""S12:0:1:1>1:2:1"",""S13:0:1:1>1:2:1""]},""version"":1}",1,0.5
