position_id,iteration_budget,rank,resulting_turn_state,count,frequency
turn-2-supply-expansion,10000,1,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:0:1:1|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-2-supply-expansion,10000,2,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:2:1:2|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:2:0:1|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-2-supply-expansion,30000,1,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:2:1:2|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:0:1:1|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-2-supply-expansion,30000,2,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:2:0:1|S33:2:0:1|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-2-supply-expansion,100000,1,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:1:1|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-2-supply-expansion,100000,2,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:2:0:1|S32:2:0:1|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-3-supply-securing-choice,10000,1,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:2:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:1:1:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-3-supply-securing-choice,10000,2,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:1:1:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:1:1:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-3-supply-securing-choice,30000,1,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:1:1:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
turn-3-supply-securing-choice,30000,2,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:2:1|S13:1:2:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:1:1:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0,1,0.5
