position_id,iteration_budget,transition_type,transition,count,rate_per_turn
turn-2-supply-expansion,10000,unresolved,S11:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,10000,unresolved,S21:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,10000,unresolved,S22:1:1:0>0:1:1,1,0.5
turn-2-supply-expansion,10000,unresolved,S22:1:1:0>2:1:2,1,0.5
turn-2-supply-expansion,10000,unresolved,S32:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,30000,unresolved,S12:1:1:0>0:1:1,1,0.5
turn-2-supply-expansion,30000,unresolved,S13:1:1:0>2:1:2,1,0.5
turn-2-supply-expansion,30000,unresolved,S22:1:1:0>0:1:1,1,0.5
turn-2-supply-expansion,30000,unresolved,S32:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,30000,unresolved,S33:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,100000,unresolved,S11:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,100000,unresolved,S12:1:1:0>0:1:1,2,1.0
turn-2-supply-expansion,100000,unresolved,S21:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,100000,unresolved,S31:0:0:0>2:0:1,1,0.5
turn-2-supply-expansion,100000,unresolved,S32:0:0:0>2:0:1,1,0.5
turn-3-supply-securing-choice,10000,unresolved,S11:0:0:0>1:1:0,1,0.5
turn-3-supply-securing-choice,10000,unresolved,S12:0:1:1>1:2:1,1,0.5
turn-3-supply-securing-choice,10000,unresolved,S23:2:0:1>0:1:1,1,0.5
turn-3-supply-securing-choice,10000,unresolved,S32:0:0:0>1:1:0,1,0.5
turn-3-supply-securing-choice,30000,unresolved,S12:0:1:1>1:2:1,1,0.5
turn-3-supply-securing-choice,30000,unresolved,S13:0:1:1>1:2:1,1,0.5
turn-3-supply-securing-choice,30000,unresolved,S23:2:0:1>0:1:1,1,0.5
turn-3-supply-securing-choice,30000,unresolved,S32:0:0:0>1:1:0,1,0.5
turn-3-supply-securing-choice,100000,unresolved,S11:0:0:0>1:1:0,1,0.5
turn-3-supply-securing-choice,100000,unresolved,S12:0:1:1>1:2:1,2,1.0
turn-3-supply-securing-choice,100000,unresolved,S13:0:1:1>1:2:1,1,0.5
turn-4-central-peripheral-competition,10000,unresolved,S32:1:1:0>0:1:1,1,0.5
turn-4-central-peripheral-competition,30000,unresolved,S33:1:1:0>0:1:1,1,0.5
turn-4-central-peripheral-competition,100000,unresolved,S32:1:1:0>0:1:1,2,1.0
turn-5-objective-supply-tradeoff,10000,unresolved,S23:2:0:1>0:1:1,2,1.0
turn-5-objective-supply-tradeoff,30000,unresolved,S23:2:0:1>0:1:1,2,1.0
