position_id,iteration_budget,transition_type,transition,count,rate_per_turn
turn-2-supply-expansion,10000,unresolved,S10:0:0:0>2:0:1,1,0.033333
turn-2-supply-expansion,10000,unresolved,S11:0:0:0>2:0:1,7,0.233333
turn-2-supply-expansion,10000,unresolved,S12:1:1:0>0:1:1,10,0.333333
turn-2-supply-expansion,10000,unresolved,S12:1:1:0>2:1:2,4,0.133333
turn-2-supply-expansion,10000,unresolved,S13:1:1:0>0:1:1,12,0.4
turn-2-supply-expansion,10000,unresolved,S13:1:1:0>2:1:2,1,0.033333
turn-2-supply-expansion,10000,unresolved,S21:0:0:0>2:0:1,10,0.333333
turn-2-supply-expansion,10000,unresolved,S22:1:1:0>0:1:1,6,0.2
turn-2-supply-expansion,10000,unresolved,S23:0:0:0>2:0:1,3,0.1
turn-2-supply-expansion,10000,unresolved,S31:0:0:0>2:0:1,12,0.4
turn-2-supply-expansion,10000,unresolved,S32:0:0:0>2:0:1,12,0.4
turn-2-supply-expansion,10000,unresolved,S33:0:0:0>2:0:1,7,0.233333
turn-2-supply-expansion,30000,unresolved,S11:0:0:0>2:0:1,4,0.133333
turn-2-supply-expansion,30000,unresolved,S12:1:1:0>0:1:1,21,0.7
turn-2-supply-expansion,30000,unresolved,S12:1:1:0>2:1:2,4,0.133333
turn-2-supply-expansion,30000,unresolved,S13:1:1:0>0:1:1,8,0.266667
turn-2-supply-expansion,30000,unresolved,S13:1:1:0>2:1:2,5,0.166667
turn-2-supply-expansion,30000,unresolved,S21:0:0:0>2:0:1,2,0.066667
turn-2-supply-expansion,30000,unresolved,S22:1:1:0>0:1:1,10,0.333333
turn-2-supply-expansion,30000,unresolved,S22:1:1:0>2:1:2,1,0.033333
turn-2-supply-expansion,30000,unresolved,S23:0:0:0>2:0:1,3,0.1
turn-2-supply-expansion,30000,unresolved,S31:0:0:0>2:0:1,5,0.166667
turn-2-supply-expansion,30000,unresolved,S32:0:0:0>2:0:1,8,0.266667
turn-2-supply-expansion,30000,unresolved,S33:0:0:0>2:0:1,9,0.3
turn-2-supply-expansion,100000,unresolved,S11:0:0:0>2:0:1,5,0.166667
turn-2-supply-expansion,100000,unresolved,S12:1:1:0>0:1:1,21,0.7
turn-2-supply-expansion,100000,unresolved,S12:1:1:0>2:1:2,6,0.2
turn-2-supply-expansion,100000,unresolved,S13:1:1:0>0:1:1,12,0.4
turn-2-supply-expansion,100000,unresolved,S13:1:1:0>2:1:2,4,0.133333
turn-2-supply-expansion,100000,unresolved,S21:0:0:0>2:0:1,4,0.133333
turn-2-supply-expansion,100000,unresolved,S22:1:1:0>0:1:1,9,0.3
turn-2-supply-expansion,100000,unresolved,S23:0:0:0>2:0:1,2,0.066667
turn-2-supply-expansion,100000,unresolved,S31:0:0:0>2:0:1,4,0.133333
turn-2-supply-expansion,100000,unresolved,S32:0:0:0>2:0:1,7,0.233333
turn-2-supply-expansion,100000,unresolved,S33:0:0:0>2:0:1,6,0.2
turn-3-supply-securing-choice,10000,unresolved,S11:0:0:0>1:1:0,2,0.066667
turn-3-supply-securing-choice,10000,unresolved,S12:0:1:1>1:2:1,8,0.266667
turn-3-supply-securing-choice,10000,unresolved,S13:0:1:1>1:2:1,8,0.266667
turn-3-supply-securing-choice,10000,unresolved,S21:0:0:0>1:1:0,10,0.333333
turn-3-supply-securing-choice,10000,unresolved,S23:2:0:1>0:1:1,13,0.433333
turn-3-supply-securing-choice,10000,unresolved,S31:0:0:0>1:1:0,7,0.233333
turn-3-supply-securing-choice,10000,unresolved,S32:0:0:0>1:1:0,8,0.266667
