position_id,iteration_budget,repetitions,worker_seconds,average_worker_seconds_per_turn,batches
turn-2-supply-expansion,10000,30,927.271,30.909,6
turn-3-supply-securing-choice,10000,30,888.254,29.608,6
turn-4-central-peripheral-competition,10000,30,839.509,27.984,6
turn-5-objective-supply-tradeoff,10000,30,822.94,27.431,6
turn-6-early-midgame-allocation,10000,30,723.76,24.125,6
turn-2-supply-expansion,100000,30,12299.689,409.99,6
turn-3-supply-securing-choice,100000,30,12724.511,424.15,6
turn-4-central-peripheral-competition,100000,30,13403.304,446.777,6
turn-5-objective-supply-tradeoff,100000,30,21333.216,711.107,6
turn-6-early-midgame-allocation,100000,30,16034.597,534.487,6
