experiment_id,iteration_limit,game_index,player,player_result_status,supply_point,spatial_category,securing_turn,securing_phase,p1_piece_count_at_turn_start,p2_piece_count_at_turn_start,previous_unresolved_pattern,securable_at_turn_start,placements_needed_to_secure,legal_max_additional_placements_this_turn,p1_piece_count_immediately_before_securing,p2_piece_count_immediately_before_securing,first_controlled_turn,opponent_placements_after_first_control_before_securing,contested_after_becoming_relevant,adjacent_objectives,adjacent_objective_states_at_securing,adjacent_live_objectives_at_securing,adjacent_future_placeable_objectives_at_securing,adjacent_future_placement_capacity_at_securing,adjacent_empty_objectives_at_securing,adjacent_secured_objectives_at_securing,future_turns_used_as_supply,future_objective_placements_supported,future_objectives_supported
uct-10000-self-play,10000,1,2,loser,S11,interior,20,late,2,2,2-2,true,1,1,2,3,2,2,true,4,O00:0:0:0;O01:2:0:2;O10:0:0:0;O11:4:0:3,3,3,7,2,1,0,0,
uct-10000-self-play,10000,1,1,winner,S13,interior,13,midgame,2,2,2-2,true,1,1,3,2,9,2,true,4,O02:0:0:0;O03:0:0:0;O12:0:0:0;O13:1:2:0,4,4,10,3,0,5,5,O13;O03;O02;O02;O02
uct-10000-self-play,10000,1,1,winner,S22,interior,11,midgame,2,2,2-2,true,1,1,3,2,1,2,true,4,O11:2:0:1;O12:0:0:0;O21:4:0:3;O22:0:0:0,3,3,9,2,1,4,4,O12;O12;O12;O22
uct-10000-self-play,10000,1,2,loser,S23,interior,8,early,2,1,2-1,true,2,2,2,3,8,0,false,4,O12:0:0:0;O13:1:2:0;O22:0:0:0;O23:0:0:0,4,4,12,3,0,5,5,O23;O23;O23;O22;O22
uct-10000-self-play,10000,1,1,winner,S31,interior,5,early,1,2,1-2,true,2,2,3,2,1,2,true,4,O20:0:0:0;O21:2:0:1;O30:1:1:0;O31:0:0:0,4,4,11,2,0,7,7,O30;O30;O31;O31;O31;O20;O20
uct-10000-self-play,10000,2,2,loser,S12,interior,8,early,2,1,2-1,true,2,2,2,3,8,0,false,4,O01:0:0:0;O02:2:0:1;O11:0:0:0;O12:1:1:0,4,4,11,2,0,7,7,O02;O02;O11;O11;O11;O01;O01
uct-10000-self-play,10000,2,2,loser,S21,interior,24,late,2,2,2-2,true,1,1,2,3,16,1,true,4,O10:2:0:2;O11:4:0:3;O20:4:0:3;O21:3:3:0,1,1,1,0,3,0,0,
uct-10000-self-play,10000,2,1,winner,S22,interior,7,early,2,2,2-2,true,1,1,3,2,1,2,true,4,O11:0:0:0;O12:0:0:0;O21:1:2:0;O22:0:0:0,4,4,10,3,0,5,5,O21;O12;O12;O22;O22
uct-10000-self-play,10000,2,1,winner,S23,interior,15,midgame,2,2,2-2,true,1,1,3,2,9,2,true,4,O12:3:3:0;O13:0:0:0;O22:0:0:0;O23:1:2:0,3,3,7,2,1,4,4,O23;O13;O13;O13
uct-10000-self-play,10000,2,2,loser,S31,interior,14,midgame,2,2,2-2,true,1,1,2,3,8,1,true,4,O20:0:0:0;O21:3:3:0;O30:2:0:2;O31:0:0:0,3,3,7,2,1,4,4,O30;O20;O20;O31
uct-10000-self-play,10000,2,1,winner,S33,interior,15,midgame,2,2,2-2,true,1,1,3,2,9,1,true,4,O22:0:0:0;O23:1:2:0;O32:0:0:0;O33:2:0:1,4,4,10,2,0,4,4,O22;O32;O33;O33
uct-10000-self-play,10000,3,2,draw,S32,interior,18,late,2,2,2-2,true,1,1,2,3,12,2,true,4,O21:4:0:3;O22:3:3:0;O31:2:0:2;O32:0:0:0,2,2,4,1,2,3,3,O31;O32;O32
uct-10000-self-play,10000,3,2,draw,S33,interior,22,late,2,2,2-2,true,1,1,2,3,10,2,true,4,O22:3:3:0;O23:4:0:3;O32:0:0:0;O33:0:0:0,2,2,6,2,2,1,1,O32
uct-10000-self-play,10000,4,1,winner,S11,interior,7,early,1,2,1-2,true,2,2,3,2,7,0,false,4,O00:0:0:0;O01:2:0:1;O10:1:2:0;O11:0:1:1,4,4,9,1,0,4,4,O10;O01;O01;O00
uct-10000-self-play,10000,4,2,loser,S21,interior,16,midgame,2,2,2-2,true,1,1,2,3,8,1,true,4,O10:3:3:0;O11:3:3:2;O20:2:0:2;O21:2:0:1,2,2,3,0,2,2,2,O20;O21
