experiment_id,iteration_limit,player_result_status,spatial_category,player_games,securing_events,mean_securing_turn,median_securing_turn,securable_opportunities,opportunities_taken,opportunity_take_rate
uct-10000-self-play,10000,winner,all,90,167,11.635,10,4511,167,0.037021
uct-10000-self-play,10000,winner,corner,90,1,21,21,39,1,0.025641
uct-10000-self-play,10000,winner,edge,90,4,20.75,21.0,581,4,0.006885
uct-10000-self-play,10000,winner,interior,90,162,11.352,10.0,3891,162,0.041635
uct-10000-self-play,10000,loser,all,90,159,12.799,12,4529,159,0.035107
uct-10000-self-play,10000,loser,corner,90,0,0.0,0.0,26,0,0.0
uct-10000-self-play,10000,loser,edge,90,6,20.333,21.5,599,6,0.010017
uct-10000-self-play,10000,loser,interior,90,153,12.503,11,3904,153,0.039191
uct-10000-self-play,10000,draw,all,20,41,14.317,15,1039,41,0.039461
uct-10000-self-play,10000,draw,corner,20,0,0.0,0.0,5,0,0.0
uct-10000-self-play,10000,draw,edge,20,2,22,22.0,149,2,0.013423
uct-10000-self-play,10000,draw,interior,20,39,13.923,13,885,39,0.044068
uct-3000-self-play,3000,winner,all,96,138,16.196,18.0,6150,138,0.022439
uct-3000-self-play,3000,winner,corner,96,0,0.0,0.0,116,0,0.0
uct-3000-self-play,3000,winner,edge,96,7,22.286,22,1414,7,0.00495
uct-3000-self-play,3000,winner,interior,96,131,15.87,17,4620,131,0.028355
uct-3000-self-play,3000,loser,all,96,102,16.441,17.0,6322,102,0.016134
uct-3000-self-play,3000,loser,corner,96,1,24,24,139,1,0.007194
uct-3000-self-play,3000,loser,edge,96,8,20.75,22.5,1519,8,0.005267
uct-3000-self-play,3000,loser,interior,96,93,15.989,17,4664,93,0.01994
uct-3000-self-play,3000,draw,all,8,5,15.4,18,575,5,0.008696
uct-3000-self-play,3000,draw,corner,8,0,0.0,0.0,6,0,0.0
uct-3000-self-play,3000,draw,edge,8,0,0.0,0.0,166,0,0.0
uct-3000-self-play,3000,draw,interior,8,5,15.4,18,403,5,0.012407
