supply_point,spatial_category,uct_3000_pieces_placed_per_player_game,uct_10000_pieces_placed_per_player_game,delta_10000_minus_3000_pieces_placed_per_player_game,uct_3000_unsecured_controlled_turn_share,uct_10000_unsecured_controlled_turn_share,delta_10000_minus_3000_unsecured_controlled_turn_share,uct_3000_secured_turn_share,uct_10000_secured_turn_share,delta_10000_minus_3000_secured_turn_share,uct_3000_controlled_or_secured_turn_share,uct_10000_controlled_or_secured_turn_share,delta_10000_minus_3000_controlled_or_secured_turn_share,uct_3000_secured_frequency,uct_10000_secured_frequency,delta_10000_minus_3000_secured_frequency,uct_3000_objective_placements_supplied_per_player_game,uct_10000_objective_placements_supplied_per_player_game,delta_10000_minus_3000_objective_placements_supplied_per_player_game,uct_3000_mean_objective_coverage,uct_10000_mean_objective_coverage,delta_10000_minus_3000_mean_objective_coverage,uct_3000_securing_rate_per_repeated_opportunity,uct_10000_securing_rate_per_repeated_opportunity,delta_10000_minus_3000_securing_rate_per_repeated_opportunity,uct_3000_eventual_securing_rate_per_ever_securable_player_site,uct_10000_eventual_securing_rate_per_ever_securable_player_site,delta_10000_minus_3000_eventual_securing_rate_per_ever_securable_player_site
S00,corner,0.165,0.16,-0.005,0.0175,0.012708,-0.004792,0.0,0.0,0.0,0.0175,0.012708,-0.004792,0.0,0.0,0.0,0.045,0.025,-0.02,0.035,0.015,-0.02,0.0,0.0,0.0,0.0,0.0,0.0
S01,edge,0.475,0.235,-0.24,0.114583,0.026667,-0.087916,0.000625,0.0,-0.000625,0.115208,0.026667,-0.088541,0.01,0.0,-0.01,0.49,0.095,-0.395,0.1375,0.035,-0.1025,0.005435,0.0,-0.005435,0.029851,0.0,-0.029851
S02,edge,0.355,0.255,-0.1,0.081042,0.0375,-0.043542,0.001042,0.0,-0.001042,0.082083,0.0375,-0.044583,0.005,0.0,-0.005,0.29,0.135,-0.155,0.0875,0.0425,-0.045,0.004237,0.0,-0.004237,0.022222,0.0,-0.022222
S03,edge,0.315,0.415,0.1,0.065417,0.038958,-0.026459,0.0,0.000833,0.000833,0.065417,0.039792,-0.025625,0.0,0.01,0.01,0.25,0.15,-0.1,0.0775,0.0575,-0.02,0.0,0.011765,0.011765,0.0,0.04,0.04
S04,corner,0.175,0.145,-0.03,0.027083,0.006458,-0.020625,0.0,0.000833,0.000833,0.027083,0.007292,-0.019791,0.0,0.005,0.005,0.055,0.005,-0.05,0.03,0.005,-0.025,0.0,0.03125,0.03125,0.0,0.071429,0.071429
S10,edge,0.335,0.19,-0.145,0.106042,0.030417,-0.075625,0.000417,0.0,-0.000417,0.106458,0.030417,-0.076041,0.005,0.0,-0.005,0.345,0.125,-0.22,0.0975,0.0525,-0.045,0.003185,0.0,-0.003185,0.02,0.0,-0.02
S11,interior,1.39,1.53,0.14,0.20875,0.144167,-0.064583,0.051042,0.088958,0.037916,0.259792,0.233125,-0.026667,0.135,0.165,0.03,1.555,1.625,0.07,0.2425,0.24625,0.00375,0.02507,0.035032,0.009962,0.170886,0.197605,0.026719
S12,interior,1.38,1.47,0.09,0.214583,0.160625,-0.053958,0.05875,0.097917,0.039167,0.273333,0.258542,-0.014791,0.135,0.175,0.04,1.595,1.85,0.255,0.24125,0.2475,0.00625,0.024748,0.03692,0.012172,0.170886,0.22293,0.052044
S13,interior,1.435,1.72,0.285,0.227708,0.1425,-0.085208,0.037917,0.105,0.067083,0.265625,0.2475,-0.018125,0.135,0.215,0.08,1.665,1.765,0.1,0.255,0.26125,0.00625,0.023499,0.048369,0.02487,0.16875,0.254438,0.085688
S14,edge,0.415,0.28,-0.135,0.080417,0.023542,-0.056875,0.000208,0.001042,0.000834,0.080625,0.024583,-0.056042,0.005,0.005,0.0,0.305,0.135,-0.17,0.09,0.04,-0.05,0.003891,0.007407,0.003516,0.018182,0.028571,0.010389
