experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_secured,secured_frequency,mean_first_securing_turn,secured_turns,secured_turn_share,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,usage_after_securing,mean_usage_after_securing_per_secured_player_site
uct-10000-self-play,10000,S00,corner,200,0,0.0,0.0,0,0.0,15,0,0.0,8,0,0.0,0,0.0
uct-10000-self-play,10000,S01,edge,200,0,0.0,0.0,0,0.0,71,0,0.0,27,0,0.0,0,0.0
uct-10000-self-play,10000,S02,edge,200,0,0.0,0.0,0,0.0,103,0,0.0,27,0,0.0,0,0.0
uct-10000-self-play,10000,S03,edge,200,2,0.01,23,4,0.000833,170,2,0.011765,50,2,0.04,0,0.0
uct-10000-self-play,10000,S04,corner,200,1,0.005,21,4,0.000833,32,1,0.03125,14,1,0.071429,1,1.0
uct-10000-self-play,10000,S10,edge,200,0,0.0,0.0,0,0.0,61,0,0.0,19,0,0.0,0,0.0
uct-10000-self-play,10000,S11,interior,200,33,0.165,12.060606,427,0.088958,942,33,0.035032,167,33,0.197605,133,4.030303
uct-10000-self-play,10000,S12,interior,200,35,0.175,11.571429,470,0.097917,948,35,0.03692,157,35,0.22293,142,4.057143
uct-10000-self-play,10000,S13,interior,200,43,0.215,13.27907,504,0.105,889,43,0.048369,169,43,0.254438,162,3.767442
uct-10000-self-play,10000,S14,edge,200,1,0.005,20,5,0.001042,135,1,0.007407,35,1,0.028571,1,1.0
uct-10000-self-play,10000,S20,edge,200,1,0.005,13,12,0.0025,112,1,0.008929,33,1,0.030303,0,0.0
uct-10000-self-play,10000,S21,interior,200,42,0.21,11.738095,557,0.116042,1021,42,0.041136,172,42,0.244186,173,4.119048
uct-10000-self-play,10000,S22,interior,200,38,0.19,9.789474,578,0.120417,971,38,0.039135,159,38,0.238994,147,3.868421
uct-10000-self-play,10000,S23,interior,200,46,0.23,11.695652,612,0.1275,988,46,0.046559,172,46,0.267442,190,4.130435
uct-10000-self-play,10000,S24,edge,200,1,0.005,20,5,0.001042,92,1,0.01087,29,1,0.034483,1,1.0
uct-10000-self-play,10000,S30,edge,200,3,0.015,22.666667,7,0.001458,145,3,0.02069,33,3,0.090909,2,0.666667
uct-10000-self-play,10000,S31,interior,200,45,0.225,13.733333,507,0.105625,965,45,0.046632,177,45,0.254237,159,3.533333
uct-10000-self-play,10000,S32,interior,200,35,0.175,10.971429,491,0.102292,946,35,0.036998,163,35,0.214724,144,4.114286
uct-10000-self-play,10000,S33,interior,200,37,0.185,13.945946,409,0.085208,1010,37,0.036634,167,37,0.221557,123,3.324324
uct-10000-self-play,10000,S34,edge,200,0,0.0,0.0,0,0.0,78,0,0.0,30,0,0.0,0,0.0
uct-10000-self-play,10000,S40,corner,200,0,0.0,0.0,0,0.0,14,0,0.0,8,0,0.0,0,0.0
uct-10000-self-play,10000,S41,edge,200,1,0.005,18,7,0.001458,103,1,0.009709,32,1,0.03125,1,1.0
uct-10000-self-play,10000,S42,edge,200,2,0.01,21,8,0.001667,133,2,0.015038,42,2,0.047619,2,1.0
uct-10000-self-play,10000,S43,edge,200,1,0.005,22,3,0.000625,126,1,0.007937,31,1,0.032258,1,1.0
uct-10000-self-play,10000,S44,corner,200,0,0.0,0.0,0,0.0,9,0,0.0,4,0,0.0,0,0.0
uct-3000-self-play,3000,S00,corner,200,0,0.0,0.0,0,0.0,42,0,0.0,17,0,0.0,0,0.0
uct-3000-self-play,3000,S01,edge,200,2,0.01,23.5,3,0.000625,368,2,0.005435,67,2,0.029851,0,0.0
uct-3000-self-play,3000,S02,edge,200,1,0.005,20,5,0.001042,236,1,0.004237,45,1,0.022222,1,1.0
uct-3000-self-play,3000,S03,edge,200,0,0.0,0.0,0,0.0,205,0,0.0,42,0,0.0,0,0.0
uct-3000-self-play,3000,S04,corner,200,0,0.0,0.0,0,0.0,47,0,0.0,9,0,0.0,0,0.0
uct-3000-self-play,3000,S10,edge,200,1,0.005,23,2,0.000417,314,1,0.003185,50,1,0.02,0,0.0
uct-3000-self-play,3000,S11,interior,200,27,0.135,15.925926,245,0.051042,1077,27,0.02507,158,27,0.170886,64,2.37037
uct-3000-self-play,3000,S12,interior,200,27,0.135,14.555556,282,0.05875,1091,27,0.024748,158,27,0.170886,68,2.518519
uct-3000-self-play,3000,S13,interior,200,27,0.135,18.259259,182,0.037917,1149,27,0.023499,160,27,0.16875,57,2.111111
uct-3000-self-play,3000,S14,edge,200,1,0.005,24,1,0.000208,257,1,0.003891,55,1,0.018182,0,0.0
uct-3000-self-play,3000,S20,edge,200,0,0.0,0.0,0,0.0,305,0,0.0,51,0,0.0,0,0.0
