experiment_id,iteration_limit,supply_point,spatial_category,player_games,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site
uct-10000-self-play,10000,S00,corner,200,5,5,0.025,3,0.015,0.015,0.015,5,0,0.0
uct-10000-self-play,10000,S01,edge,200,19,19,0.095,11,0.055,0.07,0.035,19,0,0.0
uct-10000-self-play,10000,S02,edge,200,27,27,0.135,11,0.055,0.085,0.0425,27,0,0.0
uct-10000-self-play,10000,S03,edge,200,30,30,0.15,18,0.09,0.115,0.0575,30,0,0.0
uct-10000-self-play,10000,S04,corner,200,1,1,0.005,1,0.005,0.005,0.005,1,1,1.0
uct-10000-self-play,10000,S10,edge,200,25,25,0.125,15,0.075,0.105,0.0525,25,0,0.0
uct-10000-self-play,10000,S11,interior,200,325,325,1.625,86,0.43,0.985,0.24625,325,133,4.030303
uct-10000-self-play,10000,S12,interior,200,370,370,1.85,81,0.405,0.99,0.2475,370,142,4.057143
uct-10000-self-play,10000,S13,interior,200,353,353,1.765,90,0.45,1.045,0.26125,353,162,3.767442
uct-10000-self-play,10000,S14,edge,200,27,27,0.135,10,0.05,0.08,0.04,27,1,1.0
uct-10000-self-play,10000,S20,edge,200,24,24,0.12,11,0.055,0.08,0.04,24,0,0.0
uct-10000-self-play,10000,S21,interior,200,372,372,1.86,97,0.485,1.06,0.265,372,173,4.119048
uct-10000-self-play,10000,S22,interior,200,353,353,1.765,91,0.455,1.03,0.2575,353,147,3.868421
uct-10000-self-play,10000,S23,interior,200,400,400,2.0,94,0.47,1.13,0.2825,400,190,4.130435
uct-10000-self-play,10000,S24,edge,200,14,14,0.07,9,0.045,0.06,0.03,14,1,1.0
uct-10000-self-play,10000,S30,edge,200,39,39,0.195,16,0.08,0.12,0.06,39,2,0.666667
uct-10000-self-play,10000,S31,interior,200,336,336,1.68,87,0.435,0.98,0.245,336,159,3.533333
uct-10000-self-play,10000,S32,interior,200,343,343,1.715,80,0.4,0.94,0.235,343,144,4.114286
uct-10000-self-play,10000,S33,interior,200,335,335,1.675,83,0.415,0.96,0.24,335,123,3.324324
uct-10000-self-play,10000,S34,edge,200,20,20,0.1,11,0.055,0.075,0.0375,20,0,0.0
uct-10000-self-play,10000,S40,corner,200,2,2,0.01,2,0.01,0.01,0.01,2,0,0.0
uct-10000-self-play,10000,S41,edge,200,22,22,0.11,11,0.055,0.08,0.04,22,1,1.0
uct-10000-self-play,10000,S42,edge,200,33,33,0.165,13,0.065,0.115,0.0575,33,2,1.0
uct-10000-self-play,10000,S43,edge,200,33,33,0.165,14,0.07,0.09,0.045,33,1,1.0
uct-10000-self-play,10000,S44,corner,200,4,4,0.02,2,0.01,0.01,0.01,4,0,0.0
uct-3000-self-play,3000,S00,corner,200,9,9,0.045,7,0.035,0.035,0.035,9,0,0.0
uct-3000-self-play,3000,S01,edge,200,98,98,0.49,34,0.17,0.275,0.1375,98,0,0.0
uct-3000-self-play,3000,S02,edge,200,58,58,0.29,23,0.115,0.175,0.0875,58,1,1.0
uct-3000-self-play,3000,S03,edge,200,50,50,0.25,24,0.12,0.155,0.0775,50,0,0.0
uct-3000-self-play,3000,S04,corner,200,11,11,0.055,6,0.03,0.03,0.03,11,0,0.0
uct-3000-self-play,3000,S10,edge,200,69,69,0.345,26,0.13,0.195,0.0975,69,0,0.0
uct-3000-self-play,3000,S11,interior,200,311,311,1.555,89,0.445,0.97,0.2425,311,64,2.37037
uct-3000-self-play,3000,S12,interior,200,319,319,1.595,85,0.425,0.965,0.24125,319,68,2.518519
uct-3000-self-play,3000,S13,interior,200,333,333,1.665,96,0.48,1.02,0.255,333,57,2.111111
uct-3000-self-play,3000,S14,edge,200,61,61,0.305,22,0.11,0.18,0.09,61,0,0.0
uct-3000-self-play,3000,S20,edge,200,76,76,0.38,28,0.14,0.22,0.11,76,0,0.0
uct-3000-self-play,3000,S21,interior,200,405,405,2.025,92,0.46,1.125,0.28125,405,104,2.888889
uct-3000-self-play,3000,S22,interior,200,331,331,1.655,93,0.465,0.99,0.2475,331,65,2.6
uct-3000-self-play,3000,S23,interior,200,265,265,1.325,79,0.395,0.81,0.2025,265,44,2.315789
uct-3000-self-play,3000,S24,edge,200,64,64,0.32,23,0.115,0.18,0.09,64,0,0.0
uct-3000-self-play,3000,S30,edge,200,50,50,0.25,21,0.105,0.15,0.075,50,1,1.0
uct-3000-self-play,3000,S31,interior,200,318,318,1.59,82,0.41,0.965,0.24125,318,52,2.08
uct-3000-self-play,3000,S32,interior,200,311,311,1.555,88,0.44,0.935,0.23375,311,56,2.153846
uct-3000-self-play,3000,S33,interior,200,374,374,1.87,91,0.455,1.115,0.27875,374,46,2.705882
uct-3000-self-play,3000,S34,edge,200,87,87,0.435,33,0.165,0.25,0.125,87,2,0.666667
uct-3000-self-play,3000,S40,corner,200,17,17,0.085,12,0.06,0.06,0.06,17,0,0.0
uct-3000-self-play,3000,S41,edge,200,64,64,0.32,27,0.135,0.205,0.1025,64,0,0.0
uct-3000-self-play,3000,S42,edge,200,56,56,0.28,22,0.11,0.17,0.085,56,2,0.666667
uct-3000-self-play,3000,S43,edge,200,41,41,0.205,14,0.07,0.11,0.055,41,0,0.0
uct-3000-self-play,3000,S44,corner,200,12,12,0.06,8,0.04,0.04,0.04,12,0,0.0
