experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate,player_result_status
uct-10000-self-play,10000,S00,corner,90,11,0.122222,12,0.133333,21.727273,8,0.088889,21,8,0.088889,21,32,0,32,0.014815,0.0,0.014815,0.974074,0.001852,0,0.0,0.0,11,0,0.0,4,0,0.0,5,5,0.055556,3,0.033333,0.033333,0.033333,5,0,0.0,0.088889,0.0,0.088889,winner
uct-10000-self-play,10000,S00,corner,90,16,0.177778,17,0.188889,23.25,16,0.177778,23.25,16,0.177778,23.25,24,0,24,0.011111,0.0,0.011111,0.974074,0.001852,0,0.0,0.0,4,0,0.0,4,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.144444,0.0,0.144444,loser
uct-10000-self-play,10000,S00,corner,20,3,0.15,3,0.15,23.333333,3,0.15,23.333333,3,0.15,23.333333,5,0,5,0.010417,0.0,0.010417,0.979167,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.15,0.0,0.15,draw
uct-10000-self-play,10000,S01,edge,90,14,0.155556,15,0.166667,19.642857,11,0.122222,19.545455,11,0.122222,19.545455,43,0,43,0.019907,0.0,0.019907,0.949074,0.015278,0,0.0,0.0,27,0,0.0,9,0,0.0,7,7,0.077778,5,0.055556,0.066667,0.033333,7,0,0.0,0.088889,0.0,0.088889,winner
uct-10000-self-play,10000,S01,edge,90,20,0.222222,25,0.277778,20.1,18,0.2,20.444444,18,0.2,20.444444,67,0,67,0.031019,0.0,0.031019,0.949074,0.015278,0,0.0,0.0,35,0,0.0,13,0,0.0,9,9,0.1,4,0.044444,0.055556,0.027778,9,0,0.0,0.166667,0.0,0.166667,loser
uct-10000-self-play,10000,S01,edge,20,7,0.35,7,0.35,20.714286,5,0.25,20.2,5,0.25,20.2,18,0,18,0.0375,0.0,0.0375,0.925,0.025,0,0.0,0.0,9,0,0.0,5,0,0.0,3,3,0.15,2,0.1,0.15,0.075,3,0,0.0,0.15,0.0,0.15,draw
uct-10000-self-play,10000,S02,edge,90,19,0.211111,21,0.233333,19.052632,13,0.144444,19.076923,13,0.144444,19.076923,65,0,65,0.030093,0.0,0.030093,0.933333,0.023148,0,0.0,0.0,42,0,0.0,13,0,0.0,9,9,0.1,5,0.055556,0.077778,0.038889,9,0,0.0,0.111111,0.0,0.111111,winner
uct-10000-self-play,10000,S02,edge,90,20,0.222222,26,0.288889,19.3,18,0.2,19.277778,18,0.2,19.277778,79,0,79,0.036574,0.0,0.036574,0.933333,0.023148,0,0.0,0.0,44,0,0.0,12,0,0.0,14,14,0.155556,5,0.055556,0.088889,0.044444,14,0,0.0,0.155556,0.0,0.155556,loser
uct-10000-self-play,10000,S02,edge,20,4,0.2,4,0.2,15,3,0.15,12.333333,3,0.15,12.333333,36,0,36,0.075,0.0,0.075,0.85,0.008333,0,0.0,0.0,17,0,0.0,2,0,0.0,4,4,0.2,1,0.05,0.1,0.05,4,0,0.0,0.1,0.0,0.1,draw
uct-10000-self-play,10000,S03,edge,90,31,0.344444,37,0.411111,18.967742,18,0.2,19.944444,19,0.211111,20.105263,74,2,76,0.034259,0.000926,0.035185,0.915741,0.059722,1,0.011111,23,68,1,0.014706,23,1,0.043478,9,9,0.1,8,0.088889,0.1,0.05,9,0,0.0,0.133333,0.011111,0.144444,winner
uct-10000-self-play,10000,S03,edge,90,34,0.377778,39,0.433333,18.529412,27,0.3,17.62963,27,0.3,17.62963,104,2,106,0.048148,0.000926,0.049074,0.915741,0.059722,1,0.011111,23,85,1,0.011765,23,1,0.043478,19,19,0.211111,9,0.1,0.133333,0.066667,19,0,0.0,0.155556,0.011111,0.166667,loser
uct-10000-self-play,10000,S03,edge,20,5,0.25,7,0.35,16.6,3,0.15,16.666667,3,0.15,16.666667,9,0,9,0.01875,0.0,0.01875,0.9625,0.070833,0,0.0,0.0,17,0,0.0,4,0,0.0,2,2,0.1,1,0.05,0.1,0.05,2,0,0.0,0.05,0.0,0.05,draw
uct-10000-self-play,10000,S04,corner,90,10,0.111111,13,0.144444,20.2,8,0.088889,20.375,8,0.088889,20.375,13,4,17,0.006019,0.001852,0.00787,0.983796,0.01713,1,0.011111,21,16,1,0.0625,6,1,0.166667,1,1,0.011111,1,0.011111,0.011111,0.011111,1,1,1.0,0.044444,0.011111,0.055556,winner
uct-10000-self-play,10000,S04,corner,90,13,0.144444,16,0.177778,20.846154,9,0.1,21.888889,9,0.1,21.888889,18,0,18,0.008333,0.0,0.008333,0.983796,0.01713,0,0.0,0.0,16,0,0.0,8,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.088889,0.0,0.088889,loser
uct-10000-self-play,10000,S04,corner,20,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,draw
uct-10000-self-play,10000,S10,edge,90,14,0.155556,15,0.166667,20.428571,11,0.122222,20.090909,11,0.122222,20.090909,52,0,52,0.024074,0.0,0.024074,0.941667,0.005556,0,0.0,0.0,21,0,0.0,8,0,0.0,9,9,0.1,7,0.077778,0.1,0.05,9,0,0.0,0.111111,0.0,0.111111,winner
uct-10000-self-play,10000,S10,edge,90,15,0.166667,20,0.222222,19.4,14,0.155556,19.142857,14,0.155556,19.142857,74,0,74,0.034259,0.0,0.034259,0.941667,0.005556,0,0.0,0.0,31,0,0.0,10,0,0.0,14,14,0.155556,7,0.077778,0.111111,0.055556,14,0,0.0,0.144444,0.0,0.144444,loser
uct-10000-self-play,10000,S10,edge,20,3,0.15,3,0.15,17.666667,2,0.1,14.5,2,0.1,14.5,20,0,20,0.041667,0.0,0.041667,0.916667,0.004167,0,0.0,0.0,9,0,0.0,1,0,0.0,2,2,0.1,1,0.05,0.1,0.05,2,0,0.0,0.05,0.0,0.05,draw
uct-10000-self-play,10000,S11,interior,90,78,0.866667,136,1.511111,8.807692,40,0.444444,7.45,44,0.488889,7.659091,252,198,450,0.116667,0.091667,0.208333,0.544907,0.511574,14,0.155556,10.857143,399,14,0.035088,73,14,0.191781,133,133,1.477778,33,0.366667,0.833333,0.208333,133,66,4.714286,0.144444,0.155556,0.3,winner
uct-10000-self-play,10000,S11,interior,90,79,0.877778,139,1.544444,7.860759,59,0.655556,8.559322,60,0.666667,8.7,355,178,533,0.164352,0.082407,0.246759,0.544907,0.511574,15,0.166667,13.133333,443,15,0.03386,78,15,0.192308,143,143,1.588889,44,0.488889,1.044444,0.261111,143,49,3.266667,0.155556,0.166667,0.322222,loser
uct-10000-self-play,10000,S11,interior,20,17,0.85,31,1.55,6.176471,10,0.5,4.1,10,0.5,4.1,85,51,136,0.177083,0.10625,0.283333,0.433333,0.55,4,0.2,12.25,100,4,0.04,16,4,0.25,49,49,2.45,9,0.45,1.4,0.35,49,18,4.5,0.05,0.2,0.25,draw
uct-10000-self-play,10000,S12,interior,90,74,0.822222,137,1.522222,6.675676,37,0.411111,3.837838,42,0.466667,4.309524,276,308,584,0.127778,0.142593,0.27037,0.480556,0.526852,20,0.222222,9.6,425,20,0.047059,72,20,0.277778,173,173,1.922222,37,0.411111,1,0.25,173,97,4.85,0.088889,0.222222,0.311111,winner
uct-10000-self-play,10000,S12,interior,90,72,0.8,134,1.488889,5.458333,51,0.566667,5.352941,53,0.588889,5.754717,419,119,538,0.193981,0.055093,0.249074,0.480556,0.526852,12,0.133333,15.083333,451,12,0.026608,71,12,0.169014,165,165,1.833333,37,0.411111,0.988889,0.247222,165,32,2.666667,0.155556,0.133333,0.288889,loser
uct-10000-self-play,10000,S12,interior,20,14,0.7,23,1.15,7.5,9,0.45,5.222222,10,0.5,5.8,76,43,119,0.158333,0.089583,0.247917,0.504167,0.366667,3,0.15,10.666667,72,3,0.041667,14,3,0.214286,32,32,1.6,7,0.35,0.95,0.2375,32,13,4.333333,0.1,0.15,0.25,draw
uct-10000-self-play,10000,S13,interior,90,78,0.866667,154,1.711111,8.038462,43,0.477778,6.511628,51,0.566667,7.294118,305,277,582,0.141204,0.128241,0.269444,0.511111,0.518981,24,0.266667,13.458333,392,24,0.061224,76,24,0.315789,187,187,2.077778,43,0.477778,1.211111,0.302778,187,96,4.0,0.077778,0.266667,0.344444,winner
uct-10000-self-play,10000,S13,interior,90,82,0.911111,155,1.722222,9.085366,55,0.611111,10.254545,57,0.633333,10.157895,288,186,474,0.133333,0.086111,0.219444,0.511111,0.518981,15,0.166667,12.6,378,15,0.039683,75,15,0.2,126,126,1.4,38,0.422222,0.855556,0.213889,126,52,3.466667,0.177778,0.166667,0.344444,loser
uct-10000-self-play,10000,S13,interior,20,19,0.95,35,1.75,7.052632,13,0.65,6.153846,14,0.7,6.285714,91,41,132,0.189583,0.085417,0.275,0.45,0.579167,4,0.2,14.75,119,4,0.033613,18,4,0.222222,40,40,2.0,9,0.45,1.15,0.2875,40,14,3.5,0.05,0.2,0.25,draw
uct-10000-self-play,10000,S14,edge,90,22,0.244444,24,0.266667,17.863636,18,0.2,17.5,18,0.2,17.5,55,5,60,0.025463,0.002315,0.027778,0.946759,0.050463,1,0.011111,20,61,1,0.016393,14,1,0.071429,16,16,0.177778,6,0.066667,0.1,0.05,16,1,1.0,0.088889,0.011111,0.1,winner
uct-10000-self-play,10000,S14,edge,90,26,0.288889,27,0.3,18.692308,16,0.177778,20.1875,16,0.177778,20.1875,55,0,55,0.025463,0.0,0.025463,0.946759,0.050463,0,0.0,0.0,61,0,0.0,17,0,0.0,11,11,0.122222,4,0.044444,0.077778,0.038889,11,0,0.0,0.133333,0.0,0.133333,loser
uct-10000-self-play,10000,S14,edge,20,4,0.2,5,0.25,17,2,0.1,16.5,2,0.1,16.5,3,0,3,0.00625,0.0,0.00625,0.9875,0.0625,0,0.0,0.0,13,0,0.0,4,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.05,0.0,0.05,draw
uct-10000-self-play,10000,S20,edge,90,22,0.244444,26,0.288889,17.909091,15,0.166667,18.266667,15,0.166667,18.266667,67,0,67,0.031019,0.0,0.031019,0.926389,0.041667,0,0.0,0.0,55,0,0.0,17,0,0.0,10,10,0.111111,5,0.055556,0.077778,0.038889,10,0,0.0,0.111111,0.0,0.111111,winner
uct-10000-self-play,10000,S20,edge,90,28,0.311111,33,0.366667,19.142857,23,0.255556,19.391304,23,0.255556,19.391304,80,12,92,0.037037,0.005556,0.042593,0.926389,0.041667,1,0.011111,13,57,1,0.017544,16,1,0.0625,14,14,0.155556,6,0.066667,0.1,0.05,14,0,0.0,0.188889,0.011111,0.2,loser
uct-10000-self-play,10000,S20,edge,20,2,0.1,2,0.1,23.5,2,0.1,23.5,2,0.1,23.5,3,0,3,0.00625,0.0,0.00625,0.9875,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.1,0.0,0.1,draw
uct-10000-self-play,10000,S21,interior,90,77,0.855556,147,1.633333,6.25974,43,0.477778,5.023256,48,0.533333,5.479167,262,215,477,0.121296,0.099537,0.220833,0.459259,0.583796,16,0.177778,11.5625,428,16,0.037383,75,16,0.213333,154,154,1.711111,40,0.444444,1,0.25,154,74,4.625,0.044444,0.177778,0.222222,winner
uct-10000-self-play,10000,S21,interior,90,83,0.922222,163,1.811111,6.445783,62,0.688889,6.5,66,0.733333,6.681818,406,285,691,0.187963,0.131944,0.319907,0.459259,0.583796,22,0.244444,12.045455,481,22,0.045738,80,22,0.275,186,186,2.066667,48,0.533333,1.155556,0.288889,186,81,3.681818,0.166667,0.244444,0.411111,loser
uct-10000-self-play,10000,S21,interior,20,17,0.85,33,1.65,4.117647,13,0.65,6.846154,14,0.7,7.5,57,57,114,0.11875,0.11875,0.2375,0.525,0.654167,4,0.2,10.75,112,4,0.035714,17,4,0.235294,32,32,1.6,9,0.45,0.9,0.225,32,18,4.5,0.15,0.2,0.35,draw
uct-10000-self-play,10000,S22,interior,90,77,0.855556,139,1.544444,5.311688,50,0.555556,4.36,53,0.588889,4.433962,349,218,567,0.161574,0.100926,0.2625,0.41713,0.57963,14,0.155556,9.428571,437,14,0.032037,74,14,0.189189,136,136,1.511111,35,0.388889,0.9,0.225,136,52,3.714286,0.133333,0.155556,0.288889,winner
uct-10000-self-play,10000,S22,interior,90,72,0.8,145,1.611111,4.805556,49,0.544444,5.571429,59,0.655556,5.898305,355,337,692,0.164352,0.156019,0.32037,0.41713,0.57963,22,0.244444,9.681818,415,22,0.053012,70,22,0.314286,181,181,2.011111,46,0.511111,1.166667,0.291667,181,89,4.045455,0.111111,0.244444,0.355556,loser
uct-10000-self-play,10000,S22,interior,20,15,0.75,25,1.25,4.8,12,0.6,5.833333,13,0.65,5.923077,116,23,139,0.241667,0.047917,0.289583,0.420833,0.491667,2,0.1,13.5,119,2,0.016807,15,2,0.133333,36,36,1.8,10,0.5,1,0.25,36,6,3.0,0.25,0.1,0.35,draw
uct-10000-self-play,10000,S23,interior,90,79,0.877778,146,1.622222,6.151899,59,0.655556,5.186441,61,0.677778,5.344262,287,249,536,0.13287,0.115278,0.248148,0.442593,0.593056,18,0.2,11.166667,442,18,0.040724,78,18,0.230769,161,161,1.788889,40,0.444444,1.033333,0.258333,161,82,4.555556,0.055556,0.2,0.255556,winner
uct-10000-self-play,10000,S23,interior,90,82,0.911111,162,1.8,6.256098,55,0.611111,7.072727,62,0.688889,7.096774,397,271,668,0.183796,0.125463,0.309259,0.442593,0.593056,21,0.233333,12.095238,469,21,0.044776,79,21,0.265823,194,194,2.155556,45,0.5,1.2,0.3,194,80,3.809524,0.188889,0.233333,0.422222,loser
uct-10000-self-play,10000,S23,interior,20,16,0.8,36,1.8,3.25,11,0.55,3.272727,11,0.55,3.272727,56,92,148,0.116667,0.191667,0.308333,0.383333,0.675,7,0.35,11.857143,77,7,0.090909,15,7,0.466667,45,45,2.25,9,0.45,1.25,0.3125,45,28,4.0,0.0,0.35,0.35,draw
uct-10000-self-play,10000,S24,edge,90,17,0.188889,22,0.244444,18.647059,14,0.155556,19.428571,14,0.155556,19.428571,53,0,53,0.024537,0.0,0.024537,0.95787,0.036574,0,0.0,0.0,38,0,0.0,12,0,0.0,4,4,0.044444,3,0.033333,0.044444,0.022222,4,0,0.0,0.122222,0.0,0.122222,winner
uct-10000-self-play,10000,S24,edge,90,15,0.166667,18,0.2,17.733333,10,0.111111,18.7,10,0.111111,18.7,33,5,38,0.015278,0.002315,0.017593,0.95787,0.036574,1,0.011111,20,43,1,0.023256,12,1,0.083333,6,6,0.066667,4,0.044444,0.044444,0.022222,6,1,1.0,0.066667,0.011111,0.077778,loser
uct-10000-self-play,10000,S24,edge,20,6,0.3,7,0.35,19.833333,4,0.2,19.25,4,0.2,19.25,13,0,13,0.027083,0.0,0.027083,0.945833,0.041667,0,0.0,0.0,11,0,0.0,5,0,0.0,4,4,0.2,2,0.1,0.2,0.1,4,0,0.0,0.05,0.0,0.05,draw
uct-10000-self-play,10000,S30,edge,90,20,0.222222,22,0.244444,17,13,0.144444,16.923077,13,0.144444,16.923077,89,0,89,0.041204,0.0,0.041204,0.921296,0.033333,0,0.0,0.0,64,0,0.0,14,0,0.0,16,16,0.177778,7,0.077778,0.1,0.05,16,0,0.0,0.122222,0.0,0.122222,winner
uct-10000-self-play,10000,S30,edge,90,24,0.266667,30,0.333333,19,22,0.244444,19.227273,23,0.255556,19.434783,79,2,81,0.036574,0.000926,0.0375,0.921296,0.033333,2,0.022222,24,56,2,0.035714,13,2,0.153846,14,14,0.155556,6,0.066667,0.1,0.05,14,0,0.0,0.166667,0.022222,0.188889,loser
uct-10000-self-play,10000,S30,edge,20,6,0.3,9,0.45,14,4,0.2,11.5,4,0.2,11.5,43,5,48,0.089583,0.010417,0.1,0.8,0.05,1,0.05,20,25,1,0.04,6,1,0.166667,9,9,0.45,3,0.15,0.3,0.15,9,2,2.0,0.1,0.05,0.15,draw
uct-10000-self-play,10000,S31,interior,90,85,0.944444,159,1.766667,8.317647,45,0.5,9.288889,50,0.555556,9.36,297,231,528,0.1375,0.106944,0.244444,0.522222,0.543519,19,0.211111,12.842105,450,19,0.042222,85,19,0.223529,146,146,1.622222,34,0.377778,0.888889,0.222222,146,77,4.052632,0.111111,0.211111,0.322222,winner
uct-10000-self-play,10000,S31,interior,90,84,0.933333,155,1.722222,8.714286,57,0.633333,6.508772,58,0.644444,6.534483,309,195,504,0.143056,0.090278,0.233333,0.522222,0.543519,18,0.2,14.166667,428,18,0.042056,74,18,0.243243,139,139,1.544444,42,0.466667,0.977778,0.244444,139,56,3.111111,0.077778,0.2,0.277778,loser
