experiment_id,turn_number,games,supply_placements,objective_placements,objective_placement_share,cumulative_supply_placements,cumulative_objective_placements,cumulative_objective_placement_share,primary_important_supply_source_uses
uct-10000-self-play,1,100,300,0,0.0,300,0,0.0,0
uct-10000-self-play,2,100,300,0,0.0,600,0,0.0,0
uct-10000-self-play,3,100,166,134,0.446667,766,134,0.148889,73
uct-10000-self-play,4,100,203,97,0.323333,969,231,0.1925,55
uct-10000-self-play,5,100,158,142,0.473333,1127,373,0.248667,75
uct-10000-self-play,6,100,173,127,0.423333,1300,500,0.277778,67
uct-10000-self-play,7,100,166,134,0.446667,1466,634,0.301905,71
uct-10000-self-play,8,100,163,137,0.456667,1629,771,0.32125,78
uct-10000-self-play,9,100,151,149,0.496667,1780,920,0.340741,89
uct-10000-self-play,10,100,134,166,0.553333,1914,1086,0.362,97
uct-10000-self-play,11,100,107,193,0.643333,2021,1279,0.387576,109
uct-10000-self-play,12,100,100,200,0.666667,2121,1479,0.410833,117
uct-10000-self-play,13,100,98,202,0.673333,2219,1681,0.431026,102
uct-10000-self-play,14,100,102,198,0.66,2321,1879,0.447381,120
uct-10000-self-play,15,100,112,188,0.626667,2433,2067,0.459333,103
uct-10000-self-play,16,100,105,195,0.65,2538,2262,0.47125,109
uct-10000-self-play,17,100,105,195,0.65,2643,2457,0.481765,96
uct-10000-self-play,18,100,114,186,0.62,2757,2643,0.489444,103
uct-10000-self-play,19,100,123,177,0.59,2880,2820,0.494737,81
uct-10000-self-play,20,100,121,179,0.596667,3001,2999,0.499833,90
uct-10000-self-play,21,100,128,172,0.573333,3129,3171,0.503333,70
uct-10000-self-play,22,100,154,146,0.486667,3283,3317,0.502576,67
uct-10000-self-play,23,100,182,118,0.393333,3465,3435,0.497826,43
uct-10000-self-play,24,100,223,77,0.256667,3688,3512,0.487778,33
uct-3000-self-play,1,100,300,0,0.0,300,0,0.0,0
uct-3000-self-play,2,100,300,0,0.0,600,0,0.0,0
uct-3000-self-play,3,100,140,160,0.533333,740,160,0.177778,81
uct-3000-self-play,4,100,176,124,0.413333,916,284,0.236667,56
uct-3000-self-play,5,100,128,172,0.573333,1044,456,0.304,80
uct-3000-self-play,6,100,137,163,0.543333,1181,619,0.343889,69
uct-3000-self-play,7,100,120,180,0.6,1301,799,0.380476,78
uct-3000-self-play,8,100,109,191,0.636667,1410,990,0.4125,73
uct-3000-self-play,9,100,112,188,0.626667,1522,1178,0.436296,91
uct-3000-self-play,10,100,94,206,0.686667,1616,1384,0.461333,87
uct-3000-self-play,11,100,104,196,0.653333,1720,1580,0.478788,87
uct-3000-self-play,12,100,84,216,0.72,1804,1796,0.498889,104
uct-3000-self-play,13,100,93,207,0.69,1897,2003,0.51359,89
uct-3000-self-play,14,100,82,218,0.726667,1979,2221,0.52881,98
uct-3000-self-play,15,100,96,204,0.68,2075,2425,0.538889,86
uct-3000-self-play,16,100,99,201,0.67,2174,2626,0.547083,98
uct-3000-self-play,17,100,111,189,0.63,2285,2815,0.551961,72
uct-3000-self-play,18,100,121,179,0.596667,2406,2994,0.554444,97
uct-3000-self-play,19,100,129,171,0.57,2535,3165,0.555263,54
uct-3000-self-play,20,100,151,149,0.496667,2686,3314,0.552333,76
uct-3000-self-play,21,100,161,139,0.463333,2847,3453,0.548095,49
uct-3000-self-play,22,100,156,144,0.48,3003,3597,0.545,62
uct-3000-self-play,23,100,198,102,0.34,3201,3699,0.536087,36
uct-3000-self-play,24,100,209,91,0.303333,3410,3790,0.526389,30
