experiment_id,turn_number,games,mean_secured_objective_difference,mean_advantage_objective_difference,mean_objective_piece_difference,mean_secured_supply_difference,mean_unsecured_controlled_supply_difference,mean_supply_source_usage_difference,mean_primary_important_control_difference
uct-10000-self-play,1,100,0,0,0,0,3,0,1.74
uct-10000-self-play,2,100,0,0,0,0,0,0,-0.01
uct-10000-self-play,3,100,0.01,1.06,1.34,0.03,1.63,1.34,0.94
uct-10000-self-play,4,100,0.01,0.25,0.37,-0.13,-0.24,0.37,-0.23
uct-10000-self-play,5,100,0.29,0.46,1.79,-0.02,1.23,1.79,0.71
uct-10000-self-play,6,100,0.21,-0.11,0.52,-0.21,-0.31,0.52,-0.37
uct-10000-self-play,7,100,0.62,0.03,1.86,0.07,1.07,1.86,0.63
uct-10000-self-play,8,100,0.24,-0.15,0.49,-0.28,-0.21,0.49,-0.39
uct-10000-self-play,9,100,0.77,-0.13,1.98,0,1.02,1.98,0.42
uct-10000-self-play,10,100,0.34,-0.33,0.32,-0.38,0.06,0.32,-0.21
uct-10000-self-play,11,100,0.88,-0.01,2.25,-0.24,0.99,2.25,0.26
uct-10000-self-play,12,100,0.17,0.07,0.25,-0.42,0.17,0.25,-0.21
uct-10000-self-play,13,100,0.71,0.34,2.27,-0.29,1.01,2.27,0.16
uct-10000-self-play,14,100,0.1,0.07,0.29,-0.4,0.1,0.29,-0.16
uct-10000-self-play,15,100,0.55,0.38,2.17,-0.2,1.02,2.17,0.16
uct-10000-self-play,16,100,-0.03,0.16,0.22,-0.35,0.12,0.22,-0.14
uct-10000-self-play,17,100,0.66,0.22,2.17,-0.23,1.05,2.17,0.15
uct-10000-self-play,18,100,0.09,0,0.31,-0.39,0.07,0.31,-0.28
uct-10000-self-play,19,100,0.61,0.34,2.08,-0.27,1.18,2.08,0.14
uct-10000-self-play,20,100,0.02,0.14,0.29,-0.47,0.17,0.29,-0.26
uct-10000-self-play,21,100,0.47,0.56,2.01,-0.4,1.37,2.01,0.09
uct-10000-self-play,22,100,-0.05,0.51,0.55,-0.51,-0.05,0.55,-0.32
uct-10000-self-play,23,100,0.36,0.64,1.73,-0.44,1.57,1.73,-0.02
uct-10000-self-play,24,100,0.05,0.61,0.96,-0.57,-0.35,0.96,-0.33
uct-3000-self-play,1,100,0,0,0,0,2.99,0,1.41
uct-3000-self-play,2,100,0,0,0,0,0.01,0,0.03
uct-3000-self-play,3,100,0.01,1.33,1.6,0.01,1.36,1.6,0.77
uct-3000-self-play,4,100,0.01,0.23,0.36,-0.01,-0.36,0.36,-0.16
uct-3000-self-play,5,100,0.28,0.72,2.08,0.03,0.87,2.08,0.55
uct-3000-self-play,6,100,0.17,-0.1,0.45,-0.04,-0.42,0.45,-0.07
uct-3000-self-play,7,100,0.74,0,2.25,0.04,0.69,2.25,0.49
uct-3000-self-play,8,100,0.22,-0.16,0.34,-0.07,-0.29,0.34,-0.12
uct-3000-self-play,9,100,0.9,-0.22,2.22,-0.02,0.77,2.22,0.34
uct-3000-self-play,10,100,0.16,-0.13,0.16,-0.19,0,0.16,-0.18
uct-3000-self-play,11,100,0.85,0.03,2.12,-0.11,0.95,2.12,0.19
uct-3000-self-play,12,100,0.22,-0.32,-0.04,-0.19,0.2,-0.04,-0.22
uct-3000-self-play,13,100,0.87,-0.23,2.03,-0.11,1.05,2.03,0.19
uct-3000-self-play,14,100,0.3,-0.61,-0.15,-0.26,0.41,-0.15,-0.19
uct-3000-self-play,15,100,0.91,-0.27,1.89,-0.24,1.35,1.89,0.13
uct-3000-self-play,16,100,0.26,-0.27,-0.12,-0.41,0.53,-0.12,-0.25
uct-3000-self-play,17,100,0.76,0.06,1.77,-0.32,1.54,1.77,0.11
uct-3000-self-play,18,100,0.05,0.07,-0.02,-0.48,0.49,-0.02,-0.3
uct-3000-self-play,19,100,0.49,0.54,1.69,-0.43,1.71,1.69,0.1
uct-3000-self-play,20,100,0.08,0.19,0.2,-0.74,0.52,0.2,-0.35
uct-3000-self-play,21,100,0.43,0.55,1.59,-0.57,1.9,1.59,0.04
uct-3000-self-play,22,100,-0.14,0.43,0.15,-0.76,0.58,0.15,-0.2
uct-3000-self-play,23,100,0.17,0.69,1.17,-0.62,2.14,1.17,0.07
uct-3000-self-play,24,100,-0.16,0.59,0.26,-0.83,0.56,0.26,-0.18
