experiment_id,checkpoint_turn,checkpoint_decisive_layer,margin_tier,games,lead_preserved,reversals,eventual_draws,reversal_rate
uct-10000-self-play,8,advantage_objectives,large,1,0,1,0,1.0
uct-10000-self-play,8,advantage_objectives,narrow,19,9,7,3,0.368421
uct-10000-self-play,8,objective_pieces,narrow,14,8,5,1,0.357143
uct-10000-self-play,8,secured_objectives,narrow,50,19,25,6,0.5
uct-10000-self-play,12,advantage_objectives,narrow,25,9,12,4,0.48
uct-10000-self-play,12,objective_pieces,narrow,7,3,3,1,0.428571
uct-10000-self-play,12,secured_objectives,large,7,5,2,0,0.285714
uct-10000-self-play,12,secured_objectives,narrow,43,18,20,5,0.465116
uct-10000-self-play,16,advantage_objectives,large,3,2,1,0,0.333333
uct-10000-self-play,16,advantage_objectives,narrow,21,10,9,2,0.428571
uct-10000-self-play,16,objective_pieces,narrow,4,2,2,0,0.5
uct-10000-self-play,16,secured_objectives,large,7,6,1,0,0.142857
uct-10000-self-play,16,secured_objectives,narrow,53,21,26,6,0.490566
uct-10000-self-play,20,advantage_objectives,large,10,8,2,0,0.2
uct-10000-self-play,20,advantage_objectives,narrow,19,9,7,3,0.368421
uct-10000-self-play,20,objective_pieces,large,3,0,3,0,1.0
uct-10000-self-play,20,objective_pieces,narrow,4,1,3,0,0.75
uct-10000-self-play,20,secured_objectives,large,3,2,0,1,0.0
uct-10000-self-play,20,secured_objectives,narrow,52,25,21,6,0.403846
uct-3000-self-play,8,advantage_objectives,large,6,5,1,0,0.166667
uct-3000-self-play,8,advantage_objectives,narrow,23,11,12,0,0.521739
uct-3000-self-play,8,objective_pieces,narrow,9,2,7,0,0.777778
uct-3000-self-play,8,secured_objectives,large,5,2,3,0,0.6
uct-3000-self-play,8,secured_objectives,narrow,48,19,25,4,0.520833
uct-3000-self-play,12,advantage_objectives,large,3,2,1,0,0.333333
uct-3000-self-play,12,advantage_objectives,narrow,26,12,12,2,0.461538
uct-3000-self-play,12,objective_pieces,narrow,8,4,4,0,0.5
uct-3000-self-play,12,secured_objectives,large,11,5,6,0,0.545455
uct-3000-self-play,12,secured_objectives,narrow,39,20,17,2,0.435897
uct-3000-self-play,16,advantage_objectives,large,7,4,3,0,0.428571
uct-3000-self-play,16,advantage_objectives,narrow,25,12,12,1,0.48
uct-3000-self-play,16,objective_pieces,large,2,2,0,0,0.0
uct-3000-self-play,16,objective_pieces,narrow,7,4,2,1,0.285714
uct-3000-self-play,16,secured_objectives,large,9,1,8,0,0.888889
uct-3000-self-play,16,secured_objectives,narrow,42,25,16,1,0.380952
uct-3000-self-play,20,advantage_objectives,large,16,10,6,0,0.375
uct-3000-self-play,20,advantage_objectives,narrow,30,16,11,3,0.366667
uct-3000-self-play,20,objective_pieces,large,4,2,1,1,0.25
uct-3000-self-play,20,objective_pieces,narrow,7,3,4,0,0.571429
uct-3000-self-play,20,secured_objectives,large,3,2,1,0,0.333333
uct-3000-self-play,20,secured_objectives,narrow,36,17,19,0,0.527778
