experiment_id,checkpoint_turn,cohort,games,mean_checkpoint_secured_objectives_checkpoint_leader_relative,mean_checkpoint_advantage_objectives_checkpoint_leader_relative,mean_checkpoint_objective_pieces_checkpoint_leader_relative,mean_checkpoint_usable_supply_support_edges_checkpoint_leader_relative
uct-10000-self-play,8,eventual_draw,10,0.6,-0.5,0.7,-3.4
uct-10000-self-play,8,lead_preserved,36,0.527778,-0.583333,0.472222,-2.472222
uct-10000-self-play,8,reversal,38,0.657895,-0.605263,0.657895,-3.026316
uct-10000-self-play,8,tied_at_checkpoint,16,,,,
uct-10000-self-play,12,eventual_draw,10,0.5,-0.3,0.6,-2.6
uct-10000-self-play,12,lead_preserved,35,0.8,-0.628571,0.4,-2.228571
uct-10000-self-play,12,reversal,37,0.648649,-0.540541,0.351351,-2.135135
uct-10000-self-play,12,tied_at_checkpoint,18,,,,
uct-10000-self-play,16,eventual_draw,8,0.75,-0.375,0.5,-0.125
uct-10000-self-play,16,lead_preserved,41,0.804878,-0.707317,0.146341,-0.707317
uct-10000-self-play,16,reversal,39,0.717949,-0.615385,0.153846,-1.410256
uct-10000-self-play,16,tied_at_checkpoint,12,,,,
uct-10000-self-play,20,eventual_draw,10,0.8,-0.7,0.7,-1.3
uct-10000-self-play,20,lead_preserved,45,0.644444,-0.044444,0.355556,-0.688889
uct-10000-self-play,20,reversal,36,0.583333,-0.638889,0.222222,-1.027778
uct-10000-self-play,20,tied_at_checkpoint,9,,,,
uct-3000-self-play,8,eventual_draw,4,1.0,-1.75,0.0,-3.5
uct-3000-self-play,8,lead_preserved,39,0.589744,-0.25641,0.794872,-2.923077
uct-3000-self-play,8,reversal,48,0.645833,-0.5625,0.729167,-2.979167
uct-3000-self-play,8,tied_at_checkpoint,9,,,,
uct-3000-self-play,12,eventual_draw,4,0.5,-0.5,0.5,-0.25
uct-3000-self-play,12,lead_preserved,43,0.697674,-0.627907,0.627907,-1.767442
uct-3000-self-play,12,reversal,40,0.75,-0.575,0.675,-2.8
uct-3000-self-play,12,tied_at_checkpoint,13,,,,
uct-3000-self-play,16,eventual_draw,3,0.333333,-0.333333,0.666667,-0.666667
uct-3000-self-play,16,lead_preserved,48,0.5625,-0.458333,0.354167,0.208333
uct-3000-self-play,16,reversal,41,0.780488,-0.536585,0.268293,-1.902439
uct-3000-self-play,16,tied_at_checkpoint,8,,,,
uct-3000-self-play,20,eventual_draw,4,0.0,0.75,0.75,-1.75
uct-3000-self-play,20,lead_preserved,50,0.42,0.12,0.42,0.24
uct-3000-self-play,20,reversal,42,0.5,-0.142857,0.428571,-1.595238
uct-3000-self-play,20,tied_at_checkpoint,4,,,,
