experiment_id,checkpoint_turn,mechanism,reversal_games,flagged_games,share
uct-10000-self-play,8,mechanism_secured_objective_reversal,38,38,1.0
uct-10000-self-play,8,mechanism_advantage_conversion_reversal,38,29,0.763158
uct-10000-self-play,8,mechanism_objective_piece_tiebreak_reversal,38,12,0.315789
uct-10000-self-play,8,mechanism_supply_degradation,38,18,0.473684
uct-10000-self-play,8,mechanism_supply_reinvestment,38,18,0.473684
uct-10000-self-play,8,mechanism_mixed,38,34,0.894737
uct-10000-self-play,12,mechanism_secured_objective_reversal,37,37,1.0
uct-10000-self-play,12,mechanism_advantage_conversion_reversal,37,25,0.675676
uct-10000-self-play,12,mechanism_objective_piece_tiebreak_reversal,37,7,0.189189
uct-10000-self-play,12,mechanism_supply_degradation,37,19,0.513514
uct-10000-self-play,12,mechanism_supply_reinvestment,37,10,0.27027
uct-10000-self-play,12,mechanism_mixed,37,32,0.864865
uct-10000-self-play,16,mechanism_secured_objective_reversal,39,39,1.0
uct-10000-self-play,16,mechanism_advantage_conversion_reversal,39,18,0.461538
uct-10000-self-play,16,mechanism_objective_piece_tiebreak_reversal,39,7,0.179487
uct-10000-self-play,16,mechanism_supply_degradation,39,22,0.564103
uct-10000-self-play,16,mechanism_supply_reinvestment,39,13,0.333333
uct-10000-self-play,16,mechanism_mixed,39,33,0.846154
uct-10000-self-play,20,mechanism_secured_objective_reversal,36,33,0.916667
uct-10000-self-play,20,mechanism_advantage_conversion_reversal,36,9,0.25
uct-10000-self-play,20,mechanism_objective_piece_tiebreak_reversal,36,4,0.111111
uct-10000-self-play,20,mechanism_supply_degradation,36,19,0.527778
uct-10000-self-play,20,mechanism_supply_reinvestment,36,16,0.444444
uct-10000-self-play,20,mechanism_mixed,36,29,0.805556
uct-3000-self-play,8,mechanism_secured_objective_reversal,48,48,1.0
uct-3000-self-play,8,mechanism_advantage_conversion_reversal,48,40,0.833333
uct-3000-self-play,8,mechanism_objective_piece_tiebreak_reversal,48,9,0.1875
uct-3000-self-play,8,mechanism_supply_degradation,48,23,0.479167
uct-3000-self-play,8,mechanism_supply_reinvestment,48,21,0.4375
uct-3000-self-play,8,mechanism_mixed,48,45,0.9375
uct-3000-self-play,12,mechanism_secured_objective_reversal,40,39,0.975
uct-3000-self-play,12,mechanism_advantage_conversion_reversal,40,30,0.75
uct-3000-self-play,12,mechanism_objective_piece_tiebreak_reversal,40,9,0.225
uct-3000-self-play,12,mechanism_supply_degradation,40,23,0.575
uct-3000-self-play,12,mechanism_supply_reinvestment,40,17,0.425
uct-3000-self-play,12,mechanism_mixed,40,37,0.925
uct-3000-self-play,16,mechanism_secured_objective_reversal,41,41,1.0
uct-3000-self-play,16,mechanism_advantage_conversion_reversal,41,28,0.682927
uct-3000-self-play,16,mechanism_objective_piece_tiebreak_reversal,41,7,0.170732
uct-3000-self-play,16,mechanism_supply_degradation,41,21,0.512195
uct-3000-self-play,16,mechanism_supply_reinvestment,41,21,0.512195
uct-3000-self-play,16,mechanism_mixed,41,38,0.926829
uct-3000-self-play,20,mechanism_secured_objective_reversal,42,39,0.928571
uct-3000-self-play,20,mechanism_advantage_conversion_reversal,42,16,0.380952
uct-3000-self-play,20,mechanism_objective_piece_tiebreak_reversal,42,5,0.119048
uct-3000-self-play,20,mechanism_supply_degradation,42,25,0.595238
uct-3000-self-play,20,mechanism_supply_reinvestment,42,27,0.642857
uct-3000-self-play,20,mechanism_mixed,42,40,0.952381
