experiment_id,checkpoint_turn,model_name,feature_group,eligible_games,reversals,lead_preserved,feature_count_configured,l2_regularization_coefficient,standardization_policy,zero_variance_handling,oof_roc_auc,fold_mean_roc_auc,fold_std_roc_auc,oof_balanced_accuracy,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,oof_average_precision,fold_mean_average_precision,fold_std_average_precision
uct-10000-self-play,8,majority_class,baseline,74,38,36,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.513514,0.513333,0.018257
uct-10000-self-play,8,decisive_margin_only,baseline,74,38,36,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.483918,0.5,0.0,0.5,0.5,0.0,0.504629,0.513333,0.018257
uct-10000-self-play,8,current_objective_state,baseline,74,38,36,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.54386,0.558673,0.122286,0.540936,0.5375,0.073193,0.59686,0.603545,0.132797
uct-10000-self-play,12,majority_class,baseline,72,37,35,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.513889,0.513333,0.018257
uct-10000-self-play,12,decisive_margin_only,baseline,72,37,35,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.500386,0.542857,0.108327,0.501544,0.5,0.050508,0.509893,0.541805,0.060441
uct-10000-self-play,12,current_objective_state,baseline,72,37,35,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.394208,0.371939,0.131029,0.437838,0.441071,0.143914,0.470083,0.491465,0.061165
uct-10000-self-play,16,majority_class,baseline,80,39,41,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.4875,0.487451,0.017239
uct-10000-self-play,16,decisive_margin_only,baseline,80,39,41,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.525016,0.570833,0.123779,0.57192,0.570833,0.123779,0.497035,0.533571,0.053627
uct-10000-self-play,16,current_objective_state,baseline,80,39,41,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.406817,0.414707,0.1082,0.393996,0.391667,0.051875,0.439367,0.465595,0.060326
uct-10000-self-play,20,majority_class,baseline,81,36,45,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.444444,0.444118,0.014798
uct-10000-self-play,20,decisive_margin_only,baseline,81,36,45,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.504938,0.539683,0.074239,0.5,0.5,0.0,0.44559,0.468359,0.058715
uct-10000-self-play,20,current_objective_state,baseline,81,36,45,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.629938,0.663095,0.155196,0.505556,0.506151,0.100938,0.516868,0.626523,0.160613
uct-3000-self-play,8,majority_class,baseline,87,48,39,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.551724,0.551716,0.012826
uct-3000-self-play,8,decisive_margin_only,baseline,87,48,39,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.528846,0.547063,0.055605,0.548077,0.547063,0.055605,0.56473,0.577837,0.021828
uct-3000-self-play,8,current_objective_state,baseline,87,48,39,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.435096,0.445298,0.097365,0.507212,0.508175,0.011649,0.5032,0.570268,0.067074
uct-3000-self-play,12,majority_class,baseline,83,40,43,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.481928,0.482353,0.016109
uct-3000-self-play,12,decisive_margin_only,baseline,83,40,43,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.472674,0.507465,0.053439,0.481105,0.477778,0.030823,0.47728,0.515392,0.03933
uct-3000-self-play,12,current_objective_state,baseline,83,40,43,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.413663,0.391667,0.108918,0.484593,0.4875,0.052521,0.481182,0.489624,0.057722
uct-3000-self-play,16,majority_class,baseline,89,41,48,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.460674,0.46075,0.014938
uct-3000-self-play,16,decisive_margin_only,baseline,89,41,48,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.49873,0.5625,0.143805,0.510671,0.511111,0.094358,0.464427,0.534567,0.113284
uct-3000-self-play,16,current_objective_state,baseline,89,41,48,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.517785,0.520278,0.12489,0.55437,0.559722,0.124144,0.495398,0.573292,0.150153
uct-3000-self-play,20,majority_class,baseline,92,42,50,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.456522,0.45614,0.016015
uct-3000-self-play,20,decisive_margin_only,baseline,92,42,50,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.485714,0.554028,0.127997,0.5,0.5,0.0,0.445187,0.495855,0.077221
uct-3000-self-play,20,current_objective_state,baseline,92,42,50,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.412143,0.402639,0.081286,0.427619,0.428611,0.082575,0.392567,0.421905,0.042492
