experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,8,leader_secured_objective_margin,38,36,0.657895,1.0,0.527778,1.0,0.263738,higher_in_reversal,0.263738
uct-10000-self-play,8,leader_advantage_objective_margin,38,36,-0.605263,-1.0,-0.583333,-1.0,-0.01844,lower_in_reversal,0.01844
uct-10000-self-play,8,leader_objective_piece_margin,38,36,0.657895,1.0,0.472222,1.0,0.244489,higher_in_reversal,0.244489
uct-10000-self-play,8,live_objectives,38,36,14.868421,15.0,14.916667,15.0,-0.052376,lower_in_reversal,0.052376
uct-10000-self-play,8,leader_secured_objectives,38,36,0.894737,1.0,0.805556,1.0,0.164282,higher_in_reversal,0.164282
uct-10000-self-play,8,opponent_secured_objectives,38,36,0.236842,0.0,0.277778,0.0,-0.081666,lower_in_reversal,0.081666
uct-10000-self-play,8,leader_advantage_objectives,38,36,1.078947,1.0,0.805556,1.0,0.356253,higher_in_reversal,0.356253
uct-10000-self-play,8,opponent_advantage_objectives,38,36,1.684211,2.0,1.388889,1.0,0.344972,higher_in_reversal,0.344972
uct-10000-self-play,8,leader_objective_pieces,38,36,4.263158,4.0,3.833333,3.0,0.347164,higher_in_reversal,0.347164
uct-10000-self-play,8,opponent_objective_pieces,38,36,3.605263,3.0,3.361111,3.0,0.171818,higher_in_reversal,0.171818
uct-10000-self-play,8,decisive_margin,38,36,1.026316,1.0,1.0,1.0,0.226294,higher_in_reversal,0.226294
uct-10000-self-play,8,decisive_layer_secured_objectives,38,36,0.657895,1.0,0.527778,1.0,0.263738,higher_in_reversal,0.263738
uct-10000-self-play,8,decisive_layer_advantage_objectives,38,36,0.210526,0.0,0.25,0.0,-0.092663,lower_in_reversal,0.092663
uct-10000-self-play,8,decisive_layer_objective_pieces,38,36,0.131579,0.0,0.222222,0.0,-0.236636,lower_in_reversal,0.236636
uct-10000-self-play,8,leader_secured_supply,38,36,0.394737,0.0,0.694444,1.0,-0.458848,lower_in_reversal,0.458848
uct-10000-self-play,8,opponent_secured_supply,38,36,0.763158,1.0,0.444444,0.0,0.495758,higher_in_reversal,0.495758
uct-10000-self-play,8,leader_secured_supply_margin,38,36,-0.368421,0.0,0.25,0.0,-0.638267,lower_in_reversal,0.638267
uct-10000-self-play,8,leader_unsecured_controlled_supply,38,36,1.657895,2.0,1.25,1.0,0.36222,higher_in_reversal,0.36222
uct-10000-self-play,8,opponent_unsecured_controlled_supply,38,36,1.947368,2.0,1.972222,2.0,-0.022627,lower_in_reversal,0.022627
uct-10000-self-play,8,leader_unsecured_controlled_supply_margin,38,36,-0.289474,0.0,-0.722222,-1.0,0.365308,higher_in_reversal,0.365308
uct-10000-self-play,8,contested_supply_count,38,36,4.210526,4.0,4.694444,5.0,-0.402732,lower_in_reversal,0.402732
uct-10000-self-play,8,leader_usable_supply_support_edges,38,36,6.5,6.0,6.138889,6.0,0.117868,higher_in_reversal,0.117868
uct-10000-self-play,8,opponent_usable_supply_support_edges,38,36,9.526316,10.0,8.611111,9.5,0.285856,higher_in_reversal,0.285856
uct-10000-self-play,8,leader_usable_supply_support_edge_margin,38,36,-3.026316,-4.0,-2.472222,-4.0,-0.181377,lower_in_reversal,0.181377
uct-10000-self-play,8,leader_primary_important_sites_controlled,38,36,1.184211,1.0,1.055556,1.0,0.151974,higher_in_reversal,0.151974
uct-10000-self-play,8,opponent_primary_important_sites_controlled,38,36,1.368421,1.0,1.472222,1.5,-0.10857,lower_in_reversal,0.10857
uct-10000-self-play,8,leader_primary_important_control_margin,38,36,-0.184211,0.0,-0.416667,-1.0,0.165257,higher_in_reversal,0.165257
uct-10000-self-play,8,leader_cumulative_supply_source_usage,38,36,4.263158,4.0,3.833333,3.0,0.347164,higher_in_reversal,0.347164
uct-10000-self-play,8,opponent_cumulative_supply_source_usage,38,36,3.605263,3.0,3.361111,3.0,0.171818,higher_in_reversal,0.171818
