checkpoint_turn,feature,uct_10000_standardized_mean_difference,uct_3000_standardized_mean_difference,direction_agreement,uct_10000_direction,uct_3000_direction
8,S12_leader_relative_state,-0.265188,-0.193279,1,lower_in_reversal,lower_in_reversal
8,S13_leader_relative_state,-0.37102,0.07136,0,lower_in_reversal,higher_in_reversal
8,S21_leader_relative_state,0.402065,-0.305012,0,higher_in_reversal,lower_in_reversal
8,S22_leader_relative_state,0.236893,0.211324,1,higher_in_reversal,higher_in_reversal
8,S23_leader_relative_state,-0.004401,0.006843,0,lower_in_reversal,higher_in_reversal
8,contested_supply_count,-0.402732,0.049162,0,lower_in_reversal,higher_in_reversal
8,decisive_layer_advantage_objectives,-0.092663,-0.295556,1,lower_in_reversal,lower_in_reversal
8,decisive_layer_objective_pieces,-0.236636,0.310604,0,lower_in_reversal,higher_in_reversal
8,decisive_layer_secured_objectives,0.263738,0.089514,1,higher_in_reversal,higher_in_reversal
8,decisive_margin,0.226294,-0.288985,0,higher_in_reversal,lower_in_reversal
8,leader_advantage_objective_margin,-0.01844,-0.204061,1,lower_in_reversal,lower_in_reversal
8,leader_advantage_objectives,0.356253,-0.080576,0,higher_in_reversal,lower_in_reversal
8,leader_cumulative_objective_placements,0.347164,-0.033274,0,higher_in_reversal,lower_in_reversal
8,leader_cumulative_objective_share,0.347164,-0.033274,0,higher_in_reversal,lower_in_reversal
8,leader_cumulative_objective_share_margin,0.244489,-0.064635,0,higher_in_reversal,lower_in_reversal
8,leader_cumulative_supply_placements,-0.347164,0.033274,0,lower_in_reversal,higher_in_reversal
8,leader_cumulative_supply_source_usage,0.347164,-0.033274,0,higher_in_reversal,lower_in_reversal
8,leader_cumulative_supply_source_usage_margin,0.244489,-0.064635,0,higher_in_reversal,lower_in_reversal
8,leader_objective_piece_margin,0.244489,-0.064635,0,higher_in_reversal,lower_in_reversal
8,leader_objective_pieces,0.347164,-0.033274,0,higher_in_reversal,lower_in_reversal
8,leader_primary_important_control_margin,0.165257,-0.131352,0,higher_in_reversal,lower_in_reversal
8,leader_primary_important_sites_controlled,0.151974,-0.159917,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_all_objective_turn_margin,0.146643,-0.05052,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_all_supply_turn_margin,-0.499976,0.306558,0,lower_in_reversal,higher_in_reversal
8,leader_recent_2_important_site_usage,0.286384,-0.107383,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_important_site_usage_margin,0.295264,-0.220767,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_mixed_turn_margin,0.348707,-0.092492,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_objective_placements,0.521228,-0.236576,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_objective_share_margin,0.520091,-0.292403,0,higher_in_reversal,lower_in_reversal
8,leader_recent_2_supply_placements,-0.521228,0.236576,0,lower_in_reversal,higher_in_reversal
8,leader_recent_2_supply_source_usage_margin,0.520091,-0.292403,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_all_objective_turn_margin,0.105703,-0.139009,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_all_supply_turn_margin,-0.398261,0.408058,0,lower_in_reversal,higher_in_reversal
8,leader_recent_4_important_site_usage,0.306741,-0.06455,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_important_site_usage_margin,0.219319,-0.137072,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_mixed_turn_margin,0.297379,-0.093399,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_objective_allocation_change_margin,0.344088,-0.210037,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_objective_placement_margin,0.246537,-0.210436,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_objective_placements,0.342134,-0.201852,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_objective_share_margin,0.246537,-0.210436,0,higher_in_reversal,lower_in_reversal
8,leader_recent_4_supply_allocation_change,-0.378245,0.131984,0,lower_in_reversal,higher_in_reversal
8,leader_recent_4_supply_allocation_change_margin,-0.344088,0.210037,0,lower_in_reversal,higher_in_reversal
8,leader_recent_4_supply_placements,-0.342134,0.201852,0,lower_in_reversal,higher_in_reversal
8,leader_recent_4_supply_source_usage_margin,0.246537,-0.210436,0,higher_in_reversal,lower_in_reversal
8,leader_secured_objective_margin,0.263738,0.093767,1,higher_in_reversal,higher_in_reversal
8,leader_secured_objectives,0.164282,-0.041168,0,higher_in_reversal,lower_in_reversal
8,leader_secured_supply,-0.458848,-0.151507,1,lower_in_reversal,lower_in_reversal
8,leader_secured_supply_margin,-0.638267,-0.245465,1,lower_in_reversal,lower_in_reversal
8,leader_trend_2_advantage_objective_margin,-0.226874,-0.173701,1,lower_in_reversal,lower_in_reversal
8,leader_trend_2_important_control_margin,0.229591,0.034241,1,higher_in_reversal,higher_in_reversal
8,leader_trend_2_objective_piece_margin,0.520091,-0.292403,0,higher_in_reversal,lower_in_reversal
8,leader_trend_2_secured_objective_margin,0.513636,-0.071051,0,higher_in_reversal,lower_in_reversal
8,leader_trend_2_secured_supply_margin,-0.580092,-0.16098,1,lower_in_reversal,lower_in_reversal
8,leader_trend_2_support_edge_margin,-0.394287,0.372842,0,lower_in_reversal,higher_in_reversal
8,leader_trend_2_unsecured_control_margin,0.206284,0.3508,1,higher_in_reversal,higher_in_reversal
8,leader_trend_2_usable_support_edges,-0.411759,0.108265,0,lower_in_reversal,higher_in_reversal
8,leader_trend_4_advantage_objective_margin,-0.084961,-0.253393,1,lower_in_reversal,lower_in_reversal
8,leader_trend_4_important_control_margin,0.048702,0.117053,1,higher_in_reversal,higher_in_reversal
8,leader_trend_4_objective_piece_margin,0.246537,-0.210436,0,higher_in_reversal,lower_in_reversal
8,leader_trend_4_secured_objective_margin,0.263738,0.051074,1,higher_in_reversal,higher_in_reversal
8,leader_trend_4_secured_supply_margin,-0.658506,-0.107151,1,lower_in_reversal,lower_in_reversal
8,leader_trend_4_support_edge_margin,-0.134439,0.212189,0,lower_in_reversal,higher_in_reversal
8,leader_trend_4_unsecured_control_margin,0.36237,0.235276,1,higher_in_reversal,higher_in_reversal
8,leader_trend_4_usable_support_edges,0.001822,-0.200657,0,higher_in_reversal,lower_in_reversal
8,leader_unsecured_controlled_supply,0.36222,-0.085771,0,higher_in_reversal,lower_in_reversal
8,leader_unsecured_controlled_supply_margin,0.365308,0.117431,1,higher_in_reversal,higher_in_reversal
8,leader_usable_supply_support_edge_margin,-0.181377,-0.013822,1,lower_in_reversal,lower_in_reversal
8,leader_usable_supply_support_edges,0.117868,-0.189529,0,higher_in_reversal,lower_in_reversal
8,live_objectives,-0.052376,0.10758,0,lower_in_reversal,higher_in_reversal
8,opponent_advantage_objectives,0.344972,0.222346,1,higher_in_reversal,higher_in_reversal
8,opponent_cumulative_objective_placements,0.171818,0.008789,1,higher_in_reversal,higher_in_reversal
8,opponent_cumulative_objective_share,0.171818,0.008789,1,higher_in_reversal,higher_in_reversal
8,opponent_cumulative_supply_placements,-0.171818,-0.008789,1,lower_in_reversal,lower_in_reversal
8,opponent_cumulative_supply_source_usage,0.171818,0.008789,1,higher_in_reversal,higher_in_reversal
8,opponent_objective_pieces,0.171818,0.008789,1,higher_in_reversal,higher_in_reversal
8,opponent_primary_important_sites_controlled,-0.10857,0.057907,0,lower_in_reversal,higher_in_reversal
8,opponent_recent_2_important_site_usage,-0.093859,0.223126,0,lower_in_reversal,higher_in_reversal
8,opponent_recent_2_objective_placements,0.110289,0.077763,1,higher_in_reversal,higher_in_reversal
8,opponent_recent_2_supply_placements,-0.110289,-0.077763,1,lower_in_reversal,lower_in_reversal
8,opponent_recent_4_important_site_usage,0.014893,0.145806,1,higher_in_reversal,higher_in_reversal
8,opponent_recent_4_objective_placements,0.164184,-0.035305,0,higher_in_reversal,lower_in_reversal
8,opponent_recent_4_supply_allocation_change,0.002509,-0.14979,0,higher_in_reversal,lower_in_reversal
8,opponent_recent_4_supply_placements,-0.164184,0.035305,0,lower_in_reversal,higher_in_reversal
8,opponent_secured_objectives,-0.081666,-0.15202,1,lower_in_reversal,lower_in_reversal
8,opponent_secured_supply,0.495758,0.183116,1,higher_in_reversal,higher_in_reversal
8,opponent_trend_2_usable_support_edges,-0.078229,-0.30305,1,lower_in_reversal,lower_in_reversal
8,opponent_trend_4_usable_support_edges,0.128621,-0.381458,0,higher_in_reversal,lower_in_reversal
8,opponent_unsecured_controlled_supply,-0.022627,-0.208837,1,lower_in_reversal,lower_in_reversal
8,opponent_usable_supply_support_edges,0.285856,-0.176395,0,higher_in_reversal,lower_in_reversal
12,S12_leader_relative_state,-0.305775,-0.112265,1,lower_in_reversal,lower_in_reversal
12,S13_leader_relative_state,-0.314769,0.213431,0,lower_in_reversal,higher_in_reversal
12,S21_leader_relative_state,0.191537,-0.375416,0,higher_in_reversal,lower_in_reversal
12,S22_leader_relative_state,0.198104,0.24681,1,higher_in_reversal,higher_in_reversal
12,S23_leader_relative_state,0.089002,-0.198043,0,higher_in_reversal,lower_in_reversal
12,contested_supply_count,-0.094021,-0.280615,1,lower_in_reversal,lower_in_reversal
12,decisive_layer_advantage_objectives,0.146136,-0.001226,0,higher_in_reversal,lower_in_reversal
