experiment_id,game_index,seed,black_agent,white_agent,iteration_limit,max_seconds_per_move,completed,end_type,winner,moves,turns,p1_score,p2_score,p1_total_pieces,p2_total_pieces,p1_supply_pieces,p2_supply_pieces,p1_objective_pieces,p2_objective_pieces,p1_secured_supply,p2_secured_supply,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,deciding_criterion,final_board,trial_file
uct-10000-self-play,1,320100,UCT,UCT,10000,-1.0,true,NaturalEnd,1,72,24,3201,2569,36,36,17,20,19,16,3,2,5,4,1,1,secured_objectives,S00:0:0:0|S01:2:0:1|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:4:2:3|S12:2:1:2|S13:3:3:2|S14:0:1:1|S20:0:0:0|S21:0:2:2|S22:3:3:2|S23:4:2:3|S24:0:0:0|S30:2:0:2|S31:3:3:2|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:4:0:3|O02:3:3:0|O03:1:1:0|O10:0:0:0|O11:4:0:3|O12:3:3:0|O13:3:3:0|O20:0:2:2|O21:4:0:3|O22:2:1:2|O23:4:0:3|O30:3:3:0|O31:3:3:0|O32:0:0:0|O33:0:0:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0001.trl
uct-10000-self-play,2,320101,UCT,UCT,10000,-1.0,true,NaturalEnd,1,72,24,3275,2645,36,36,17,18,19,18,3,3,5,4,3,3,secured_objectives,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:1:1:0|S12:4:2:3|S13:2:1:2|S14:0:0:0|S20:0:0:0|S21:4:2:3|S22:3:3:2|S23:3:3:2|S24:0:0:0|S30:0:0:0|S31:4:2:3|S32:2:0:1|S33:3:3:2|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:1:1:0|O01:2:0:2|O02:4:0:3|O03:0:0:0|O10:2:0:2|O11:4:0:3|O12:3:3:0|O13:3:3:0|O20:4:0:3|O21:3:3:0|O22:3:3:0|O23:3:3:0|O30:4:0:3|O31:2:0:1|O32:1:1:0|O33:1:2:1,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0002.trl
uct-10000-self-play,3,320102,UCT,UCT,10000,-1.0,true,NaturalEnd,0,72,24,3830,3830,36,36,17,17,19,19,0,2,6,6,1,1,draw,S00:0:0:0|S01:0:0:0|S02:1:1:0|S03:1:1:0|S04:0:0:0|S10:0:0:0|S11:0:1:1|S12:0:1:1|S13:0:2:2|S14:0:0:0|S20:0:0:0|S21:1:2:1|S22:1:1:0|S23:0:0:0|S24:0:1:1|S30:2:0:1|S31:0:2:2|S32:4:2:3|S33:4:2:3|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:1:1|S43:2:0:1|S44:0:0:0|O00:0:0:0|O01:3:3:0|O02:3:3:0|O03:1:1:0|O10:3:3:0|O11:3:3:0|O12:3:3:0|O13:2:0:1|O20:4:0:3|O21:4:0:3|O22:3:3:0|O23:4:0:3|O30:4:0:3|O31:4:0:3|O32:4:0:3|O33:0:0:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0003.trl
uct-10000-self-play,4,320103,UCT,UCT,10000,-1.0,true,NaturalEnd,1,72,24,3275,3164,36,36,17,17,19,19,1,2,5,5,3,0,advantage_objectives,S00:0:0:0|S01:0:0:0|S02:1:1:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:3:3:2|S12:1:1:0|S13:1:1:0|S14:0:1:1|S20:2:0:1|S21:4:2:3|S22:4:2:3|S23:2:1:2|S24:0:0:0|S30:1:1:0|S31:0:2:2|S32:2:0:1|S33:1:1:0|S34:2:0:1|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:1:1|O00:1:1:0|O01:3:3:1|O02:3:3:0|O03:1:1:0|O10:3:3:0|O11:3:3:2|O12:4:0:3|O13:4:0:3|O20:4:0:3|O21:4:0:3|O22:4:0:3|O23:0:1:1|O30:1:1:0|O31:0:0:0|O32:0:0:0|O33:3:3:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0004.trl
uct-10000-self-play,5,320104,UCT,UCT,10000,-1.0,true,NaturalEnd,1,72,24,3160,2642,36,36,21,21,15,15,3,2,5,4,0,3,secured_objectives,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:2:0:1|S04:0:0:0|S10:0:0:0|S11:3:3:2|S12:1:2:1|S13:3:3:2|S14:0:0:0|S20:0:0:0|S21:0:2:2|S22:0:1:1|S23:3:3:2|S24:0:0:0|S30:0:1:1|S31:4:2:3|S32:4:2:3|S33:0:2:2|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:2:0:1|O00:3:3:0|O01:3:3:0|O02:3:3:0|O03:0:0:0|O10:3:3:0|O11:3:3:0|O12:0:0:0|O13:0:0:0|O20:2:0:1|O21:4:0:3|O22:4:0:3|O23:2:0:1|O30:2:0:1|O31:4:0:3|O32:4:0:3|O33:0:0:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0005.trl
uct-10000-self-play,6,320105,UCT,UCT,10000,-1.0,true,NaturalEnd,0,72,24,3237,3237,36,36,18,18,18,18,3,2,5,5,2,2,draw,S00:2:0:1|S01:0:1:1|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:2:2|S12:1:1:0|S13:3:3:2|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:3:3:2|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:3:3:2|S32:4:2:3|S33:0:1:1|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:4:2:3|S43:0:0:0|S44:0:0:0|O00:2:0:2|O01:4:1:3|O02:3:3:0|O03:1:1:0|O10:4:0:3|O11:4:0:3|O12:3:3:0|O13:3:3:0|O20:2:0:1|O21:3:3:0|O22:4:0:3|O23:0:0:0|O30:1:1:0|O31:3:3:0|O32:4:0:3|O33:0:0:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0006.trl
uct-10000-self-play,7,320106,UCT,UCT,10000,-1.0,true,NaturalEnd,0,72,24,2607,2607,36,36,19,19,17,17,2,2,4,4,2,2,draw,S00:0:0:0|S01:1:1:0|S02:2:0:1|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:4:2:3|S12:0:1:1|S13:0:1:1|S14:0:1:1|S20:1:1:0|S21:0:2:2|S22:0:0:0|S23:4:2:3|S24:0:0:0|S30:0:0:0|S31:3:3:2|S32:0:1:1|S33:3:3:2|S34:0:1:1|S40:2:0:1|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:4:0:3|O01:4:0:3|O02:4:0:3|O03:1:2:0|O10:4:0:3|O11:2:0:2|O12:3:3:0|O13:2:0:1|O20:3:3:0|O21:3:3:0|O22:0:1:1|O23:0:0:0|O30:0:1:1|O31:3:3:0|O32:1:1:0|O33:0:0:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0007.trl
uct-10000-self-play,8,320107,UCT,UCT,10000,-1.0,true,NaturalEnd,2,72,24,3199,3236,36,36,19,19,17,17,2,2,5,5,1,2,advantage_objectives,S00:0:0:0|S01:2:0:1|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:4:2:3|S12:0:1:1|S13:4:2:3|S14:0:0:0|S20:0:0:0|S21:0:2:2|S22:3:3:2|S23:0:2:2|S24:0:0:0|S30:0:0:0|S31:0:1:1|S32:0:1:1|S33:3:3:2|S34:1:2:1|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:4:0:3|O01:4:0:3|O02:2:0:1|O03:2:0:1|O10:4:0:3|O11:4:0:3|O12:4:0:3|O13:1:2:0|O20:0:0:0|O21:3:3:0|O22:3:3:0|O23:3:3:0|O30:0:0:0|O31:0:0:0|O32:3:3:0|O33:3:3:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0008.trl
uct-10000-self-play,9,320108,UCT,UCT,10000,-1.0,true,NaturalEnd,1,72,24,3868,3237,36,36,16,18,20,18,1,1,6,5,2,2,secured_objectives,S00:2:0:1|S01:1:1:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:2:0:2|S11:0:1:1|S12:0:2:2|S13:1:2:1|S14:1:1:0|S20:2:0:1|S21:3:3:2|S22:0:1:1|S23:0:0:0|S24:0:0:0|S30:1:1:0|S31:4:2:3|S32:2:1:2|S33:0:1:1|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:2:0:1|S43:0:0:0|S44:0:0:0|O00:2:0:2|O01:3:3:0|O02:3:3:0|O03:1:1:0|O10:1:1:0|O11:3:3:0|O12:3:3:0|O13:3:3:0|O20:4:0:3|O21:4:0:3|O22:4:0:3|O23:0:0:0|O30:3:3:0|O31:4:0:3|O32:4:0:3|O33:2:0:1,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0009.trl
uct-10000-self-play,10,320109,UCT,UCT,10000,-1.0,true,NaturalEnd,1,72,24,2606,2566,36,36,20,23,16,13,1,3,4,4,2,1,advantage_objectives,S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:2:1:2|S04:0:0:0|S10:0:0:0|S11:0:1:1|S12:0:0:0|S13:4:2:3|S14:0:1:1|S20:1:1:0|S21:0:0:0|S22:0:2:2|S23:4:2:3|S24:1:2:1|S30:4:1:3|S31:3:3:2|S32:2:0:1|S33:0:2:2|S34:0:0:0|S40:0:0:0|S41:0:2:2|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:4:0:3|O03:4:2:3|O10:1:1:0|O11:0:0:0|O12:4:0:3|O13:3:3:0|O20:3:3:0|O21:0:0:0|O22:4:0:3|O23:3:3:0|O30:3:3:0|O31:1:1:0|O32:2:0:1|O33:0:0:0,experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0010.trl
