experiment_id,iteration_limit,scope,turn_number,turn_phase,count,cumulative_count
uct-10000-self-play,10000,first_securing_per_game,1,early,0,0
uct-10000-self-play,10000,all_securing_events,1,early,0,0
uct-10000-self-play,10000,player_1_securing_events,1,early,0,0
uct-10000-self-play,10000,player_2_securing_events,1,early,0,0
uct-10000-self-play,10000,first_securing_per_game,2,early,0,0
uct-10000-self-play,10000,all_securing_events,2,early,0,0
uct-10000-self-play,10000,player_1_securing_events,2,early,0,0
uct-10000-self-play,10000,player_2_securing_events,2,early,0,0
uct-10000-self-play,10000,first_securing_per_game,3,early,3,3
uct-10000-self-play,10000,all_securing_events,3,early,3,3
uct-10000-self-play,10000,player_1_securing_events,3,early,3,3
uct-10000-self-play,10000,player_2_securing_events,3,early,0,0
uct-10000-self-play,10000,first_securing_per_game,4,early,16,19
uct-10000-self-play,10000,all_securing_events,4,early,16,19
uct-10000-self-play,10000,player_1_securing_events,4,early,0,3
uct-10000-self-play,10000,player_2_securing_events,4,early,16,16
uct-10000-self-play,10000,first_securing_per_game,5,early,9,28
uct-10000-self-play,10000,all_securing_events,5,early,11,30
uct-10000-self-play,10000,player_1_securing_events,5,early,11,14
uct-10000-self-play,10000,player_2_securing_events,5,early,0,16
uct-10000-self-play,10000,first_securing_per_game,6,early,12,40
uct-10000-self-play,10000,all_securing_events,6,early,19,49
uct-10000-self-play,10000,player_1_securing_events,6,early,0,14
uct-10000-self-play,10000,player_2_securing_events,6,early,19,35
uct-10000-self-play,10000,first_securing_per_game,7,early,20,60
uct-10000-self-play,10000,all_securing_events,7,early,28,77
uct-10000-self-play,10000,player_1_securing_events,7,early,28,42
uct-10000-self-play,10000,player_2_securing_events,7,early,0,35
uct-10000-self-play,10000,first_securing_per_game,8,early,14,74
uct-10000-self-play,10000,all_securing_events,8,early,35,112
uct-10000-self-play,10000,player_1_securing_events,8,early,0,42
uct-10000-self-play,10000,player_2_securing_events,8,early,35,70
uct-10000-self-play,10000,first_securing_per_game,9,midgame,8,82
uct-10000-self-play,10000,all_securing_events,9,midgame,28,140
uct-10000-self-play,10000,player_1_securing_events,9,midgame,28,70
uct-10000-self-play,10000,player_2_securing_events,9,midgame,0,70
uct-10000-self-play,10000,first_securing_per_game,10,midgame,11,93
uct-10000-self-play,10000,all_securing_events,10,midgame,38,178
uct-10000-self-play,10000,player_1_securing_events,10,midgame,0,70
uct-10000-self-play,10000,player_2_securing_events,10,midgame,38,108
uct-10000-self-play,10000,first_securing_per_game,11,midgame,0,93
uct-10000-self-play,10000,all_securing_events,11,midgame,14,192
uct-10000-self-play,10000,player_1_securing_events,11,midgame,14,84
uct-10000-self-play,10000,player_2_securing_events,11,midgame,0,108
uct-10000-self-play,10000,first_securing_per_game,12,midgame,2,95
uct-10000-self-play,10000,all_securing_events,12,midgame,18,210
uct-10000-self-play,10000,player_1_securing_events,12,midgame,0,84
uct-10000-self-play,10000,player_2_securing_events,12,midgame,18,126
uct-10000-self-play,10000,first_securing_per_game,13,midgame,1,96
uct-10000-self-play,10000,all_securing_events,13,midgame,13,223
uct-10000-self-play,10000,player_1_securing_events,13,midgame,13,97
uct-10000-self-play,10000,player_2_securing_events,13,midgame,0,126
uct-10000-self-play,10000,first_securing_per_game,14,midgame,1,97
uct-10000-self-play,10000,all_securing_events,14,midgame,11,234
uct-10000-self-play,10000,player_1_securing_events,14,midgame,0,97
uct-10000-self-play,10000,player_2_securing_events,14,midgame,11,137
uct-10000-self-play,10000,first_securing_per_game,15,midgame,1,98
uct-10000-self-play,10000,all_securing_events,15,midgame,20,254
uct-10000-self-play,10000,player_1_securing_events,15,midgame,20,117
uct-10000-self-play,10000,player_2_securing_events,15,midgame,0,137
uct-10000-self-play,10000,first_securing_per_game,16,midgame,0,98
uct-10000-self-play,10000,all_securing_events,16,midgame,15,269
