experiment_id,iteration_limit,player_result_status,spatial_category,player_games,securing_events,mean_securing_turn,median_securing_turn,securable_opportunities,opportunities_taken,opportunity_take_rate
uct-10000-self-play,10000,winner,all,90,167,11.635,10,4511,167,0.037021
uct-10000-self-play,10000,winner,corner,90,1,21,21,39,1,0.025641
uct-10000-self-play,10000,winner,edge,90,4,20.75,21.0,581,4,0.006885
uct-10000-self-play,10000,winner,interior,90,162,11.352,10.0,3891,162,0.041635
uct-10000-self-play,10000,loser,all,90,159,12.799,12,4529,159,0.035107
uct-10000-self-play,10000,loser,corner,90,0,0.0,0.0,26,0,0.0
uct-10000-self-play,10000,loser,edge,90,6,20.333,21.5,599,6,0.010017
uct-10000-self-play,10000,loser,interior,90,153,12.503,11,3904,153,0.039191
uct-10000-self-play,10000,draw,all,20,41,14.317,15,1039,41,0.039461
uct-10000-self-play,10000,draw,corner,20,0,0.0,0.0,5,0,0.0
uct-10000-self-play,10000,draw,edge,20,2,22,22.0,149,2,0.013423
uct-10000-self-play,10000,draw,interior,20,39,13.923,13,885,39,0.044068
uct-100000-self-play,100000,winner,all,93,227,11.599,10,3628,227,0.062569
uct-100000-self-play,100000,winner,corner,93,0,0.0,0.0,19,0,0.0
uct-100000-self-play,100000,winner,edge,93,9,19.889,21,280,9,0.032143
uct-100000-self-play,100000,winner,interior,93,218,11.257,10.0,3329,218,0.065485
uct-100000-self-play,100000,loser,all,93,217,11.258,10,3773,217,0.057514
uct-100000-self-play,100000,loser,corner,93,1,22,22,33,1,0.030303
uct-100000-self-play,100000,loser,edge,93,6,22.167,23.0,396,6,0.015152
uct-100000-self-play,100000,loser,interior,93,210,10.895,9.0,3344,210,0.062799
uct-100000-self-play,100000,draw,all,8,18,12.778,14.0,287,18,0.062718
uct-100000-self-play,100000,draw,corner,8,0,0.0,0.0,2,0,0.0
uct-100000-self-play,100000,draw,edge,8,0,0.0,0.0,21,0,0.0
uct-100000-self-play,100000,draw,interior,8,18,12.778,14.0,264,18,0.068182
uct-30000-self-play,30000,winner,all,94,214,11.201,10.0,4003,214,0.05346
uct-30000-self-play,30000,winner,corner,94,0,0.0,0.0,15,0,0.0
uct-30000-self-play,30000,winner,edge,94,6,20.5,22.0,338,6,0.017751
uct-30000-self-play,30000,winner,interior,94,208,10.933,9.0,3650,208,0.056986
uct-30000-self-play,30000,loser,all,94,202,12.104,10.0,4146,202,0.048722
uct-30000-self-play,30000,loser,corner,94,0,0.0,0.0,24,0,0.0
uct-30000-self-play,30000,loser,edge,94,4,20.75,21.0,516,4,0.007752
uct-30000-self-play,30000,loser,interior,94,198,11.929,10.0,3606,198,0.054908
uct-30000-self-play,30000,draw,all,12,27,13.926,14,545,27,0.049541
uct-30000-self-play,30000,draw,corner,12,0,0.0,0.0,0,0,0.0
uct-30000-self-play,30000,draw,edge,12,0,0.0,0.0,44,0,0.0
uct-30000-self-play,30000,draw,interior,12,27,13.926,14,501,27,0.053892
