experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-10000-self-play,10000,S00,corner,200,27,0.135,22.592593,27,0.135,22.592593,61,0,61,0.012708,0.0,0.012708,0.974583,0.001667,0.12,0.0,0.12
uct-10000-self-play,10000,S01,edge,200,34,0.17,20.117647,34,0.17,20.117647,128,0,128,0.026667,0.0,0.026667,0.946667,0.01625,0.13,0.0,0.13
uct-10000-self-play,10000,S02,edge,200,34,0.17,18.588235,34,0.17,18.588235,180,0,180,0.0375,0.0,0.0375,0.925,0.021667,0.13,0.0,0.13
uct-10000-self-play,10000,S03,edge,200,48,0.24,18.4375,49,0.245,18.530612,187,4,191,0.038958,0.000833,0.039792,0.920417,0.060833,0.135,0.01,0.145
uct-10000-self-play,10000,S04,corner,200,17,0.085,21.176471,17,0.085,21.176471,31,4,35,0.006458,0.000833,0.007292,0.985417,0.015417,0.06,0.005,0.065
uct-10000-self-play,10000,S10,edge,200,27,0.135,19.185185,27,0.135,19.185185,146,0,146,0.030417,0.0,0.030417,0.939167,0.005417,0.12,0.0,0.12
uct-10000-self-play,10000,S11,interior,200,109,0.545,7.743119,114,0.57,7.894737,692,427,1119,0.144167,0.088958,0.233125,0.53375,0.515417,0.14,0.165,0.305
uct-10000-self-play,10000,S12,interior,200,97,0.485,4.762887,105,0.525,5.180952,771,470,1241,0.160625,0.097917,0.258542,0.482917,0.510833,0.12,0.175,0.295
uct-10000-self-play,10000,S13,interior,200,111,0.555,8.324324,122,0.61,8.516393,684,504,1188,0.1425,0.105,0.2475,0.505,0.525,0.12,0.215,0.335
uct-10000-self-play,10000,S14,edge,200,36,0.18,18.638889,36,0.18,18.638889,113,5,118,0.023542,0.001042,0.024583,0.950833,0.051667,0.105,0.005,0.11
uct-10000-self-play,10000,S20,edge,200,40,0.2,19.175,40,0.2,19.175,150,12,162,0.03125,0.0025,0.03375,0.9325,0.0375,0.145,0.005,0.15
uct-10000-self-play,10000,S21,interior,200,118,0.59,6,128,0.64,6.320312,725,557,1282,0.151042,0.116042,0.267083,0.465833,0.590833,0.11,0.21,0.32
uct-10000-self-play,10000,S22,interior,200,111,0.555,5.054054,125,0.625,5.28,820,578,1398,0.170833,0.120417,0.29125,0.4175,0.570833,0.135,0.19,0.325
uct-10000-self-play,10000,S23,interior,200,125,0.625,5.848,134,0.67,5.985075,740,612,1352,0.154167,0.1275,0.281667,0.436667,0.60125,0.11,0.23,0.34
uct-10000-self-play,10000,S24,edge,200,28,0.14,19.142857,28,0.14,19.142857,99,5,104,0.020625,0.001042,0.021667,0.956667,0.037083,0.09,0.005,0.095
uct-10000-self-play,10000,S30,edge,200,39,0.195,17.666667,40,0.2,17.825,211,7,218,0.043958,0.001458,0.045417,0.909167,0.035,0.14,0.015,0.155
uct-10000-self-play,10000,S31,interior,200,111,0.555,7.351351,119,0.595,7.554622,688,507,1195,0.143333,0.105625,0.248958,0.502083,0.55125,0.085,0.225,0.31
