experiment_id,iteration_limit,supply_point,spatial_category,player_games,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site
uct-10000-self-play,10000,S00,corner,200,5,5,0.025,3,0.015,0.015,0.015,5,0,0.0
uct-10000-self-play,10000,S01,edge,200,19,19,0.095,11,0.055,0.07,0.035,19,0,0.0
uct-10000-self-play,10000,S02,edge,200,27,27,0.135,11,0.055,0.085,0.0425,27,0,0.0
uct-10000-self-play,10000,S03,edge,200,30,30,0.15,18,0.09,0.115,0.0575,30,0,0.0
uct-10000-self-play,10000,S04,corner,200,1,1,0.005,1,0.005,0.005,0.005,1,1,1.0
uct-10000-self-play,10000,S10,edge,200,25,25,0.125,15,0.075,0.105,0.0525,25,0,0.0
uct-10000-self-play,10000,S11,interior,200,325,325,1.625,86,0.43,0.985,0.24625,325,133,4.030303
uct-10000-self-play,10000,S12,interior,200,370,370,1.85,81,0.405,0.99,0.2475,370,142,4.057143
uct-10000-self-play,10000,S13,interior,200,353,353,1.765,90,0.45,1.045,0.26125,353,162,3.767442
uct-10000-self-play,10000,S14,edge,200,27,27,0.135,10,0.05,0.08,0.04,27,1,1.0
uct-10000-self-play,10000,S20,edge,200,24,24,0.12,11,0.055,0.08,0.04,24,0,0.0
uct-10000-self-play,10000,S21,interior,200,372,372,1.86,97,0.485,1.06,0.265,372,173,4.119048
uct-10000-self-play,10000,S22,interior,200,353,353,1.765,91,0.455,1.03,0.2575,353,147,3.868421
uct-10000-self-play,10000,S23,interior,200,400,400,2.0,94,0.47,1.13,0.2825,400,190,4.130435
uct-10000-self-play,10000,S24,edge,200,14,14,0.07,9,0.045,0.06,0.03,14,1,1.0
uct-10000-self-play,10000,S30,edge,200,39,39,0.195,16,0.08,0.12,0.06,39,2,0.666667
uct-10000-self-play,10000,S31,interior,200,336,336,1.68,87,0.435,0.98,0.245,336,159,3.533333
uct-10000-self-play,10000,S32,interior,200,343,343,1.715,80,0.4,0.94,0.235,343,144,4.114286
uct-10000-self-play,10000,S33,interior,200,335,335,1.675,83,0.415,0.96,0.24,335,123,3.324324
uct-10000-self-play,10000,S34,edge,200,20,20,0.1,11,0.055,0.075,0.0375,20,0,0.0
uct-10000-self-play,10000,S40,corner,200,2,2,0.01,2,0.01,0.01,0.01,2,0,0.0
uct-10000-self-play,10000,S41,edge,200,22,22,0.11,11,0.055,0.08,0.04,22,1,1.0
uct-10000-self-play,10000,S42,edge,200,33,33,0.165,13,0.065,0.115,0.0575,33,2,1.0
uct-10000-self-play,10000,S43,edge,200,33,33,0.165,14,0.07,0.09,0.045,33,1,1.0
uct-10000-self-play,10000,S44,corner,200,4,4,0.02,2,0.01,0.01,0.01,4,0,0.0
uct-100000-self-play,100000,S00,corner,194,1,1,0.005155,1,0.005155,0.005155,0.005155,1,0,0.0
uct-100000-self-play,100000,S01,edge,194,7,7,0.036082,5,0.025773,0.030928,0.015464,7,0,0.0
uct-100000-self-play,100000,S02,edge,194,17,17,0.087629,13,0.06701,0.072165,0.036082,17,0,0.0
uct-100000-self-play,100000,S03,edge,194,20,20,0.103093,12,0.061856,0.07732,0.03866,20,1,1.0
uct-100000-self-play,100000,S04,corner,194,4,4,0.020619,4,0.020619,0.020619,0.020619,4,0,0.0
uct-100000-self-play,100000,S10,edge,194,9,9,0.046392,8,0.041237,0.041237,0.020619,9,3,1.0
uct-100000-self-play,100000,S11,interior,194,309,309,1.592784,71,0.365979,0.886598,0.221649,309,191,4.658537
uct-100000-self-play,100000,S12,interior,194,306,306,1.57732,76,0.391753,0.969072,0.242268,306,154,3.85
uct-100000-self-play,100000,S13,interior,194,256,256,1.319588,74,0.381443,0.819588,0.204897,256,138,3.72973
uct-100000-self-play,100000,S14,edge,194,7,7,0.036082,5,0.025773,0.036082,0.018041,7,0,0.0
uct-100000-self-play,100000,S20,edge,194,6,6,0.030928,4,0.020619,0.020619,0.010309,6,0,0.0
uct-100000-self-play,100000,S21,interior,194,404,404,2.082474,95,0.489691,1.164948,0.291237,404,217,4.34
uct-100000-self-play,100000,S22,interior,194,436,436,2.247423,106,0.546392,1.293814,0.323454,436,282,4.338462
uct-100000-self-play,100000,S23,interior,194,382,382,1.969072,90,0.463918,1.154639,0.28866,382,252,4.131148
uct-100000-self-play,100000,S24,edge,194,17,17,0.087629,11,0.056701,0.07732,0.03866,17,2,2.0
uct-100000-self-play,100000,S30,edge,194,19,19,0.097938,9,0.046392,0.061856,0.030928,19,0,0.0
uct-100000-self-play,100000,S31,interior,194,352,352,1.814433,89,0.458763,1.025773,0.256443,352,196,3.563636
uct-100000-self-play,100000,S32,interior,194,344,344,1.773196,82,0.42268,0.943299,0.235825,344,244,4.784314
uct-100000-self-play,100000,S33,interior,194,317,317,1.634021,81,0.417526,0.974227,0.243557,317,187,4.065217
uct-100000-self-play,100000,S34,edge,194,10,10,0.051546,7,0.036082,0.041237,0.020619,10,4,1.333333
uct-100000-self-play,100000,S40,corner,194,3,3,0.015464,3,0.015464,0.015464,0.015464,3,0,0.0
