experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-10000-self-play,10000,S00,corner,200,30,0.15,32,0.16,22.7,27,0.135,22.592593,27,0.135,22.592593,61,0,61,0.012708,0.0,0.012708,0.974583,0.001667,0,0.0,0.0,15,0,0.0,8,0,0.0,5,5,0.025,3,0.015,0.015,0.015,5,0,0.0,0.12,0.0,0.12
uct-10000-self-play,10000,S01,edge,200,41,0.205,47,0.235,20.04878,34,0.17,20.117647,34,0.17,20.117647,128,0,128,0.026667,0.0,0.026667,0.946667,0.01625,0,0.0,0.0,71,0,0.0,27,0,0.0,19,19,0.095,11,0.055,0.07,0.035,19,0,0.0,0.13,0.0,0.13
uct-10000-self-play,10000,S02,edge,200,43,0.215,51,0.255,18.790698,34,0.17,18.588235,34,0.17,18.588235,180,0,180,0.0375,0.0,0.0375,0.925,0.021667,0,0.0,0.0,103,0,0.0,27,0,0.0,27,27,0.135,11,0.055,0.085,0.0425,27,0,0.0,0.13,0.0,0.13
uct-10000-self-play,10000,S03,edge,200,70,0.35,83,0.415,18.585714,48,0.24,18.4375,49,0.245,18.530612,187,4,191,0.038958,0.000833,0.039792,0.920417,0.060833,2,0.01,23,170,2,0.011765,50,2,0.04,30,30,0.15,18,0.09,0.115,0.0575,30,0,0.0,0.135,0.01,0.145
uct-10000-self-play,10000,S04,corner,200,23,0.115,29,0.145,20.565217,17,0.085,21.176471,17,0.085,21.176471,31,4,35,0.006458,0.000833,0.007292,0.985417,0.015417,1,0.005,21,32,1,0.03125,14,1,0.071429,1,1,0.005,1,0.005,0.005,0.005,1,1,1.0,0.06,0.005,0.065
uct-10000-self-play,10000,S10,edge,200,32,0.16,38,0.19,19.6875,27,0.135,19.185185,27,0.135,19.185185,146,0,146,0.030417,0.0,0.030417,0.939167,0.005417,0,0.0,0.0,61,0,0.0,19,0,0.0,25,25,0.125,15,0.075,0.105,0.0525,25,0,0.0,0.12,0.0,0.12
uct-10000-self-play,10000,S11,interior,200,174,0.87,306,1.53,8.12069,109,0.545,7.743119,114,0.57,7.894737,692,427,1119,0.144167,0.088958,0.233125,0.53375,0.515417,33,0.165,12.060606,942,33,0.035032,167,33,0.197605,325,325,1.625,86,0.43,0.985,0.24625,325,133,4.030303,0.14,0.165,0.305
uct-10000-self-play,10000,S12,interior,200,160,0.8,294,1.47,6.2,97,0.485,4.762887,105,0.525,5.180952,771,470,1241,0.160625,0.097917,0.258542,0.482917,0.510833,35,0.175,11.571429,948,35,0.03692,157,35,0.22293,370,370,1.85,81,0.405,0.99,0.2475,370,142,4.057143,0.12,0.175,0.295
uct-10000-self-play,10000,S13,interior,200,179,0.895,344,1.72,8.413408,111,0.555,8.324324,122,0.61,8.516393,684,504,1188,0.1425,0.105,0.2475,0.505,0.525,43,0.215,13.27907,889,43,0.048369,169,43,0.254438,353,353,1.765,90,0.45,1.045,0.26125,353,162,3.767442,0.12,0.215,0.335
uct-10000-self-play,10000,S14,edge,200,52,0.26,56,0.28,18.211538,36,0.18,18.638889,36,0.18,18.638889,113,5,118,0.023542,0.001042,0.024583,0.950833,0.051667,1,0.005,20,135,1,0.007407,35,1,0.028571,27,27,0.135,10,0.05,0.08,0.04,27,1,1.0,0.105,0.005,0.11
