experiment_id,game_index,winner,final_result,comparison_layer,last_lead_change_turn,lead_change_count,equality_turns,equality_periods,final_return_to_equality_turn,strict_persistent_lead_turn,nonlosing_persistence_turn,final_layer_sign
uct-10000-self-play,1,1,p1_win,secured,15,1,13,3,22,23,15,1
uct-10000-self-play,1,1,p1_win,secured_advantage,15,4,4,3,22,23,15,1
uct-10000-self-play,1,1,p1_win,full_lexicographic,15,4,2,1,1,15,15,1
uct-10000-self-play,2,1,p1_win,secured,,0,13,4,20,23,1,1
uct-10000-self-play,2,1,p1_win,secured_advantage,21,4,9,6,22,23,21,1
uct-10000-self-play,2,1,p1_win,full_lexicographic,23,6,5,4,16,23,23,1
uct-10000-self-play,3,0,draw,secured,21,2,12,4,24,,,0
uct-10000-self-play,3,0,draw,secured_advantage,21,4,5,4,24,,,0
uct-10000-self-play,3,0,draw,full_lexicographic,21,4,4,3,24,,,0
uct-10000-self-play,4,1,p1_win,secured,,0,12,3,22,,1,0
uct-10000-self-play,4,1,p1_win,secured_advantage,,0,6,5,20,21,1,1
uct-10000-self-play,4,1,p1_win,full_lexicographic,21,2,3,2,4,21,21,1
uct-10000-self-play,5,1,p1_win,secured,,0,15,4,18,21,1,1
uct-10000-self-play,5,1,p1_win,secured_advantage,,0,7,4,18,21,1,1
uct-10000-self-play,5,1,p1_win,full_lexicographic,,0,3,2,4,5,1,1
uct-10000-self-play,6,0,draw,secured,22,3,13,6,23,,,0
uct-10000-self-play,6,0,draw,secured_advantage,23,6,6,5,24,,,0
uct-10000-self-play,6,0,draw,full_lexicographic,23,8,5,4,24,,,0
uct-10000-self-play,7,0,draw,secured,19,2,18,5,20,,,0
uct-10000-self-play,7,0,draw,secured_advantage,15,2,5,4,24,,,0
uct-10000-self-play,7,0,draw,full_lexicographic,15,2,5,4,24,,,0
uct-10000-self-play,8,2,p2_win,secured,20,3,16,4,23,,14,0
uct-10000-self-play,8,2,p2_win,secured_advantage,20,3,7,4,23,24,20,-1
uct-10000-self-play,8,2,p2_win,full_lexicographic,24,5,5,2,8,24,24,-1
uct-10000-self-play,9,1,p1_win,secured,19,4,11,3,20,23,19,1
uct-10000-self-play,9,1,p1_win,secured_advantage,19,8,2,1,1,19,19,1
uct-10000-self-play,9,1,p1_win,full_lexicographic,19,8,2,1,1,19,19,1
uct-10000-self-play,10,1,p1_win,secured,21,2,16,4,22,,21,0
uct-10000-self-play,10,1,p1_win,secured_advantage,21,2,7,6,22,23,21,1
uct-10000-self-play,10,1,p1_win,full_lexicographic,21,2,6,5,12,21,21,1
uct-10000-self-play,11,1,p1_win,secured,,0,11,4,22,,1,0
uct-10000-self-play,11,1,p1_win,secured_advantage,5,2,3,2,8,9,5,1
uct-10000-self-play,11,1,p1_win,full_lexicographic,9,4,2,1,1,9,9,1
uct-10000-self-play,12,1,p1_win,secured,17,2,13,3,14,17,17,1
uct-10000-self-play,12,1,p1_win,secured_advantage,17,6,6,4,15,17,17,1
uct-10000-self-play,12,1,p1_win,full_lexicographic,17,8,3,2,4,17,17,1
uct-10000-self-play,13,2,p2_win,secured,,0,14,3,22,,22,0
uct-10000-self-play,13,2,p2_win,secured_advantage,24,3,5,3,22,24,22,-1
uct-10000-self-play,13,2,p2_win,full_lexicographic,24,3,3,2,22,24,24,-1
uct-10000-self-play,14,1,p1_win,secured,,0,5,2,24,,1,0
uct-10000-self-play,14,1,p1_win,secured_advantage,,0,3,2,4,5,1,1
uct-10000-self-play,14,1,p1_win,full_lexicographic,,0,3,2,4,5,1,1
uct-10000-self-play,15,1,p1_win,secured,,0,9,2,22,,1,0
uct-10000-self-play,15,1,p1_win,secured_advantage,,0,3,2,6,7,1,1
uct-10000-self-play,15,1,p1_win,full_lexicographic,,0,2,1,1,3,1,1
uct-10000-self-play,16,1,p1_win,secured,23,2,13,3,17,23,23,1
