experiment_id,comparison_layer,turn_number,games,games_with_current_leader,current_leader_eventually_wins,current_leader_eventually_loses,eventual_draws_from_current_lead,games_tied_at_turn,current_leader_win_rate,reversal_rate_current_leader_eventually_loses,eventual_draw_rate_from_current_lead
uct-10000-self-play,full_lexicographic,1,100,0,0,0,0,100,,,
uct-10000-self-play,full_lexicographic,2,100,0,0,0,0,100,,,
uct-10000-self-play,full_lexicographic,3,100,91,44,37,10,9,0.483516,0.406593,0.10989
uct-10000-self-play,full_lexicographic,4,100,49,22,23,4,51,0.44898,0.469388,0.081633
uct-10000-self-play,full_lexicographic,5,100,99,48,41,10,1,0.484848,0.414141,0.10101
uct-10000-self-play,full_lexicographic,6,100,79,39,33,7,21,0.493671,0.417722,0.088608
uct-10000-self-play,full_lexicographic,7,100,99,49,40,10,1,0.494949,0.40404,0.10101
uct-10000-self-play,full_lexicographic,8,100,84,36,38,10,16,0.428571,0.452381,0.119048
uct-10000-self-play,full_lexicographic,9,100,99,48,41,10,1,0.484848,0.414141,0.10101
uct-10000-self-play,full_lexicographic,10,100,83,41,33,9,17,0.493976,0.39759,0.108434
uct-10000-self-play,full_lexicographic,11,100,100,51,39,10,0,0.51,0.39,0.1
uct-10000-self-play,full_lexicographic,12,100,82,35,37,10,18,0.426829,0.45122,0.121951
uct-10000-self-play,full_lexicographic,13,100,99,46,43,10,1,0.464646,0.434343,0.10101
uct-10000-self-play,full_lexicographic,14,100,83,43,30,10,17,0.518072,0.361446,0.120482
uct-10000-self-play,full_lexicographic,15,100,100,48,42,10,0,0.48,0.42,0.1
uct-10000-self-play,full_lexicographic,16,100,88,41,39,8,12,0.465909,0.443182,0.090909
uct-10000-self-play,full_lexicographic,17,100,100,51,39,10,0,0.51,0.39,0.1
uct-10000-self-play,full_lexicographic,18,100,89,54,26,9,11,0.606742,0.292135,0.101124
uct-10000-self-play,full_lexicographic,19,100,100,49,41,10,0,0.49,0.41,0.1
uct-10000-self-play,full_lexicographic,20,100,91,45,36,10,9,0.494505,0.395604,0.10989
uct-10000-self-play,full_lexicographic,21,100,99,55,34,10,1,0.555556,0.343434,0.10101
uct-10000-self-play,full_lexicographic,22,100,88,56,24,8,12,0.636364,0.272727,0.090909
uct-10000-self-play,full_lexicographic,23,100,98,64,26,8,2,0.653061,0.265306,0.081633
uct-10000-self-play,full_lexicographic,24,100,90,90,0,0,10,1.0,0.0,0.0
uct-10000-self-play,secured,1,100,0,0,0,0,100,,,
uct-10000-self-play,secured,2,100,0,0,0,0,100,,,
uct-10000-self-play,secured,3,100,1,1,0,0,99,1.0,0.0,0.0
uct-10000-self-play,secured,4,100,1,1,0,0,99,1.0,0.0,0.0
uct-10000-self-play,secured,5,100,29,16,10,3,71,0.551724,0.344828,0.103448
uct-10000-self-play,secured,6,100,25,14,9,2,75,0.56,0.36,0.08
uct-10000-self-play,secured,7,100,58,24,26,8,42,0.413793,0.448276,0.137931
uct-10000-self-play,secured,8,100,50,19,25,6,50,0.38,0.5,0.12
uct-10000-self-play,secured,9,100,72,36,28,8,28,0.5,0.388889,0.111111
uct-10000-self-play,secured,10,100,55,30,19,6,45,0.545455,0.345455,0.109091
uct-10000-self-play,secured,11,100,72,40,26,6,28,0.555556,0.361111,0.083333
uct-10000-self-play,secured,12,100,50,23,22,5,50,0.46,0.44,0.1
uct-10000-self-play,secured,13,100,65,34,26,5,35,0.523077,0.4,0.076923
uct-10000-self-play,secured,14,100,44,22,15,7,56,0.5,0.340909,0.159091
uct-10000-self-play,secured,15,100,55,28,20,7,45,0.509091,0.363636,0.127273
uct-10000-self-play,secured,16,100,60,27,27,6,40,0.45,0.45,0.1
uct-10000-self-play,secured,17,100,69,38,25,6,31,0.550725,0.362319,0.086957
