experiment_id,turn_number,games,supply_placements,objective_placements,objective_placement_share,cumulative_supply_placements,cumulative_objective_placements,cumulative_objective_placement_share,primary_important_supply_source_uses
uct-10000-self-play,1,100,300,0,0.0,300,0,0.0,0
uct-10000-self-play,2,100,300,0,0.0,600,0,0.0,0
uct-10000-self-play,3,100,166,134,0.446667,766,134,0.148889,73
uct-10000-self-play,4,100,203,97,0.323333,969,231,0.1925,55
uct-10000-self-play,5,100,158,142,0.473333,1127,373,0.248667,75
uct-10000-self-play,6,100,173,127,0.423333,1300,500,0.277778,67
uct-10000-self-play,7,100,166,134,0.446667,1466,634,0.301905,71
uct-10000-self-play,8,100,163,137,0.456667,1629,771,0.32125,78
uct-10000-self-play,9,100,151,149,0.496667,1780,920,0.340741,89
uct-10000-self-play,10,100,134,166,0.553333,1914,1086,0.362,97
uct-10000-self-play,11,100,107,193,0.643333,2021,1279,0.387576,109
uct-10000-self-play,12,100,100,200,0.666667,2121,1479,0.410833,117
uct-10000-self-play,13,100,98,202,0.673333,2219,1681,0.431026,102
uct-10000-self-play,14,100,102,198,0.66,2321,1879,0.447381,120
uct-10000-self-play,15,100,112,188,0.626667,2433,2067,0.459333,103
uct-10000-self-play,16,100,105,195,0.65,2538,2262,0.47125,109
uct-10000-self-play,17,100,105,195,0.65,2643,2457,0.481765,96
uct-10000-self-play,18,100,114,186,0.62,2757,2643,0.489444,103
uct-10000-self-play,19,100,123,177,0.59,2880,2820,0.494737,81
uct-10000-self-play,20,100,121,179,0.596667,3001,2999,0.499833,90
uct-10000-self-play,21,100,128,172,0.573333,3129,3171,0.503333,70
uct-10000-self-play,22,100,154,146,0.486667,3283,3317,0.502576,67
uct-10000-self-play,23,100,182,118,0.393333,3465,3435,0.497826,43
uct-10000-self-play,24,100,223,77,0.256667,3688,3512,0.487778,33
uct-100000-self-play,1,97,291,0,0.0,291,0,0.0,0
uct-100000-self-play,2,97,291,0,0.0,582,0,0.0,0
uct-100000-self-play,3,97,170,121,0.415808,752,121,0.138603,83
uct-100000-self-play,4,97,253,38,0.130584,1005,159,0.136598,16
uct-100000-self-play,5,97,232,59,0.202749,1237,218,0.149828,39
uct-100000-self-play,6,97,245,46,0.158076,1482,264,0.151203,19
uct-100000-self-play,7,97,197,94,0.323024,1679,358,0.175749,67
uct-100000-self-play,8,97,170,121,0.415808,1849,479,0.205756,66
uct-100000-self-play,9,97,123,168,0.57732,1972,647,0.247041,111
uct-100000-self-play,10,97,105,186,0.639175,2077,833,0.286254,102
uct-100000-self-play,11,97,111,180,0.618557,2188,1013,0.316464,112
uct-100000-self-play,12,97,91,200,0.687285,2279,1213,0.347365,115
uct-100000-self-play,13,97,80,211,0.725086,2359,1424,0.376421,130
uct-100000-self-play,14,97,73,218,0.749141,2432,1642,0.403044,117
uct-100000-self-play,15,97,84,207,0.71134,2516,1849,0.423597,123
uct-100000-self-play,16,97,100,191,0.656357,2616,2040,0.438144,94
uct-100000-self-play,17,97,100,191,0.656357,2716,2231,0.45098,112
uct-100000-self-play,18,97,105,186,0.639175,2821,2417,0.461436,89
uct-100000-self-play,19,97,109,182,0.62543,2930,2599,0.470067,96
uct-100000-self-play,20,97,111,180,0.618557,3041,2779,0.477491,84
uct-100000-self-play,21,97,131,160,0.549828,3172,2939,0.480936,78
uct-100000-self-play,22,97,141,150,0.515464,3313,3089,0.482505,61
uct-100000-self-play,23,97,175,116,0.398625,3488,3205,0.478859,45
uct-100000-self-play,24,97,223,68,0.233677,3711,3273,0.468643,25
uct-30000-self-play,1,100,300,0,0.0,300,0,0.0,0
uct-30000-self-play,2,100,300,0,0.0,600,0,0.0,0
uct-30000-self-play,3,100,155,145,0.483333,755,145,0.161111,91
uct-30000-self-play,4,100,239,61,0.203333,994,206,0.171667,39
uct-30000-self-play,5,100,230,70,0.233333,1224,276,0.184,39
uct-30000-self-play,6,100,236,64,0.213333,1460,340,0.188889,40
uct-30000-self-play,7,100,202,98,0.326667,1662,438,0.208571,58
uct-30000-self-play,8,100,178,122,0.406667,1840,560,0.233333,74
uct-30000-self-play,9,100,136,164,0.546667,1976,724,0.268148,98
uct-30000-self-play,10,100,120,180,0.6,2096,904,0.301333,106
uct-30000-self-play,11,100,111,189,0.63,2207,1093,0.331212,107
uct-30000-self-play,12,100,94,206,0.686667,2301,1299,0.360833,119
uct-30000-self-play,13,100,91,209,0.696667,2392,1508,0.386667,119
uct-30000-self-play,14,100,89,211,0.703333,2481,1719,0.409286,123
uct-30000-self-play,15,100,93,207,0.69,2574,1926,0.428,113
uct-30000-self-play,16,100,95,205,0.683333,2669,2131,0.443958,111
uct-30000-self-play,17,100,96,204,0.68,2765,2335,0.457843,104
uct-30000-self-play,18,100,94,206,0.686667,2859,2541,0.470556,104
uct-30000-self-play,19,100,107,193,0.643333,2966,2734,0.479649,93
uct-30000-self-play,20,100,118,182,0.606667,3084,2916,0.486,94
uct-30000-self-play,21,100,123,177,0.59,3207,3093,0.490952,85
uct-30000-self-play,22,100,140,160,0.533333,3347,3253,0.492879,80
uct-30000-self-play,23,100,188,112,0.373333,3535,3365,0.487681,46
uct-30000-self-play,24,100,227,73,0.243333,3762,3438,0.4775,28
