experiment_id,turn_number,games,mean_secured_objective_difference,mean_advantage_objective_difference,mean_objective_piece_difference,mean_secured_supply_difference,mean_unsecured_controlled_supply_difference,mean_supply_source_usage_difference,mean_primary_important_control_difference
uct-10000-self-play,1,100,0,0,0,0,3,0,1.74
uct-10000-self-play,2,100,0,0,0,0,0,0,-0.01
uct-10000-self-play,3,100,0.01,1.06,1.34,0.03,1.63,1.34,0.94
uct-10000-self-play,4,100,0.01,0.25,0.37,-0.13,-0.24,0.37,-0.23
uct-10000-self-play,5,100,0.29,0.46,1.79,-0.02,1.23,1.79,0.71
uct-10000-self-play,6,100,0.21,-0.11,0.52,-0.21,-0.31,0.52,-0.37
uct-10000-self-play,7,100,0.62,0.03,1.86,0.07,1.07,1.86,0.63
uct-10000-self-play,8,100,0.24,-0.15,0.49,-0.28,-0.21,0.49,-0.39
uct-10000-self-play,9,100,0.77,-0.13,1.98,0,1.02,1.98,0.42
uct-10000-self-play,10,100,0.34,-0.33,0.32,-0.38,0.06,0.32,-0.21
uct-10000-self-play,11,100,0.88,-0.01,2.25,-0.24,0.99,2.25,0.26
uct-10000-self-play,12,100,0.17,0.07,0.25,-0.42,0.17,0.25,-0.21
uct-10000-self-play,13,100,0.71,0.34,2.27,-0.29,1.01,2.27,0.16
uct-10000-self-play,14,100,0.1,0.07,0.29,-0.4,0.1,0.29,-0.16
uct-10000-self-play,15,100,0.55,0.38,2.17,-0.2,1.02,2.17,0.16
uct-10000-self-play,16,100,-0.03,0.16,0.22,-0.35,0.12,0.22,-0.14
uct-10000-self-play,17,100,0.66,0.22,2.17,-0.23,1.05,2.17,0.15
uct-10000-self-play,18,100,0.09,0,0.31,-0.39,0.07,0.31,-0.28
uct-10000-self-play,19,100,0.61,0.34,2.08,-0.27,1.18,2.08,0.14
uct-10000-self-play,20,100,0.02,0.14,0.29,-0.47,0.17,0.29,-0.26
uct-10000-self-play,21,100,0.47,0.56,2.01,-0.4,1.37,2.01,0.09
uct-10000-self-play,22,100,-0.05,0.51,0.55,-0.51,-0.05,0.55,-0.32
uct-10000-self-play,23,100,0.36,0.64,1.73,-0.44,1.57,1.73,-0.02
uct-10000-self-play,24,100,0.05,0.61,0.96,-0.57,-0.35,0.96,-0.33
uct-100000-self-play,1,97,0,0,0,0,3,0,1.948454
uct-100000-self-play,2,97,0,0,0,0,0,0,0.185567
uct-100000-self-play,3,97,0,0.958763,1.247423,0.298969,1.453608,1.247423,1.226804
uct-100000-self-play,4,97,0,0.57732,0.85567,0.072165,-0.927835,0.85567,-0.350515
uct-100000-self-play,5,97,0.061856,0.659794,1.463918,0.43299,1.103093,1.463918,1.092784
uct-100000-self-play,6,97,0.061856,0.298969,0.989691,-0.061856,-0.927835,0.989691,-0.319588
uct-100000-self-play,7,97,0.402062,0.329897,1.958763,0.247423,0.793814,1.958763,0.814433
uct-100000-self-play,8,97,0.28866,-0.319588,0.71134,-0.041237,-0.670103,0.71134,-0.216495
uct-100000-self-play,9,97,0.814433,-0.134021,2.443299,0.257732,0.28866,2.443299,0.453608
uct-100000-self-play,10,97,0.350515,-0.412371,0.525773,-0.030928,-0.494845,0.525773,-0.103093
uct-100000-self-play,11,97,0.907216,-0.309278,2.381443,0.164948,0.453608,2.381443,0.402062
uct-100000-self-play,12,97,0.412371,-0.670103,0.319588,-0.061856,-0.257732,0.319588,0.041237
uct-100000-self-play,13,97,1.123711,-0.556701,2.494845,0,0.505155,2.494845,0.412371
uct-100000-self-play,14,97,0.298969,-0.463918,0.247423,-0.175258,-0.072165,0.247423,0.154639
