experiment_id,game_index,winner,persistence_type,comparison_layer,turning_turn,relative_turn,event_turn,mover,new_secured_objectives_p1,new_secured_objectives_p2,advantage_gains_p1,advantage_gains_p2,advantage_losses_p1,advantage_losses_p2,objective_piece_difference_change,new_secured_supply_p1,new_secured_supply_p2,important_control_gains_p1,important_control_gains_p2,important_control_losses_p1,important_control_losses_p2,p1_supply_placements,p2_supply_placements,p1_objective_placements,p2_objective_placements,important_supply_source_uses_this_turn,winner_new_secured_objectives,loser_new_secured_objectives,winner_new_secured_supply,loser_new_secured_supply,winner_important_control_gains,loser_important_control_gains,winner_objective_placements,loser_objective_placements,winner_supply_placements,loser_supply_placements
uct-10000-self-play,1,1,nonlosing,full_lexicographic,15,-2,13,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,2,0,1,0
uct-10000-self-play,1,1,nonlosing,full_lexicographic,15,-1,14,2,0,1,0,2,0,1,-3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,nonlosing,full_lexicographic,15,0,15,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,3,0,0,0
uct-10000-self-play,1,1,nonlosing,full_lexicographic,15,1,16,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,nonlosing,full_lexicographic,15,2,17,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,1,1,strict,full_lexicographic,15,-2,13,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,2,0,1,0
uct-10000-self-play,1,1,strict,full_lexicographic,15,-1,14,2,0,1,0,2,0,1,-3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,strict,full_lexicographic,15,0,15,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,3,0,0,0
uct-10000-self-play,1,1,strict,full_lexicographic,15,1,16,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,strict,full_lexicographic,15,2,17,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,1,1,nonlosing,secured,15,-2,13,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,2,0,1,0
uct-10000-self-play,1,1,nonlosing,secured,15,-1,14,2,0,1,0,2,0,1,-3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,nonlosing,secured,15,0,15,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,3,0,0,0
uct-10000-self-play,1,1,nonlosing,secured,15,1,16,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,nonlosing,secured,15,2,17,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,1,1,strict,secured,23,-2,21,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,1,1,strict,secured,23,-1,22,2,0,1,0,1,0,1,-2,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,1,0,2,0,1
uct-10000-self-play,1,1,strict,secured,23,0,23,1,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,1,1,strict,secured,23,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
uct-10000-self-play,1,1,nonlosing,secured_advantage,15,-2,13,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,2,0,1,0,0,1,0,1,0,2,0,1,0
uct-10000-self-play,1,1,nonlosing,secured_advantage,15,-1,14,2,0,1,0,2,0,1,-3,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,nonlosing,secured_advantage,15,0,15,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,3,0,0,0
uct-10000-self-play,1,1,nonlosing,secured_advantage,15,1,16,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,1,1,nonlosing,secured_advantage,15,2,17,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,1,1,strict,secured_advantage,23,-2,21,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,1,1,strict,secured_advantage,23,-1,22,2,0,1,0,1,0,1,-2,0,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,1,0,2,0,1
uct-10000-self-play,1,1,strict,secured_advantage,23,0,23,1,1,0,0,0,1,1,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,1,1,strict,secured_advantage,23,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
uct-10000-self-play,2,1,nonlosing,full_lexicographic,23,-2,21,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,2,1,nonlosing,full_lexicographic,23,-1,22,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,2,1,nonlosing,full_lexicographic,23,0,23,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,2,1,nonlosing,full_lexicographic,23,1,24,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3
uct-10000-self-play,2,1,strict,full_lexicographic,23,-2,21,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,2,1,strict,full_lexicographic,23,-1,22,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,2,1,strict,full_lexicographic,23,0,23,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,2,1,strict,full_lexicographic,23,1,24,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3
uct-10000-self-play,2,1,nonlosing,secured,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
uct-10000-self-play,2,1,nonlosing,secured,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3
uct-10000-self-play,2,1,nonlosing,secured,1,2,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,2,0
uct-10000-self-play,2,1,strict,secured,23,-2,21,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,2,1,strict,secured,23,-1,22,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,2,1,strict,secured,23,0,23,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,2,1,strict,secured,23,1,24,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3
uct-10000-self-play,2,1,nonlosing,secured_advantage,21,-2,19,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,2,1,nonlosing,secured_advantage,21,-1,20,2,0,1,0,2,0,1,-3,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,3,0,0
uct-10000-self-play,2,1,nonlosing,secured_advantage,21,0,21,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,2,1,nonlosing,secured_advantage,21,1,22,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,2,1,nonlosing,secured_advantage,21,2,23,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,2,1,strict,secured_advantage,23,-2,21,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,2,1,strict,secured_advantage,23,-1,22,2,0,0,0,1,0,0,-3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0
uct-10000-self-play,2,1,strict,secured_advantage,23,0,23,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,2,1,strict,secured_advantage,23,1,24,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3
uct-10000-self-play,4,1,nonlosing,full_lexicographic,21,-2,19,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,2,0
uct-10000-self-play,4,1,nonlosing,full_lexicographic,21,-1,20,2,0,1,0,1,0,1,-2,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,1
uct-10000-self-play,4,1,nonlosing,full_lexicographic,21,0,21,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,4,1,nonlosing,full_lexicographic,21,1,22,2,0,1,0,0,0,1,-2,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,0,1
uct-10000-self-play,4,1,nonlosing,full_lexicographic,21,2,23,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,4,1,strict,full_lexicographic,21,-2,19,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,2,0
uct-10000-self-play,4,1,strict,full_lexicographic,21,-1,20,2,0,1,0,1,0,1,-2,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,1
uct-10000-self-play,4,1,strict,full_lexicographic,21,0,21,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,4,1,strict,full_lexicographic,21,1,22,2,0,1,0,0,0,1,-2,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,0,1
uct-10000-self-play,4,1,strict,full_lexicographic,21,2,23,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,4,1,nonlosing,secured,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
uct-10000-self-play,4,1,nonlosing,secured,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
uct-10000-self-play,4,1,nonlosing,secured,1,2,3,1,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,2,0,1,0,2,0
uct-10000-self-play,4,1,nonlosing,secured_advantage,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
uct-10000-self-play,4,1,nonlosing,secured_advantage,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
uct-10000-self-play,4,1,nonlosing,secured_advantage,1,2,3,1,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,2,0,1,0,2,0
uct-10000-self-play,4,1,strict,secured_advantage,21,-2,19,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,2,0
uct-10000-self-play,4,1,strict,secured_advantage,21,-1,20,2,0,1,0,1,0,1,-2,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,1
uct-10000-self-play,4,1,strict,secured_advantage,21,0,21,1,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0
uct-10000-self-play,4,1,strict,secured_advantage,21,1,22,2,0,1,0,0,0,1,-2,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,0,1
uct-10000-self-play,4,1,strict,secured_advantage,21,2,23,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,5,1,nonlosing,full_lexicographic,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0
uct-10000-self-play,5,1,nonlosing,full_lexicographic,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3
uct-10000-self-play,5,1,nonlosing,full_lexicographic,1,2,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,5,1,strict,full_lexicographic,5,-2,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,5,1,strict,full_lexicographic,5,-1,4,2,0,0,0,1,0,0,-2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,0,1
uct-10000-self-play,5,1,strict,full_lexicographic,5,0,5,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0
uct-10000-self-play,5,1,strict,full_lexicographic,5,1,6,2,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,2
uct-10000-self-play,5,1,strict,full_lexicographic,5,2,7,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,2,0
uct-10000-self-play,5,1,nonlosing,secured,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0
uct-10000-self-play,5,1,nonlosing,secured,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3
uct-10000-self-play,5,1,nonlosing,secured,1,2,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,1,0
uct-10000-self-play,5,1,strict,secured,21,-2,19,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3,0
uct-10000-self-play,5,1,strict,secured,21,-1,20,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3
uct-10000-self-play,5,1,strict,secured,21,0,21,1,1,0,0,0,1,0,1,1,0,1,0,0,1,2,0,1,0,1,1,0,1,0,1,0,1,0,2,0
uct-10000-self-play,5,1,strict,secured,21,1,22,2,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,2
uct-10000-self-play,5,1,strict,secured,21,2,23,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0
uct-10000-self-play,5,1,nonlosing,secured_advantage,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0
