experiment_id,checkpoint_turn,checkpoint_decisive_layer,margin_tier,games,lead_preserved,reversals,eventual_draws,reversal_rate
uct-10000-self-play,8,advantage_objectives,large,1,0,1,0,1.0
uct-10000-self-play,8,advantage_objectives,narrow,19,9,7,3,0.368421
uct-10000-self-play,8,objective_pieces,narrow,14,8,5,1,0.357143
uct-10000-self-play,8,secured_objectives,narrow,50,19,25,6,0.5
uct-10000-self-play,12,advantage_objectives,narrow,25,9,12,4,0.48
uct-10000-self-play,12,objective_pieces,narrow,7,3,3,1,0.428571
uct-10000-self-play,12,secured_objectives,large,7,5,2,0,0.285714
uct-10000-self-play,12,secured_objectives,narrow,43,18,20,5,0.465116
uct-10000-self-play,16,advantage_objectives,large,3,2,1,0,0.333333
uct-10000-self-play,16,advantage_objectives,narrow,21,10,9,2,0.428571
uct-10000-self-play,16,objective_pieces,narrow,4,2,2,0,0.5
uct-10000-self-play,16,secured_objectives,large,7,6,1,0,0.142857
uct-10000-self-play,16,secured_objectives,narrow,53,21,26,6,0.490566
uct-10000-self-play,20,advantage_objectives,large,10,8,2,0,0.2
uct-10000-self-play,20,advantage_objectives,narrow,19,9,7,3,0.368421
uct-10000-self-play,20,objective_pieces,large,3,0,3,0,1.0
uct-10000-self-play,20,objective_pieces,narrow,4,1,3,0,0.75
uct-10000-self-play,20,secured_objectives,large,3,2,0,1,0.0
uct-10000-self-play,20,secured_objectives,narrow,52,25,21,6,0.403846
uct-100000-self-play,8,advantage_objectives,large,1,1,0,0,0.0
uct-100000-self-play,8,advantage_objectives,narrow,32,11,19,2,0.59375
uct-100000-self-play,8,objective_pieces,narrow,16,6,10,0,0.625
uct-100000-self-play,8,secured_objectives,narrow,34,22,11,1,0.323529
uct-100000-self-play,12,advantage_objectives,narrow,26,14,11,1,0.423077
uct-100000-self-play,12,objective_pieces,narrow,3,3,0,0,0.0
uct-100000-self-play,12,secured_objectives,large,10,9,0,1,0.0
uct-100000-self-play,12,secured_objectives,narrow,42,21,20,1,0.47619
uct-100000-self-play,16,advantage_objectives,narrow,21,12,9,0,0.428571
uct-100000-self-play,16,objective_pieces,large,1,1,0,0,0.0
uct-100000-self-play,16,objective_pieces,narrow,5,3,1,1,0.2
uct-100000-self-play,16,secured_objectives,large,2,2,0,0,0.0
uct-100000-self-play,16,secured_objectives,narrow,53,31,19,3,0.358491
uct-100000-self-play,20,advantage_objectives,large,9,8,1,0,0.111111
uct-100000-self-play,20,advantage_objectives,narrow,26,19,7,0,0.269231
uct-100000-self-play,20,objective_pieces,narrow,5,3,2,0,0.4
uct-100000-self-play,20,secured_objectives,large,2,1,1,0,0.5
uct-100000-self-play,20,secured_objectives,narrow,46,23,21,2,0.456522
uct-30000-self-play,8,advantage_objectives,large,1,0,1,0,1.0
uct-30000-self-play,8,advantage_objectives,narrow,29,16,12,1,0.413793
uct-30000-self-play,8,objective_pieces,narrow,22,11,9,2,0.409091
uct-30000-self-play,8,secured_objectives,narrow,33,24,7,2,0.212121
uct-30000-self-play,12,advantage_objectives,narrow,26,10,16,0,0.615385
uct-30000-self-play,12,objective_pieces,narrow,3,2,1,0,0.333333
uct-30000-self-play,12,secured_objectives,large,4,2,1,1,0.25
uct-30000-self-play,12,secured_objectives,narrow,46,30,14,2,0.304348
uct-30000-self-play,16,advantage_objectives,large,2,2,0,0,0.0
uct-30000-self-play,16,advantage_objectives,narrow,17,8,8,1,0.470588
uct-30000-self-play,16,objective_pieces,large,1,1,0,0,0.0
uct-30000-self-play,16,objective_pieces,narrow,8,4,2,2,0.25
uct-30000-self-play,16,secured_objectives,large,4,3,1,0,0.25
uct-30000-self-play,16,secured_objectives,narrow,55,27,25,3,0.454545
uct-30000-self-play,20,advantage_objectives,large,15,14,0,1,0.0
uct-30000-self-play,20,advantage_objectives,narrow,21,16,5,0,0.238095
uct-30000-self-play,20,objective_pieces,large,3,1,2,0,0.666667
uct-30000-self-play,20,objective_pieces,narrow,5,2,3,0,0.6
uct-30000-self-play,20,secured_objectives,large,1,0,1,0,1.0
uct-30000-self-play,20,secured_objectives,narrow,49,25,20,4,0.408163
