experiment_id,checkpoint_turn,cohort,games,mean_checkpoint_secured_objectives_checkpoint_leader_relative,mean_checkpoint_advantage_objectives_checkpoint_leader_relative,mean_checkpoint_objective_pieces_checkpoint_leader_relative,mean_checkpoint_secured_supply_checkpoint_leader_relative,mean_checkpoint_unsecured_controlled_supply_checkpoint_leader_relative,mean_checkpoint_usable_supply_support_edges_checkpoint_leader_relative,mean_checkpoint_live_objectives
uct-10000-self-play,8,lead_preserved,36,0.527778,-0.583333,0.472222,0.25,-0.722222,-2.472222,14.916667
uct-10000-self-play,8,reversal,38,0.657895,-0.605263,0.657895,-0.368421,-0.289474,-3.026316,14.868421
uct-10000-self-play,12,lead_preserved,35,0.8,-0.628571,0.4,0.2,-0.6,-2.228571,13.028571
uct-10000-self-play,12,reversal,37,0.648649,-0.540541,0.351351,-0.189189,-0.162162,-2.135135,12.378378
uct-10000-self-play,16,lead_preserved,41,0.804878,-0.707317,0.146341,0.170732,-0.341463,-0.707317,10.609756
uct-10000-self-play,16,reversal,39,0.717949,-0.615385,0.153846,-0.153846,0.0,-1.410256,10.307692
uct-10000-self-play,20,lead_preserved,45,0.644444,-0.044444,0.355556,0.133333,-0.511111,-0.688889,8.288889
uct-10000-self-play,20,reversal,36,0.583333,-0.638889,0.222222,-0.111111,-0.111111,-1.027778,8.027778
uct-100000-self-play,8,lead_preserved,40,0.55,-0.425,0.85,0.4,-1.25,-3.475,15.25
uct-100000-self-play,8,reversal,40,0.275,0.075,0.8,0.325,-1.125,-3.25,15.575
uct-100000-self-play,12,lead_preserved,47,0.829787,-0.808511,0.404255,0.12766,-0.510638,-1.851064,13.723404
uct-100000-self-play,12,reversal,31,0.645161,-0.612903,0.322581,0.451613,-0.774194,-1.935484,13.225806
uct-100000-self-play,16,lead_preserved,49,0.714286,-0.591837,0.408163,0.387755,-0.755102,-1.183673,10.632653
uct-100000-self-play,16,reversal,29,0.655172,-0.448276,0.275862,0.37931,-0.655172,-2.37931,10.931034
uct-100000-self-play,20,lead_preserved,54,0.462963,0.407407,0.851852,0.148148,-0.962963,-1.351852,8.388889
uct-100000-self-play,20,reversal,32,0.71875,-0.6875,0.1875,0.09375,-0.28125,-1.3125,8.40625
uct-30000-self-play,8,lead_preserved,51,0.470588,-0.352941,0.745098,0.058824,-0.803922,-2.960784,15.333333
uct-30000-self-play,8,reversal,29,0.241379,0.137931,0.689655,0.137931,-0.827586,-2.965517,15.551724
uct-30000-self-play,12,lead_preserved,44,0.772727,-0.727273,0.363636,0.136364,-0.5,-1.727273,13.409091
uct-30000-self-play,12,reversal,32,0.5,-0.25,0.375,0.09375,-0.46875,-2.40625,12.6875
uct-30000-self-play,16,lead_preserved,45,0.733333,-0.622222,0.2,0.577778,-0.777778,-1.044444,10.911111
uct-30000-self-play,16,reversal,36,0.75,-0.805556,0.138889,-0.25,0.111111,-1.472222,10.861111
uct-30000-self-play,20,lead_preserved,58,0.431034,0.586207,0.810345,0.068966,-0.87931,-1.051724,8.189655
uct-30000-self-play,20,reversal,31,0.709677,-0.903226,0.064516,-0.129032,0.064516,-0.83871,8.258065
