experiment_id,checkpoint_turn,takeover_decisive_layer,final_decisive_layer,games,mean_mechanism_secured_objective_reversal,mean_mechanism_advantage_conversion_reversal,mean_mechanism_objective_piece_tiebreak_reversal
uct-10000-self-play,8,advantage_objectives,advantage_objectives,5,1.0,1.0,0.4
uct-10000-self-play,8,advantage_objectives,secured_objectives,1,1.0,1.0,0.0
uct-10000-self-play,8,objective_pieces,objective_pieces,5,1.0,0.8,1.0
uct-10000-self-play,8,secured_objectives,advantage_objectives,2,1.0,0.0,0.0
uct-10000-self-play,8,secured_objectives,objective_pieces,1,1.0,0.0,0.0
uct-10000-self-play,8,secured_objectives,secured_objectives,24,1.0,0.791667,0.208333
uct-10000-self-play,12,advantage_objectives,advantage_objectives,12,1.0,0.916667,0.083333
uct-10000-self-play,12,objective_pieces,objective_pieces,4,1.0,0.75,1.0
uct-10000-self-play,12,secured_objectives,objective_pieces,1,1.0,0.0,0.0
uct-10000-self-play,12,secured_objectives,secured_objectives,20,1.0,0.55,0.1
uct-10000-self-play,16,advantage_objectives,advantage_objectives,10,1.0,0.8,0.0
uct-10000-self-play,16,advantage_objectives,secured_objectives,1,1.0,1.0,0.0
uct-10000-self-play,16,objective_pieces,objective_pieces,5,1.0,0.6,1.0
uct-10000-self-play,16,secured_objectives,advantage_objectives,2,1.0,0.0,0.0
uct-10000-self-play,16,secured_objectives,objective_pieces,1,1.0,0.0,0.0
uct-10000-self-play,16,secured_objectives,secured_objectives,20,1.0,0.3,0.1
uct-10000-self-play,20,advantage_objectives,advantage_objectives,9,0.777778,0.555556,0.0
uct-10000-self-play,20,advantage_objectives,secured_objectives,2,0.5,0.5,0.0
uct-10000-self-play,20,objective_pieces,objective_pieces,3,1.0,0.666667,1.0
uct-10000-self-play,20,secured_objectives,advantage_objectives,2,1.0,0.0,0.0
uct-10000-self-play,20,secured_objectives,secured_objectives,20,1.0,0.05,0.05
uct-100000-self-play,8,advantage_objectives,advantage_objectives,13,1.0,0.923077,0.076923
uct-100000-self-play,8,advantage_objectives,secured_objectives,2,1.0,0.5,0.0
uct-100000-self-play,8,objective_pieces,objective_pieces,3,1.0,1.0,1.0
uct-100000-self-play,8,secured_objectives,advantage_objectives,2,1.0,1.0,0.0
uct-100000-self-play,8,secured_objectives,secured_objectives,20,1.0,0.8,0.15
uct-100000-self-play,12,advantage_objectives,advantage_objectives,7,1.0,0.857143,0.0
uct-100000-self-play,12,advantage_objectives,secured_objectives,2,1.0,0.0,0.0
uct-100000-self-play,12,objective_pieces,objective_pieces,2,1.0,1.0,1.0
uct-100000-self-play,12,objective_pieces,secured_objectives,1,0.0,1.0,1.0
uct-100000-self-play,12,secured_objectives,advantage_objectives,1,1.0,1.0,0.0
uct-100000-self-play,12,secured_objectives,objective_pieces,1,1.0,0.0,0.0
uct-100000-self-play,12,secured_objectives,secured_objectives,17,1.0,0.470588,0.235294
uct-100000-self-play,16,advantage_objectives,advantage_objectives,7,1.0,0.428571,0.0
uct-100000-self-play,16,advantage_objectives,objective_pieces,1,1.0,1.0,0.0
uct-100000-self-play,16,advantage_objectives,secured_objectives,1,1.0,0.0,0.0
uct-100000-self-play,16,objective_pieces,objective_pieces,2,1.0,0.5,1.0
uct-100000-self-play,16,objective_pieces,secured_objectives,1,1.0,1.0,0.0
uct-100000-self-play,16,secured_objectives,advantage_objectives,2,1.0,0.0,0.0
uct-100000-self-play,16,secured_objectives,secured_objectives,15,1.0,0.533333,0.2
uct-100000-self-play,20,advantage_objectives,advantage_objectives,8,0.875,0.375,0.0
uct-100000-self-play,20,advantage_objectives,objective_pieces,1,1.0,0.0,0.0
uct-100000-self-play,20,objective_pieces,objective_pieces,2,1.0,0.5,1.0
uct-100000-self-play,20,objective_pieces,secured_objectives,2,1.0,0.0,0.5
uct-100000-self-play,20,secured_objectives,advantage_objectives,3,1.0,0.0,0.0
uct-100000-self-play,20,secured_objectives,secured_objectives,16,1.0,0.0625,0.125
uct-30000-self-play,8,advantage_objectives,advantage_objectives,8,1.0,0.875,0.25
uct-30000-self-play,8,advantage_objectives,objective_pieces,1,1.0,0.0,0.0
uct-30000-self-play,8,secured_objectives,advantage_objectives,2,1.0,0.5,0.0
uct-30000-self-play,8,secured_objectives,secured_objectives,18,1.0,0.722222,0.166667
uct-30000-self-play,12,advantage_objectives,advantage_objectives,9,0.888889,0.777778,0.333333
uct-30000-self-play,12,advantage_objectives,secured_objectives,2,1.0,0.0,0.5
uct-30000-self-play,12,secured_objectives,advantage_objectives,4,1.0,0.5,0.0
uct-30000-self-play,12,secured_objectives,secured_objectives,17,1.0,0.588235,0.235294
uct-30000-self-play,16,advantage_objectives,advantage_objectives,10,1.0,0.5,0.1
uct-30000-self-play,16,advantage_objectives,secured_objectives,3,1.0,0.0,0.0
uct-30000-self-play,16,objective_pieces,secured_objectives,1,1.0,0.0,1.0
uct-30000-self-play,16,secured_objectives,advantage_objectives,3,1.0,0.0,0.0
uct-30000-self-play,16,secured_objectives,objective_pieces,1,1.0,0.0,0.0
uct-30000-self-play,16,secured_objectives,secured_objectives,18,1.0,0.277778,0.111111
uct-30000-self-play,20,advantage_objectives,advantage_objectives,7,1.0,0.285714,0.0
uct-30000-self-play,20,advantage_objectives,secured_objectives,2,1.0,0.0,0.0
uct-30000-self-play,20,secured_objectives,advantage_objectives,3,1.0,0.0,0.0
uct-30000-self-play,20,secured_objectives,secured_objectives,19,1.0,0.052632,0.052632
