experiment_id,game_index,checkpoint_turn,cohort,checkpoint_leader,winner,global_strict_persistence_turn,post_checkpoint_takeover_turn,takeover_decisive_layer,final_decisive_layer,checkpoint_turn_number,checkpoint_mover,checkpoint_next_mover,checkpoint_p1_secured_objectives,checkpoint_p2_secured_objectives,checkpoint_secured_objective_difference,checkpoint_p1_advantage_objectives,checkpoint_p2_advantage_objectives,checkpoint_advantage_objective_difference,checkpoint_p1_objective_pieces,checkpoint_p2_objective_pieces,checkpoint_objective_piece_difference,checkpoint_p1_secured_supply,checkpoint_p2_secured_supply,checkpoint_secured_supply_difference,checkpoint_p1_unsecured_controlled_supply,checkpoint_p2_unsecured_controlled_supply,checkpoint_unsecured_controlled_supply_difference,checkpoint_p1_supply_placements,checkpoint_p2_supply_placements,checkpoint_p1_objective_placements,checkpoint_p2_objective_placements,checkpoint_p1_cumulative_supply_placements,checkpoint_p2_cumulative_supply_placements,checkpoint_p1_cumulative_objective_placements,checkpoint_p2_cumulative_objective_placements,checkpoint_p1_cumulative_supply_source_usage,checkpoint_p2_cumulative_supply_source_usage,checkpoint_supply_source_usage_difference,checkpoint_important_supply_source_uses_this_turn,checkpoint_p1_cumulative_important_supply_source_usage,checkpoint_p2_cumulative_important_supply_source_usage,checkpoint_p1_primary_important_sites_controlled,checkpoint_p2_primary_important_sites_controlled,checkpoint_primary_important_control_difference,checkpoint_p1_primary_important_site_list,checkpoint_p2_primary_important_site_list,checkpoint_new_secured_objectives_p1,checkpoint_new_secured_objectives_p2,checkpoint_advantage_gains_p1,checkpoint_advantage_gains_p2,checkpoint_advantage_losses_p1,checkpoint_advantage_losses_p2,checkpoint_objective_piece_difference_change,checkpoint_new_secured_supply_p1,checkpoint_new_secured_supply_p2,checkpoint_important_control_gains_p1,checkpoint_important_control_gains_p2,checkpoint_important_control_losses_p1,checkpoint_important_control_losses_p2,checkpoint_live_objectives,checkpoint_full_lexicographic_leader,checkpoint_current_decisive_layer,checkpoint_turn_allocation_type,checkpoint_supply_placement_change_from_prior_own_turn,checkpoint_usable_supply_support_edges_p1,checkpoint_unsecured_control_losses_p1,checkpoint_contested_supply_points_p1,checkpoint_supply_placements_p1,checkpoint_objective_placements_p1,checkpoint_supply_source_uses_p1,checkpoint_important_supply_source_uses_p1,checkpoint_supply_source_uses_after_securing_p1,checkpoint_objective_advantage_to_neutral_p1,checkpoint_objective_advantage_to_opponent_p1,checkpoint_usable_supply_support_edges_p2,checkpoint_unsecured_control_losses_p2,checkpoint_contested_supply_points_p2,checkpoint_supply_placements_p2,checkpoint_objective_placements_p2,checkpoint_supply_source_uses_p2,checkpoint_important_supply_source_uses_p2,checkpoint_supply_source_uses_after_securing_p2,checkpoint_objective_advantage_to_neutral_p2,checkpoint_objective_advantage_to_opponent_p2,checkpoint_secured_objectives_p1,checkpoint_secured_objectives_p2,checkpoint_secured_objectives_p1_minus_p2,checkpoint_secured_objectives_checkpoint_leader_relative,checkpoint_secured_objectives_eventual_winner_relative,checkpoint_advantage_objectives_p1,checkpoint_advantage_objectives_p2,checkpoint_advantage_objectives_p1_minus_p2,checkpoint_advantage_objectives_checkpoint_leader_relative,checkpoint_advantage_objectives_eventual_winner_relative,checkpoint_objective_pieces_p1,checkpoint_objective_pieces_p2,checkpoint_objective_pieces_p1_minus_p2,checkpoint_objective_pieces_checkpoint_leader_relative,checkpoint_objective_pieces_eventual_winner_relative,checkpoint_secured_supply_p1,checkpoint_secured_supply_p2,checkpoint_secured_supply_p1_minus_p2,checkpoint_secured_supply_checkpoint_leader_relative,checkpoint_secured_supply_eventual_winner_relative,checkpoint_unsecured_controlled_supply_p1,checkpoint_unsecured_controlled_supply_p2,checkpoint_unsecured_controlled_supply_p1_minus_p2,checkpoint_unsecured_controlled_supply_checkpoint_leader_relative,checkpoint_unsecured_controlled_supply_eventual_winner_relative,checkpoint_usable_supply_support_edges_p1_minus_p2,checkpoint_usable_supply_support_edges_checkpoint_leader_relative,checkpoint_usable_supply_support_edges_eventual_winner_relative,mechanism_secured_objective_reversal,mechanism_advantage_conversion_reversal,mechanism_objective_piece_tiebreak_reversal,mechanism_supply_degradation,mechanism_supply_reinvestment,mechanism_mixed,secured_objective_reversal_event_turns,advantage_conversion_event_turns,objective_piece_tiebreak_event_turns,supply_baseline_start_turn,supply_baseline_end_turn,supply_lookback_start_turn,supply_lookback_end_turn,leader_baseline_usable_support_edges,leader_lookback_usable_support_edges,leader_usable_support_edge_delta,winner_baseline_usable_support_edges,winner_lookback_usable_support_edges,winner_usable_support_edge_delta,configured_support_edge_change_threshold,leader_baseline_supply_source_usage_mean,leader_lookback_supply_source_usage_mean,configured_usage_mean_change_threshold,winner_baseline_supply_placement_mean,winner_lookback_supply_placement_mean,configured_placement_mean_change_threshold,indicator_degradation_unsecured_control_loss,indicator_degradation_important_control_loss,indicator_degradation_support_edge_decline,indicator_degradation_source_usage_decline,indicator_reinvestment_supply_placement_increase,indicator_reinvestment_new_secured_supply,indicator_reinvestment_important_control_gain,indicator_reinvestment_support_edge_increase,degradation_indicator_count,reinvestment_indicator_count,configured_minimum_indicators
uct-10000-self-play,1,8,reversal,2,1,15,15,secured_objectives,secured_objectives,8,2,1,0,1,-1,2,0,2,4,3,1,1,1,0,0,1,-1,0,2,0,1,8,9,4,3,4,3,1,1,2,3,0,2,-2,,S21;S23,0,1,0,0,0,1,-1,0,1,0,1,1,0,15,-1,secured_objectives,mixed,0,3,1,4,0,0,0,0,0,0,0,7,0,4,2,1,1,1,0,0,0,0,1,-1,1,-1,2,0,2,-2,2,4,3,1,-1,1,1,1,0,0,0,0,1,-1,1,-1,-4,4,-4,1,1,0,0,1,1,9;15,11,,7,10,11,14,6.25,9.5,3.25,5.25,7.75,2.5,1.0,1.0,2.0,0.5,2.0,1.5,0.5,0,0,0,0,0,1,1,1,0,3,2
uct-10000-self-play,1,12,lead_preserved,1,1,15,,,secured_objectives,12,2,1,1,1,0,2,1,1,6,5,1,2,1,1,0,2,-2,0,2,0,1,12,13,6,5,6,5,1,1,2,5,1,3,-2,S22,S12;S21;S23,0,0,0,0,0,0,-1,0,0,0,1,1,0,14,1,advantage_objectives,mixed,0,5,1,6,0,0,0,0,0,0,0,11,0,6,2,1,1,1,0,0,0,1,1,0,0,0,2,1,1,1,1,6,5,1,1,1,2,1,1,1,1,0,2,-2,-2,-2,-6,-6,-6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,1,16,lead_preserved,1,1,15,,,secured_objectives,16,2,1,3,2,1,1,3,-2,11,11,0,3,1,2,0,2,-2,0,0,0,3,13,13,11,11,11,11,0,3,5,11,2,3,-1,S13;S22,S12;S21;S23,0,0,0,1,0,0,-3,0,0,0,0,0,0,11,1,secured_objectives,all_objective,0,6,0,6,0,0,0,0,0,0,0,8,0,6,0,3,3,3,1,0,0,3,2,1,1,1,1,3,-2,-2,-2,11,11,0,0,0,3,1,2,2,2,0,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,1,20,lead_preserved,1,1,15,,,secured_objectives,20,2,1,4,3,1,2,3,-1,14,14,0,3,2,1,0,1,-1,0,2,0,1,16,16,14,14,14,14,0,1,8,14,2,2,0,S13;S22,S12;S23,0,0,0,1,0,0,-1,0,1,0,1,0,0,9,1,secured_objectives,mixed,1,4,0,8,0,0,0,0,0,0,0,6,0,8,2,1,1,1,1,0,0,4,3,1,1,1,2,3,-1,-1,-1,14,14,0,0,0,3,2,1,1,1,0,1,-1,-1,-1,-2,-2,-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,2,8,lead_preserved,1,1,23,,,secured_objectives,8,2,1,0,0,0,2,2,0,3,2,1,1,1,0,0,1,-1,0,3,0,0,9,10,3,2,3,2,1,0,2,1,1,1,0,S22,S12,0,0,0,0,0,0,0,0,1,0,1,1,0,16,1,objective_pieces,all_supply,1,4,1,6,0,0,0,0,0,0,0,8,0,6,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,2,1,1,1,1,1,0,0,0,0,1,-1,-1,-1,-4,-4,-4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,2,12,tied_at_checkpoint,,1,23,,,secured_objectives,12,2,1,1,1,0,2,2,0,6,6,0,1,1,0,1,1,0,0,1,0,2,12,12,6,6,6,6,0,1,4,3,1,1,0,S22,S12,0,1,0,0,0,1,-2,0,0,0,0,1,0,14,0,,mixed,0,7,1,7,0,0,0,0,0,0,0,6,0,7,1,2,2,1,1,0,0,1,1,0,,0,2,2,0,,0,6,6,0,,0,1,1,0,,0,1,1,0,,0,1,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,2,16,tied_at_checkpoint,,1,23,,,secured_objectives,16,2,1,2,2,0,2,2,0,9,9,0,3,2,1,0,1,-1,0,1,0,2,15,15,9,9,9,9,0,1,6,5,2,2,0,S22;S23,S12;S21,0,1,0,0,0,1,-2,0,0,0,1,0,0,12,0,,mixed,-1,9,0,7,0,0,0,0,0,0,0,7,0,7,1,2,2,1,2,0,0,2,2,0,,0,2,2,0,,0,9,9,0,,0,3,2,1,,1,0,1,-1,,-1,2,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,2,20,reversal,2,1,23,23,secured_objectives,secured_objectives,20,2,1,4,4,0,2,3,-1,14,15,-1,3,2,1,1,1,0,0,0,0,3,16,15,14,15,14,15,-1,2,9,9,2,2,0,S22;S23,S12;S21,0,1,0,2,0,1,-3,0,0,0,0,0,0,8,-1,advantage_objectives,all_objective,0,6,0,7,0,0,0,0,0,0,0,3,0,7,0,3,3,2,2,0,0,4,4,0,0,0,2,3,-1,1,-1,14,15,-1,1,-1,3,2,1,-1,1,1,1,0,0,0,3,-3,3,1,1,0,0,0,1,23,21,,15,18,19,22,6.0,3.5,-2.5,6.25,6.0,-0.25,1.0,2.5,3.0,0.5,1.0,0.5,0.5,0,0,1,0,0,0,0,0,1,0,2
uct-10000-self-play,3,8,eventual_draw,1,0,,,,,8,2,1,2,1,1,1,2,-1,7,7,0,0,0,0,3,3,0,0,0,0,3,5,5,7,7,7,7,0,1,4,3,2,1,1,S12;S22,S21,0,1,0,1,0,1,-3,0,0,0,0,0,0,13,1,secured_objectives,all_objective,-1,7,0,2,0,0,0,0,0,0,0,7,0,2,0,3,3,1,0,0,0,2,1,1,1,,1,2,-1,-1,,7,7,0,0,,0,0,0,0,,3,3,0,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,3,12,eventual_draw,1,0,,,,,12,2,1,3,3,0,2,1,1,11,10,1,0,0,0,3,4,-1,0,2,0,1,7,8,11,10,11,10,1,0,7,3,2,0,2,S12;S22,,0,0,0,1,0,0,-1,0,0,0,0,0,0,10,1,advantage_objectives,mixed,1,4,0,4,0,0,0,0,0,0,0,8,0,4,2,1,1,0,0,0,0,3,3,0,0,,2,1,1,1,,11,10,1,1,,0,0,0,0,,3,4,-1,-1,,-4,-4,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uct-10000-self-play,3,16,eventual_draw,1,0,,,,,16,2,1,4,3,1,2,2,0,15,13,2,0,0,0,2,4,-2,0,2,0,1,9,11,15,13,15,13,2,0,10,3,2,0,2,S12;S22,,0,0,0,0,0,0,-1,0,0,0,0,0,0,9,1,secured_objectives,mixed,1,1,0,6,0,0,0,0,0,0,0,7,0,6,2,1,1,0,0,0,0,4,3,1,1,,2,2,0,0,,15,13,2,2,,0,0,0,0,,2,4,-2,-2,,-6,-6,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
