experiment_id,checkpoint_turn,cohort,games,mean_checkpoint_secured_objectives_checkpoint_leader_relative,mean_checkpoint_advantage_objectives_checkpoint_leader_relative,mean_checkpoint_objective_pieces_checkpoint_leader_relative,mean_checkpoint_usable_supply_support_edges_checkpoint_leader_relative
uct-10000-self-play,8,eventual_draw,10,0.6,-0.5,0.7,-3.4
uct-10000-self-play,8,lead_preserved,36,0.527778,-0.583333,0.472222,-2.472222
uct-10000-self-play,8,reversal,38,0.657895,-0.605263,0.657895,-3.026316
uct-10000-self-play,8,tied_at_checkpoint,16,,,,
uct-10000-self-play,12,eventual_draw,10,0.5,-0.3,0.6,-2.6
uct-10000-self-play,12,lead_preserved,35,0.8,-0.628571,0.4,-2.228571
uct-10000-self-play,12,reversal,37,0.648649,-0.540541,0.351351,-2.135135
uct-10000-self-play,12,tied_at_checkpoint,18,,,,
uct-10000-self-play,16,eventual_draw,8,0.75,-0.375,0.5,-0.125
uct-10000-self-play,16,lead_preserved,41,0.804878,-0.707317,0.146341,-0.707317
uct-10000-self-play,16,reversal,39,0.717949,-0.615385,0.153846,-1.410256
uct-10000-self-play,16,tied_at_checkpoint,12,,,,
uct-10000-self-play,20,eventual_draw,10,0.8,-0.7,0.7,-1.3
uct-10000-self-play,20,lead_preserved,45,0.644444,-0.044444,0.355556,-0.688889
uct-10000-self-play,20,reversal,36,0.583333,-0.638889,0.222222,-1.027778
uct-10000-self-play,20,tied_at_checkpoint,9,,,,
uct-100000-self-play,8,eventual_draw,3,0.333333,0.333333,0.333333,-1.666667
uct-100000-self-play,8,lead_preserved,40,0.55,-0.425,0.85,-3.475
uct-100000-self-play,8,reversal,40,0.275,0.075,0.8,-3.25
uct-100000-self-play,8,tied_at_checkpoint,14,,,,
uct-100000-self-play,12,eventual_draw,3,1.0,-1.333333,0.0,-2.0
uct-100000-self-play,12,lead_preserved,47,0.829787,-0.808511,0.404255,-1.851064
uct-100000-self-play,12,reversal,31,0.645161,-0.612903,0.322581,-1.935484
uct-100000-self-play,12,tied_at_checkpoint,16,,,,
uct-100000-self-play,16,eventual_draw,4,0.75,-1.25,0.0,-0.5
uct-100000-self-play,16,lead_preserved,49,0.714286,-0.591837,0.408163,-1.183673
uct-100000-self-play,16,reversal,29,0.655172,-0.448276,0.275862,-2.37931
uct-100000-self-play,16,tied_at_checkpoint,15,,,,
uct-100000-self-play,20,eventual_draw,2,1.0,-1.0,-0.5,0.5
uct-100000-self-play,20,lead_preserved,54,0.462963,0.407407,0.851852,-1.351852
uct-100000-self-play,20,reversal,32,0.71875,-0.6875,0.1875,-1.3125
uct-100000-self-play,20,tied_at_checkpoint,9,,,,
uct-30000-self-play,8,eventual_draw,5,0.4,-0.2,0.8,-3.4
uct-30000-self-play,8,lead_preserved,51,0.470588,-0.352941,0.745098,-2.960784
uct-30000-self-play,8,reversal,29,0.241379,0.137931,0.689655,-2.965517
uct-30000-self-play,8,tied_at_checkpoint,15,,,,
uct-30000-self-play,12,eventual_draw,3,1.333333,-1.666667,0.333333,-3.0
uct-30000-self-play,12,lead_preserved,44,0.772727,-0.727273,0.363636,-1.727273
uct-30000-self-play,12,reversal,32,0.5,-0.25,0.375,-2.40625
uct-30000-self-play,12,tied_at_checkpoint,21,,,,
uct-30000-self-play,16,eventual_draw,6,0.5,-0.833333,0.166667,-0.833333
uct-30000-self-play,16,lead_preserved,45,0.733333,-0.622222,0.2,-1.044444
uct-30000-self-play,16,reversal,36,0.75,-0.805556,0.138889,-1.472222
uct-30000-self-play,16,tied_at_checkpoint,13,,,,
uct-30000-self-play,20,eventual_draw,5,0.8,-1.0,-0.2,0.0
uct-30000-self-play,20,lead_preserved,58,0.431034,0.586207,0.810345,-1.051724
uct-30000-self-play,20,reversal,31,0.709677,-0.903226,0.064516,-0.83871
uct-30000-self-play,20,tied_at_checkpoint,6,,,,
