experiment_id,checkpoint_turn,games,mean_mechanism_supply_degradation,mean_mechanism_supply_reinvestment,mean_leader_usable_support_edge_delta,mean_winner_usable_support_edge_delta,mean_degradation_indicator_count,mean_reinvestment_indicator_count
uct-10000-self-play,8,38,0.473684,0.473684,-1.072368,-0.934211,1.421053,1.315789
uct-10000-self-play,12,37,0.513514,0.27027,-0.641892,-0.77027,1.486486,1.054054
uct-10000-self-play,16,39,0.564103,0.333333,-0.762821,-1.00641,1.589744,1.051282
uct-10000-self-play,20,36,0.527778,0.444444,-0.881944,-0.416667,1.416667,1.444444
uct-100000-self-play,8,40,0.6,0.375,-1.0875,-1.43125,1.75,1.15
uct-100000-self-play,12,31,0.516129,0.354839,-0.967742,-1.322581,1.548387,1.225806
uct-100000-self-play,16,29,0.586207,0.275862,-0.896552,-1.431034,1.655172,1.103448
uct-100000-self-play,20,32,0.6875,0.46875,-1.304688,-1.195312,1.78125,1.375
uct-30000-self-play,8,29,0.344828,0.37931,-0.137931,-0.887931,1.275862,1.172414
uct-30000-self-play,12,32,0.5,0.4375,-0.632812,-0.960938,1.5625,1.375
uct-30000-self-play,16,36,0.444444,0.333333,-0.770833,-1.284722,1.361111,1.166667
uct-30000-self-play,20,31,0.548387,0.419355,-0.975806,-0.774194,1.677419,1.387097
