experiment_id,checkpoint_turn,model_name,feature_group,eligible_games,reversals,lead_preserved,feature_count_configured,l2_regularization_coefficient,standardization_policy,zero_variance_handling,oof_roc_auc,fold_mean_roc_auc,fold_std_roc_auc,oof_balanced_accuracy,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,oof_average_precision,fold_mean_average_precision,fold_std_average_precision
uct-10000-self-play,8,majority_class,baseline,74,38,36,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.513514,0.513333,0.018257
uct-10000-self-play,8,decisive_margin_only,baseline,74,38,36,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.483918,0.5,0.0,0.5,0.5,0.0,0.504629,0.513333,0.018257
uct-10000-self-play,8,current_objective_state,baseline,74,38,36,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.54386,0.558673,0.122286,0.540936,0.5375,0.073193,0.59686,0.603545,0.132797
uct-10000-self-play,12,majority_class,baseline,72,37,35,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.513889,0.513333,0.018257
uct-10000-self-play,12,decisive_margin_only,baseline,72,37,35,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.500386,0.542857,0.108327,0.501544,0.5,0.050508,0.509893,0.541805,0.060441
uct-10000-self-play,12,current_objective_state,baseline,72,37,35,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.394208,0.371939,0.131029,0.437838,0.441071,0.143914,0.470083,0.491465,0.061165
uct-10000-self-play,16,majority_class,baseline,80,39,41,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.4875,0.487451,0.017239
uct-10000-self-play,16,decisive_margin_only,baseline,80,39,41,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.525016,0.570833,0.123779,0.57192,0.570833,0.123779,0.497035,0.533571,0.053627
uct-10000-self-play,16,current_objective_state,baseline,80,39,41,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.406817,0.414707,0.1082,0.393996,0.391667,0.051875,0.439367,0.465595,0.060326
uct-10000-self-play,20,majority_class,baseline,81,36,45,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.444444,0.444118,0.014798
uct-10000-self-play,20,decisive_margin_only,baseline,81,36,45,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.504938,0.539683,0.074239,0.5,0.5,0.0,0.44559,0.468359,0.058715
uct-10000-self-play,20,current_objective_state,baseline,81,36,45,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.629938,0.663095,0.155196,0.505556,0.506151,0.100938,0.516868,0.626523,0.160613
uct-100000-self-play,8,majority_class,baseline,80,40,40,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
uct-100000-self-play,8,decisive_margin_only,baseline,80,40,40,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
uct-100000-self-play,8,current_objective_state,baseline,80,40,40,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.544687,0.564063,0.167505,0.6375,0.6375,0.135497,0.534678,0.581508,0.104351
uct-100000-self-play,12,majority_class,baseline,78,31,47,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.397436,0.397353,0.013494
uct-100000-self-play,12,decisive_margin_only,baseline,78,31,47,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.572752,0.594444,0.040062,0.5,0.5,0.0,0.434755,0.449451,0.031659
uct-100000-self-play,12,current_objective_state,baseline,78,31,47,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.459849,0.461402,0.132846,0.446809,0.444444,0.096225,0.369932,0.42867,0.049373
uct-100000-self-play,16,majority_class,baseline,78,29,49,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.371795,0.371429,0.007986
uct-100000-self-play,16,decisive_margin_only,baseline,78,29,49,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.518649,0.531111,0.028491,0.5,0.5,0.0,0.380307,0.386923,0.012566
uct-100000-self-play,16,current_objective_state,baseline,78,29,49,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.460943,0.516667,0.247277,0.5,0.5,0.0,0.345422,0.442042,0.103962
uct-100000-self-play,20,majority_class,baseline,86,32,54,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.372093,0.371732,0.018066
uct-100000-self-play,20,decisive_margin_only,baseline,86,32,54,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.531829,0.551775,0.025588,0.5,0.5,0.0,0.386195,0.39805,0.024707
uct-100000-self-play,20,current_objective_state,baseline,86,32,54,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.700231,0.719156,0.135452,0.582176,0.585541,0.030509,0.604156,0.687157,0.138561
uct-30000-self-play,8,majority_class,baseline,80,29,51,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.3625,0.362255,0.018778
uct-30000-self-play,8,decisive_margin_only,baseline,80,29,51,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.486139,0.5,0.0,0.5,0.5,0.0,0.354162,0.362255,0.018778
uct-30000-self-play,8,current_objective_state,baseline,80,29,51,3,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.554767,0.584,0.108919,0.497634,0.496667,0.007454,0.417837,0.483911,0.106654
uct-30000-self-play,12,majority_class,baseline,76,32,44,0,0.0,none,not_applicable,0.5,0.5,0.0,0.5,0.5,0.0,0.421053,0.420714,0.019258
uct-30000-self-play,12,decisive_margin_only,baseline,76,32,44,1,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.473011,0.485714,0.024073,0.5,0.5,0.0,0.4044,0.419184,0.017842
