experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference,absolute_effect_rank
uct-10000-self-play,8,leader_trend_4_secured_supply_margin,38,36,-0.421053,0.0,0.194444,0.0,-0.658506,lower_in_reversal,0.658506,1
uct-10000-self-play,8,leader_secured_supply_margin,38,36,-0.368421,0.0,0.25,0.0,-0.638267,lower_in_reversal,0.638267,2
uct-10000-self-play,8,leader_trend_2_secured_supply_margin,38,36,-0.236842,0.0,0.222222,0.0,-0.580092,lower_in_reversal,0.580092,3
uct-10000-self-play,8,leader_recent_2_objective_placements,38,36,1.526316,1.0,1.138889,1.0,0.521228,higher_in_reversal,0.521228,4
uct-10000-self-play,8,leader_recent_2_supply_placements,38,36,1.473684,2.0,1.861111,2.0,-0.521228,lower_in_reversal,0.521228,5
uct-10000-self-play,8,leader_recent_2_objective_share_margin,38,36,0.078947,0.0,-0.018519,0.0,0.520091,higher_in_reversal,0.520091,6
uct-10000-self-play,8,leader_recent_2_supply_source_usage_margin,38,36,0.236842,0.0,-0.055556,0.0,0.520091,higher_in_reversal,0.520091,7
uct-10000-self-play,8,leader_trend_2_objective_piece_margin,38,36,0.236842,0.0,-0.055556,0.0,0.520091,higher_in_reversal,0.520091,8
uct-10000-self-play,8,leader_trend_2_secured_objective_margin,38,36,0.552632,1.0,0.277778,0.0,0.513636,higher_in_reversal,0.513636,9
uct-10000-self-play,8,leader_recent_2_all_supply_turn_margin,38,36,-0.131579,0.0,0.027778,0.0,-0.499976,lower_in_reversal,0.499976,10
uct-10000-self-play,8,opponent_secured_supply,38,36,0.763158,1.0,0.444444,0.0,0.495758,higher_in_reversal,0.495758,11
uct-10000-self-play,8,leader_secured_supply,38,36,0.394737,0.0,0.694444,1.0,-0.458848,lower_in_reversal,0.458848,12
uct-10000-self-play,8,leader_trend_2_usable_support_edges,38,36,-0.894737,-1.0,0.416667,-0.5,-0.411759,lower_in_reversal,0.411759,13
uct-10000-self-play,8,contested_supply_count,38,36,4.210526,4.0,4.694444,5.0,-0.402732,lower_in_reversal,0.402732,14
uct-10000-self-play,8,S21_leader_relative_state,38,36,-0.263158,0.0,-0.611111,-0.5,0.402065,higher_in_reversal,0.402065,15
uct-10000-self-play,8,leader_recent_4_all_supply_turn_margin,38,36,-0.236842,0.0,-0.027778,0.0,-0.398261,lower_in_reversal,0.398261,16
uct-10000-self-play,8,leader_trend_2_support_edge_margin,38,36,-1.131579,0.0,-0.055556,0.0,-0.394287,lower_in_reversal,0.394287,17
uct-10000-self-play,8,leader_recent_4_supply_allocation_change,38,36,-0.026316,-0.0,0.101852,-0.0,-0.378245,lower_in_reversal,0.378245,18
uct-10000-self-play,8,S13_leader_relative_state,38,36,-0.236842,0.0,0.083333,0.0,-0.37102,lower_in_reversal,0.37102,19
uct-10000-self-play,8,leader_unsecured_controlled_supply_margin,38,36,-0.289474,0.0,-0.722222,-1.0,0.365308,higher_in_reversal,0.365308,20
