experiment_id,checkpoint_turn,model_name,feature_group,eligible_games,reversals,lead_preserved,feature_count_configured,l2_regularization_coefficient,standardization_policy,zero_variance_handling,oof_roc_auc,fold_mean_roc_auc,fold_std_roc_auc,oof_balanced_accuracy,fold_mean_balanced_accuracy,fold_std_balanced_accuracy,oof_average_precision,fold_mean_average_precision,fold_std_average_precision
uct-10000-self-play,8,objective_only,objective,74,38,36,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.508772,0.527009,0.148997,0.527047,0.521429,0.120717,0.551725,0.600025,0.137771
uct-10000-self-play,8,supply_only,supply,74,38,36,5,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.614035,0.617538,0.08738,0.592836,0.591071,0.120849,0.683555,0.715649,0.06475
uct-10000-self-play,8,allocation_recent_trend,allocation_recent_trend,74,38,36,6,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.535453,0.519515,0.072868,0.513158,0.5125,0.043558,0.603339,0.61227,0.094789
uct-10000-self-play,8,combined,combined,74,38,36,15,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.607456,0.597385,0.144058,0.607456,0.608929,0.108694,0.701993,0.689515,0.110964
uct-10000-self-play,12,objective_only,objective,72,37,35,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.538996,0.551786,0.125109,0.558301,0.560714,0.102075,0.548397,0.611159,0.078052
uct-10000-self-play,12,supply_only,supply,72,37,35,5,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.563707,0.562245,0.06997,0.583012,0.583929,0.06173,0.582809,0.650906,0.084407
uct-10000-self-play,12,allocation_recent_trend,allocation_recent_trend,72,37,35,6,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.496911,0.501531,0.099483,0.567181,0.566071,0.017405,0.493568,0.571213,0.084186
uct-10000-self-play,12,combined,combined,72,37,35,15,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.56834,0.573469,0.128901,0.569498,0.567857,0.11514,0.557793,0.603753,0.083475
uct-10000-self-play,16,objective_only,objective,80,39,41,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.394622,0.389534,0.07905,0.359287,0.35873,0.083833,0.413654,0.458609,0.06655
uct-10000-self-play,16,supply_only,supply,80,39,41,5,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.588806,0.586905,0.132961,0.524703,0.525595,0.120923,0.608106,0.641851,0.095171
uct-10000-self-play,16,allocation_recent_trend,allocation_recent_trend,80,39,41,6,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.483427,0.471776,0.101583,0.547842,0.546627,0.100012,0.530103,0.552846,0.094837
uct-10000-self-play,16,combined,combined,80,39,41,15,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.560976,0.55625,0.117759,0.574734,0.575595,0.091602,0.54155,0.583805,0.107444
uct-10000-self-play,20,objective_only,objective,81,36,45,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.546296,0.606151,0.183446,0.494444,0.49504,0.084465,0.467662,0.599568,0.203494
uct-10000-self-play,20,supply_only,supply,81,36,45,5,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.587963,0.606746,0.07535,0.588889,0.591667,0.080796,0.586362,0.627196,0.081313
uct-10000-self-play,20,allocation_recent_trend,allocation_recent_trend,81,36,45,6,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.629321,0.636905,0.202138,0.591667,0.587698,0.165911,0.51687,0.612785,0.212792
uct-10000-self-play,20,combined,combined,81,36,45,15,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.640123,0.659524,0.145706,0.577778,0.580556,0.086936,0.560962,0.650681,0.14909
uct-100000-self-play,8,objective_only,objective,80,40,40,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.560312,0.592187,0.181159,0.625,0.625,0.159344,0.541064,0.601418,0.123447
uct-100000-self-play,8,supply_only,supply,80,40,40,5,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.492188,0.529687,0.184083,0.5625,0.5625,0.153093,0.517105,0.633786,0.167531
uct-100000-self-play,8,allocation_recent_trend,allocation_recent_trend,80,40,40,6,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.634062,0.660937,0.185997,0.6125,0.6125,0.111803,0.674399,0.715467,0.129718
uct-100000-self-play,8,combined,combined,80,40,40,15,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.565625,0.584375,0.176639,0.5375,0.5375,0.136931,0.650786,0.682201,0.137503
uct-100000-self-play,12,objective_only,objective,78,31,47,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.557996,0.560026,0.215189,0.527454,0.526508,0.122696,0.451106,0.574058,0.140627
uct-100000-self-play,12,supply_only,supply,78,31,47,5,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.457104,0.452434,0.144481,0.54873,0.547619,0.089923,0.42846,0.457914,0.094621
uct-100000-self-play,12,allocation_recent_trend,allocation_recent_trend,78,31,47,6,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.484557,0.50836,0.11937,0.484557,0.486667,0.09723,0.397818,0.50428,0.104498
uct-100000-self-play,12,combined,combined,78,31,47,15,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.567605,0.563757,0.130452,0.533631,0.531746,0.147044,0.483189,0.551649,0.167447
uct-100000-self-play,16,objective_only,objective,78,29,49,4,0.1,training_fold_population_mean_and_standard_deviation,exclude_from_training_fold,0.555595,0.554444,0.142056,0.54152,0.54,0.041833,0.49057,0.569413,0.145477
